EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,280	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Support for Planet Money
EDL	00:00:01,280	00:00:05,120	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	And the following message come from Michigan Economic Development Corporation
EDL	00:00:05,120	00:00:09,472	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	If you want to start or grow your business Michigan is the place to make it happen
EDL	00:00:09,472	00:00:12,288	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Learn Why by searching Michigan pure opportunity
EDL	00:00:13,824	00:00:16,128	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Hey it's Jacob Goldstein just a quick heads up
EDL	00:00:16,128	00:00:18,432	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	The show first ran in 2015
EDL	00:00:19,200	00:00:19,712	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Cheers the show
EDL	00:00:20,992	00:00:22,016	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	You don't seem like a good idea
EDL	00:00:23,296	00:00:25,088	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Skyrim Robert Price thought
EDL	00:00:25,088	00:00:26,880	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Where do stores get their
EDL	00:00:26,880	00:00:28,416	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	What is it was a store
EDL	00:00:28,416	00:00:29,184	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Force
EDL	00:00:29,184	00:00:29,952	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Stores
EDL	00:00:29,952	00:00:32,768	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	A place where people who own little Bodega
EDL	00:00:33,280	00:00:35,840	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Small automotive shop could come and buy the stuff they needed
EDL	00:00:36,352	00:00:38,912	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	Sir Robert Bryson is Dad rented a warehouse
EDL	00:00:38,912	00:00:39,936	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	House in this industrial parts
EDL	00:00:41,216	00:00:44,288	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	We went in there there were birds flying around pigeons and
EDL	00:00:44,288	00:00:47,360	| 20170816_pmoney_pmpod653rerunv2-26a76435-2e46-4c67-821b-aea037fe007f.mp3_57e3b30992a27de69f3eb3512b8b841d_14881405 |	It was a god-awful looking place but we cleaned it up
