EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,072	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	This message comes from NPR sponsors snowflake
EDL	00:00:03,072	00:00:05,888	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	The only data warehouse built for the cloud
EDL	00:00:05,888	00:00:11,264	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Unlock deep Data Insights with the instantly scalable Cloud build data warehouse
EDL	00:00:11,264	00:00:14,080	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Start your journey towards data-driven decision-making
EDL	00:00:14,080	00:00:16,640	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	It's snowflake. Com NPR
EDL	00:00:18,432	00:00:22,016	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	The other day I got an invitation that I wasn't expecting
EDL	00:00:22,016	00:00:23,040	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	It was from Walmart
EDL	00:00:23,808	00:00:26,880	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	In the past Walmart hasn't been the most open
EDL	00:00:26,880	00:00:27,648	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Company safe
EDL	00:00:27,648	00:00:28,928	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Famously kept the card
EDL	00:00:28,928	00:00:29,696	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Cluster test
EDL	00:00:30,208	00:00:32,768	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	But for the last year they've been working on something
EDL	00:00:34,048	00:00:36,608	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Project they wanted to tell the world about
EDL	00:00:37,120	00:00:38,912	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	And so I flew down there
EDL	00:00:38,912	00:00:39,936	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Their headquarters
EDL	00:00:39,936	00:00:40,960	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	In Bentonville Ark
EDL	00:00:41,984	00:00:48,128	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	At this is Julia at Walmart it is I get there and I'm introduced to a guy named Jack
EDL	00:00:48,128	00:00:48,640	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Pastello
EDL	00:00:49,920	00:00:50,688	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Konjac
EDL	00:00:50,688	00:00:51,456	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Hi
EDL	00:00:51,456	00:00:53,248	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Jack is in charge of Walmart
EDL	00:00:53,248	00:00:55,552	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Culinary and Innovation Center
EDL	00:00:55,552	00:00:57,088	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	He walks me over this table
EDL	00:00:57,088	00:00:57,856	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Brothers
EDL	00:00:57,856	00:01:00,160	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Plate and on it is one of these
EDL	00:01:00,160	00:01:01,440	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Culinary innovation
EDL	00:01:01,952	00:01:05,024	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	It is a bright red a pickle
EDL	00:01:05,024	00:01:06,816	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	It is a bright
EDL	00:01:06,816	00:01:11,936	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Red decal and it's got a lot of fruit punch loaded unless you get if you pickle it with fruit punch
EDL	00:01:12,448	00:01:16,800	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Walmart would like the world to know it is creating a tropical fruit punch
EDL	00:01:17,312	00:01:18,080	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Petco
EDL	00:01:18,080	00:01:18,848	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	They call this
EDL	00:01:19,360	00:01:19,872	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	The traffic
EDL	00:01:20,640	00:01:25,760	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Jack says it's actually inspired by similar pickles you might find in BBQ joints in Mississippi
EDL	00:01:25,760	00:01:27,040	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	And you like me to try it
EDL	00:01:27,040	00:01:29,344	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	I can probably just cut it with a spark
EDL	00:01:34,208	00:01:35,232	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	I'm not sure
EDL	00:01:39,840	00:01:40,608	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Amir
EDL	00:01:41,120	00:01:42,400	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Time consumer for this
EDL	00:01:44,704	00:01:50,336	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Well this case created
EDL	00:01:50,336	00:01:56,736	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Hello and welcome to Planet Money I'm Julia DeWitt
EDL	00:01:56,736	00:02:00,064	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	And I'm Kenny Malone and Walmart is inventing
EDL	00:02:00,064	00:02:00,832	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Food
EDL	00:02:00,832	00:02:01,600	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Because
EDL	00:02:01,600	00:02:04,672	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	For the last decade it has been doing everything it can
EDL	00:02:04,672	00:02:06,208	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	To Stave off one main competitor
EDL	00:02:06,720	00:02:07,488	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Amazon
EDL	00:02:07,488	00:02:11,840	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	These two companies are in a battle to be the place where we buy everything
EDL	00:02:11,840	00:02:13,376	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	And today on the show
EDL	00:02:13,376	00:02:14,912	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	How it may all come down
EDL	00:02:14,912	00:02:15,680	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Dill pickle
EDL	00:02:15,680	00:02:16,704	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	A tropical
EDL	00:02:18,496	00:02:22,080	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Support for this podcast and the following message come from fidelity
EDL	00:02:22,592	00:02:24,640	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	As a Fidelity wealth management client
EDL	00:02:24,640	00:02:28,480	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	You get a dedicated advisor to help grow and protect your wealth
EDL	00:02:28,480	00:02:33,088	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Find ways to minimize the impact of taxes and make clear recommendation
EDL	00:02:33,088	00:02:35,136	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Thanks for your full Financial picture
EDL	00:02:35,136	00:02:37,952	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Learn more at fidelity.com
EDL	00:02:37,952	00:02:40,512	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	Fidelity brokerage Services LLC
EDL	00:02:44,608	00:02:46,144	| 20171117_pmoney_pmpod806v2-b15740dd-240f-45af-8e38-aae166c805aa.mp3_aeddade3d66ee0dbcaaa49d9d29247de_18400524 |	That's the Dogs Out.
