EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:02,816	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	When we decided to go see a rocket
EDL	00:00:03,840	00:00:07,680	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	I thought you know somehow we would get to stay and sort of close to it
EDL	00:00:07,680	00:00:11,264	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	You don't like on TV you see the rocket towering above you and all the
EDL	00:00:11,264	00:00:13,824	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Flames and the smoke is billowing smoke everywhere
EDL	00:00:13,824	00:00:16,640	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Of course the rocket people made a stand
EDL	00:00:16,640	00:00:17,920	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Miles away
EDL	00:00:17,920	00:00:23,808	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	It makes sense they took his old converted school bus down a little dirt road
EDL	00:00:24,832	00:00:26,880	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Anything let us out in the middle
EDL	00:00:26,880	00:00:27,392	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Of nowhere
EDL	00:00:27,904	00:00:31,488	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	It's a field of scrub brush the Pacific Ocean is off in the distance
EDL	00:00:32,000	00:00:35,328	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	The only side of civilization is a couple of blue porta potties
EDL	00:00:35,328	00:00:36,096	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Just in case
EDL	00:00:36,096	00:00:40,192	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	But somewhere just over the ridge is one of Humanity's greatest
EDL	00:00:40,192	00:00:41,216	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Achievement
EDL	00:00:41,216	00:00:41,728	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	A rock
EDL	00:00:42,496	00:00:44,032	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	It is called the Minotaur C
EDL	00:00:44,032	00:00:45,056	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	It is 100
EDL	00:00:45,056	00:00:45,824	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	Feet tall
EDL	00:00:45,824	00:00:48,896	| 20171129_pmoney_pmpod808v2-3f87c327-6eae-4bd9-af01-f985f2dee250.mp3_89097a15567c11568e897610e2b09837_25841831 |	And it is the rocket we've been waiting to see for the last
