EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:01,792	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	This is part 3
EDL	00:00:01,792	00:00:02,304	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Everspace
EDL	00:00:03,072	00:00:07,424	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	If you have ever wondered how you can personally send something up into space to do it
EDL	00:00:07,936	00:00:09,472	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Go back a couple of episodes in ketchup
EDL	00:00:09,984	00:00:10,752	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	We will wait
EDL	00:00:12,544	00:00:13,056	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Are we good
EDL	00:00:13,568	00:00:14,080	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	I think so
EDL	00:00:15,104	00:00:17,408	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Here is something that surprised me about the space
EDL	00:00:18,432	00:00:19,456	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Once you build a saddle
EDL	00:00:19,968	00:00:21,248	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	And decide what you wanted to do and see
EDL	00:00:22,272	00:00:23,296	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Your Plus shopping
EDL	00:00:23,808	00:00:24,576	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	For rocket
EDL	00:00:24,576	00:00:25,344	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	To put it on
EDL	00:00:25,344	00:00:26,112	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	And of course
EDL	00:00:26,112	00:00:29,184	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Anytime you're shopping for something expensive there's always a guy
EDL	00:00:29,184	00:00:30,976	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Right there's a guy with a
EDL	00:00:30,976	00:00:31,744	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Line
EDL	00:00:31,744	00:00:37,376	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	I'm kind of like your your best friend that's going to find you a rocket somewhere in the world that has X
EDL	00:00:37,376	00:00:41,728	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Space rocket broker meeting if the satellite
EDL	00:00:41,728	00:00:44,800	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	The Planet Money satellite ready to go if you have a satellite
EDL	00:00:44,800	00:00:47,616	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	The Phil is the man who can get you a lift to space
EDL	00:00:48,128	00:00:50,688	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	He says it's just like buying any other big-ticket item
EDL	00:00:50,688	00:00:55,808	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	There's a car for for every consumer and there is a type of rocket for every type of satellite
EDL	00:00:55,808	00:00:56,832	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Where you want to go
EDL	00:00:56,832	00:00:59,136	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	We might still at the small satellite conference
EDL	00:00:59,136	00:01:00,160	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Sprint in Logan Utah
EDL	00:01:00,160	00:01:03,232	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	He handed us a card it said right on their space flight
EDL	00:01:03,232	00:01:03,744	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Dot-com
EDL	00:01:04,256	00:01:06,560	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Anything you can book rocket flights right on the web
EDL	00:01:07,072	00:01:07,840	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Just like Expedia
EDL	00:01:08,352	00:01:08,864	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	The Rockets
EDL	00:01:09,376	00:01:10,400	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	You put in a bag
EDL	00:01:10,400	00:01:11,680	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Your satellite is
EDL	00:01:11,680	00:01:13,984	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Want to go and Phil will find you a lunch
EDL	00:01:13,984	00:01:17,056	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	It may take a year or so to find room for your satellite the business
EDL	00:01:17,056	00:01:18,336	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	Is booming these days
EDL	00:01:18,336	00:01:19,872	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	But there are a lot of places to lunch
EDL	00:01:20,384	00:01:23,712	| 20171206_pmoney_pmpod810-e6aa6089-430d-4cd7-a9f5-75b079557f47.mp3_d8c9da1d02030c7f412a9163ff64f7c9_22014019 |	New Zealand California Florida Kazakhstan japan-india
