EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:05,120	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	You know when you walk into a grocery store and you see that beautiful produce section
EDL	00:00:05,120	00:00:06,144	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	All those lettuces
EDL	00:00:06,656	00:00:09,728	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Tangelos and stalks of celery
EDL	00:00:09,728	00:00:11,264	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Those did not arrive at the
EDL	00:00:11,264	00:00:12,032	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Stop & Shop
EDL	00:00:12,032	00:00:14,336	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	My magic they did not drop out of the sky
EDL	00:00:14,336	00:00:15,360	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	At some point
EDL	00:00:15,360	00:00:15,872	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	The farmers
EDL	00:00:16,384	00:00:17,920	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Distributors and the buyers
EDL	00:00:17,920	00:00:18,688	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	All got together
EDL	00:00:19,200	00:00:19,968	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Perhaps
EDL	00:00:19,968	00:00:21,248	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Add a giant Convention Center
EDL	00:00:21,760	00:00:23,552	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Where everyone is looking for the next big thing
EDL	00:00:24,064	00:00:25,088	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	Today
EDL	00:00:25,088	00:00:28,672	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	The New York produce show and conference is now open
EDL	00:00:30,464	00:00:32,768	| 20171215_pmoney_pmpod813v2-077c8877-c000-4cdb-b496-e77e9633b75b.mp3_430f82c61e9e21b4573747c2ecabe47e_23778009 |	I'm here with Nick fountain in this place is
