EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:03,072	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	This message comes from NPR sponsors snowflake
EDL	00:00:03,072	00:00:05,888	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	The only data warehouse built for the cloud
EDL	00:00:05,888	00:00:11,264	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Unlock deep Data Insights with the instantly scalable Cloud build data warehouse
EDL	00:00:11,264	00:00:13,568	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Start your journey towards data-driven decision
EDL	00:00:14,080	00:00:16,640	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	It's snowflake. Com NPR
EDL	00:00:17,664	00:00:19,712	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Hey before we start we wanted to ask you
EDL	00:00:19,712	00:00:21,504	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	A favor we want to know more about
EDL	00:00:21,504	00:00:22,272	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	You
EDL	00:00:22,272	00:00:23,296	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Listen to Planet Money
EDL	00:00:23,296	00:00:27,136	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	We got a survey going now it's an NPR.
EDL	00:00:27,136	00:00:28,416	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Planet Money
EDL	00:00:28,416	00:00:29,184	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Survey
EDL	00:00:29,184	00:00:31,232	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	It's about what you like about the show
EDL	00:00:31,232	00:00:32,000	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	What you want
EDL	00:00:32,000	00:00:35,328	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Change you'll be asked to list the names of the hosts I'm Roberts
EDL	00:00:36,096	00:00:36,608	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Robert
EDL	00:00:37,376	00:00:38,144	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Smith
EDL	00:00:38,144	00:00:39,680	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	And you can tell people you think of me
EDL	00:00:40,192	00:00:42,496	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	It only take about 10 minutes and I'll help us out a lot
EDL	00:00:42,496	00:00:44,288	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Npr.org
EDL	00:00:44,288	00:00:45,824	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Splash Planet Money survey
EDL	00:00:47,872	00:00:51,456	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Just around the corner from our office is a weird New York City landmark
EDL	00:00:51,968	00:00:52,992	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	The national
EDL	00:00:52,992	00:00:53,504	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Debt clock
EDL	00:00:54,016	00:00:56,832	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	And I digital numerals always changing
EDL	00:00:56,832	00:00:58,368	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Is the current
EDL	00:00:58,368	00:01:00,928	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	National debt of the United States of America
EDL	00:01:00,928	00:01:01,952	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	To the dollar
EDL	00:01:02,720	00:01:07,328	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	It's been up for almost 30 years the location keeps changing is very skyscrapers go up
EDL	00:01:07,840	00:01:11,424	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	But it's always in the streets around Times Square and it is always Counting
EDL	00:01:11,424	00:01:13,984	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	As of today the US national debt
EDL	00:01:13,984	00:01:14,752	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Is
EDL	00:01:14,752	00:01:16,032	| 20180103_pmoney_pmpod273rerunv2-9c7e2b7b-3991-4e26-95d5-0dbc4da06486.mp3_93e7692b7f56d8ebcf0809c6f9d8f71e_19706218 |	Prepare yourself for a big number
