EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,632	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	Support for this podcast in the following message come from NCR who believes in small businesses
EDL	00:00:05,632	00:00:07,424	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	That's why they build NCR silver
EDL	00:00:07,936	00:00:14,080	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	Worthington point-of-sale NCR silver deliveries big Enterprise management tools built for small business owners
EDL	00:00:14,080	00:00:16,640	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	Visit ncr.com silver
EDL	00:00:17,920	00:00:22,528	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	Hey before we start Today's Show we have a quick favor to ask we've got a survey going right now
EDL	00:00:23,040	00:00:24,320	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	We want to know about
EDL	00:00:24,320	00:00:27,904	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	We want to know what you like about Planet Money what you want us to change
EDL	00:00:27,904	00:00:29,440	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	It should take about 10 minutes
EDL	00:00:29,440	00:00:31,232	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	And you can find it at the following link
EDL	00:00:31,744	00:00:34,304	| 20180105_pmoney_pmpod816-b475bda0-3ed3-4e6a-98c5-9eeda94e4704.mp3_6a307ed08c3670e8551dc5e1f65c9de3_21851648 |	Npr.org
