EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,768	00:00:07,168	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	There are these videos you may have seen in December it felt like they were everywhere for a while there
EDL	00:00:07,168	00:00:13,568	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	Stop from cars driving down the 405 freeway in Los Angeles it's dark out
EDL	00:00:13,568	00:00:19,968	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	The cars drive through this Valley and they pass between two Hills that are completely
EDL	00:00:19,968	00:00:26,368	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	On fire it looks like the cars are driving
EDL	00:00:26,368	00:00:32,256	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	Straight down into hell
EDL	00:00:32,256	00:00:34,048	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	I grew up not far from those Hills
EDL	00:00:34,048	00:00:35,072	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	And I spent
EDL	00:00:35,072	00:00:37,376	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	A lot of time watching these videos as
EDL	00:00:37,376	00:00:39,936	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	Wildfires were spreading throughout Southern California
EDL	00:00:40,448	00:00:41,984	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	It was a really bad virus
EDL	00:00:45,056	00:00:47,104	| 20180216_pmoney_pmpod825-6661986d-4efb-4a87-96a7-a4bdaa0781d2.mp3_1ac6288ffa9a8dc9b2dc53672377e605_19139091 |	I'm about to get on the 405
