EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:04,352	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	You are never supposed to do this and we would normally never do this
EDL	00:00:05,120	00:00:07,168	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	But we're going to start this episode by reading
EDL	00:00:07,680	00:00:08,960	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	Someone's Social Security
EDL	00:00:09,728	00:00:10,496	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	This
EDL	00:00:10,496	00:00:12,288	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	Is the most infamous of
EDL	00:00:12,288	00:00:14,592	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	Security number in the world and weirdly
EDL	00:00:14,592	00:00:15,360	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	The most
EDL	00:00:15,360	00:00:16,128	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	Popular
EDL	00:00:16,128	00:00:16,896	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	Social security number
EDL	00:00:17,664	00:00:18,176	| 20180314_pmoney_pmpod830-2d1cb700-1ad5-4fd4-89a7-3c51f6d31b39.mp3_5b80ce883fd03a5484614f817d433474_19427508 |	Okay here we go
