EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,072	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	1 things I love about the phrase
EDL	00:00:03,072	00:00:04,096	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Trade War
EDL	00:00:04,096	00:00:05,376	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Is it sounds
EDL	00:00:05,376	00:00:06,400	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	So dramatic
EDL	00:00:06,400	00:00:07,168	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Council
EDL	00:00:07,168	00:00:07,680	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Viola
EDL	00:00:08,192	00:00:11,520	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	But at the same time a trade wars fought using these incredibly boring weapon
EDL	00:00:12,544	00:00:14,848	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Percentages and lists
EDL	00:00:14,848	00:00:16,896	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Spreadsheets
EDL	00:00:16,896	00:00:21,248	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	I am in the Excel spreadsheet trenches absolutely
EDL	00:00:21,248	00:00:23,808	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	This is Chad Bown a trade Economist with a Peterson in
EDL	00:00:24,320	00:00:26,368	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	And like ask your Planet Money
EDL	00:00:26,368	00:00:28,416	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	He's been pouring over these lists
EDL	00:00:28,416	00:00:29,184	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Products that
EDL	00:00:29,184	00:00:30,208	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	The United States in
EDL	00:00:30,208	00:00:30,976	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	In China
EDL	00:00:30,976	00:00:32,512	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Have been slapping new tariffs on
EDL	00:00:33,024	00:00:34,560	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	It started with President Trump's berries
EDL	00:00:34,560	00:00:35,328	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Shortlist
EDL	00:00:35,328	00:00:37,632	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	A new set of tariffs on Chinese steel and
EDL	00:00:38,144	00:00:40,960	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Lendup hitting about 3 billion dollars worth of
EDL	00:00:41,728	00:00:48,128	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Chinese exports of Steel and aluminum to the u.s. owe China came up with a list of three billion dollars worth of imports from United
EDL	00:00:48,128	00:00:49,152	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Red states to retaliate over
EDL	00:00:50,176	00:00:54,528	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	President Trump then the next day said well we're going to hit you with 50 billion dollars worth of
EDL	00:00:54,528	00:00:55,808	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Tariffs on other products
EDL	00:00:56,320	00:00:57,088	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	China
EDL	00:00:57,088	00:00:58,880	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Responded by saying okay well here's our
EDL	00:00:58,880	00:00:59,904	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	50 billion dollar product
EDL	00:01:00,672	00:01:01,952	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	And what makes the list
EDL	00:01:01,952	00:01:04,256	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	And doesn't make the list is a sort of international game
EDL	00:01:05,024	00:01:06,816	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	As a trade Economist Chad noticed that
EDL	00:01:06,816	00:01:08,096	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	China's list of new tariffs
EDL	00:01:08,608	00:01:11,168	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	We're filled with an awful lot of agricultural products
EDL	00:01:11,680	00:01:13,984	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	There are a lot of food products
EDL	00:01:13,984	00:01:16,032	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	I need less sleep make you hungry doesn't it
EDL	00:01:16,032	00:01:19,360	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	It really does and this is primarily because a lot of what
EDL	00:01:19,360	00:01:21,152	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	America sells to China
EDL	00:01:21,152	00:01:22,176	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	Is food
EDL	00:01:22,176	00:01:23,712	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	I know so many nuts
EDL	00:01:23,712	00:01:25,248	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	NN fruits
EDL	00:01:25,248	00:01:26,016	| 20180413_pmoney_pmpod835-298105da-f0e1-4049-a346-3b694d074057.mp3_e8e2043112197613a802bfd212259c93_20285780 |	And
