EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:03,072	00:00:06,144	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	How's it going where NPR reporters were doing a story on pepper you got a second
EDL	00:00:07,168	00:00:07,680	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Yeah it's okay
EDL	00:00:08,192	00:00:10,240	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	How's it going where NPR reporters were doing a story
EDL	00:00:11,776	00:00:13,056	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Rapper
EDL	00:00:13,568	00:00:16,384	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	You and I were out on the streets of Manhattan
EDL	00:00:16,896	00:00:18,944	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	We're talking to people who are walking by
EDL	00:00:18,944	00:00:21,504	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	And we've got with us two tins of
EDL	00:00:21,504	00:00:27,904	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Did the pepper that you've seen all your life to standard pepper 10
EDL	00:00:27,904	00:00:28,928	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	We got two of them
EDL	00:00:28,928	00:00:30,464	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Because about a year ago
EDL	00:00:30,464	00:00:32,000	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	McCormick machine
EDL	00:00:32,000	00:00:33,024	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	This classic
EDL	00:00:33,024	00:00:34,560	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Pepper chicken that they sell in the grocery
EDL	00:00:35,072	00:00:36,352	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	So what we were doing is
EDL	00:00:36,352	00:00:37,888	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	We have the old one and we have been
EDL	00:00:38,400	00:00:42,496	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	We asked people to play to play game we asked him to Spot the Difference
EDL	00:00:42,496	00:00:43,776	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Between the old and the new
EDL	00:00:44,288	00:00:47,104	| 20180516_pmoney_pmpod696rerunv2-4e0d82c3-4bd3-4289-b9e6-d0a12b17c124.mp3_1f09424eb05a8aba05db634d137de0e7_20977880 |	Same color red and white primarily
