EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:01,536	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	Hey it's Alex
EDL	00:00:03,328	00:00:05,120	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	DUI hear that Russell
EDL	00:00:05,120	00:00:06,656	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	That is the sound of
EDL	00:00:06,656	00:00:07,680	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	One point
EDL	00:00:07,680	00:00:08,448	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	6
EDL	00:00:08,448	00:00:09,472	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	Billion dollars
EDL	00:00:09,472	00:00:09,984	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	Coming my way
EDL	00:00:10,496	00:00:11,008	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	A lottery
EDL	00:00:12,288	00:00:13,312	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	1011
EDL	00:00:13,824	00:00:14,336	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	51
EDL	00:00:14,848	00:00:15,360	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	52
EDL	00:00:16,128	00:00:16,640	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	62
EDL	00:00:17,152	00:00:17,664	| 20181023_pmoney_pmpod1023rerun-8c4cbfbb-4696-4919-a012-c5a554406ce2.mp3_a2e232efa473eaa21cecf50c7812d3e9_22524317 |	18
