EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,768	00:00:03,072	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Everyone it's Sarah Gonzales here
EDL	00:00:03,072	00:00:09,472	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	I have been going to the trial of Joaquin El Chapo Guzman Infamous drug cartel leader
EDL	00:00:09,472	00:00:12,800	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Just found guilty of all charges against him
EDL	00:00:12,800	00:00:17,152	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	International cocaine distribution using firearms
EDL	00:00:17,152	00:00:17,920	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	And
EDL	00:00:18,432	00:00:20,224	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Laundering all of his
EDL	00:00:20,224	00:00:20,992	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Drag Pro
EDL	00:00:21,760	00:00:24,320	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Which is the one that were really interested in
EDL	00:00:24,320	00:00:27,904	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	It reminded us of this classic episode that we're going to play for you today
EDL	00:00:27,904	00:00:30,720	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	About the time the United States try to
EDL	00:00:30,720	00:00:32,256	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Stop drug traffickers
EDL	00:00:32,768	00:00:35,840	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	With a pretty sneaky plan that involved a
EDL	00:00:35,840	00:00:36,608	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Decoy
EDL	00:00:36,608	00:00:43,008	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Now Indian Chapo trial we learned about all of the elaborate ways that he moved his drug money
EDL	00:00:43,008	00:00:46,848	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Around the US government claims that over his career he earned
EDL	00:00:46,848	00:00:51,456	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	14 billion dollars tons and tons of
EDL	00:00:51,456	00:00:52,992	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	Heavy money
EDL	00:00:52,992	00:00:54,528	| 20190214_pmoney_pmpod418_2019rerun_v2-2a26a936-b867-4f82-941d-e3dba8803f45.mp3_1c163c065e66a176f83fbba58bc3f36d_17849909 |	That takes up a lot of
