EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	Okay so did you see it
EDL	00:00:04,608	00:00:05,120	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	Iceland
EDL	00:00:05,888	00:00:06,656	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	So what was it
EDL	00:00:07,680	00:00:08,960	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	It was a blanket with a message on
EDL	00:00:09,984	00:00:11,264	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	A blanket with a mess
EDL	00:00:12,032	00:00:14,336	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	And the blanket was hanging from a bridge
EDL	00:00:14,336	00:00:16,128	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	In the state of Guanajuato in Mexico
EDL	00:00:16,640	00:00:19,200	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	Do usually send messages like this
EDL	00:00:19,200	00:00:20,224	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	They right
EDL	00:00:20,224	00:00:22,016	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	Messages on blankets
EDL	00:00:22,016	00:00:22,784	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	Yes
EDL	00:00:22,784	00:00:26,880	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	And the hondaman cities with the very foul language
EDL	00:00:27,392	00:00:29,696	| 20190308_pmoney_pmpod899-59392c4f-341b-4a62-880e-17dd2cc5eca8.mp3_3e37e05702dd01041e9bcbdeed04b7d3_16649837 |	Terrible spelling
