EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:04,352	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	The trade war with China was one of the biggest economic stories of
EDL	00:00:04,352	00:00:05,632	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	2018
EDL	00:00:05,632	00:00:06,656	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Import taxes
EDL	00:00:06,656	00:00:09,472	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Is ungood that were sold from China into the US
EDL	00:00:09,472	00:00:11,008	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Cost American businesses
EDL	00:00:11,008	00:00:12,032	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Billions of dollars
EDL	00:00:13,056	00:00:16,128	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	And these tears could also be part of why China experience
EDL	00:00:16,128	00:00:17,920	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Its lowest level of economic growth
EDL	00:00:17,920	00:00:18,944	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	In nearly 30 years
EDL	00:00:19,712	00:00:21,504	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Yeah biggest trade is global
EDL	00:00:21,504	00:00:27,648	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	When tariffs are put in place between two giant economies like the US and China the economic impact Ripple all over the
EDL	00:00:28,160	00:00:29,440	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	The effects can be a norm
EDL	00:00:30,208	00:00:33,536	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	But also tariffs end up affecting a lot of people on a very
EDL	00:00:33,536	00:00:34,048	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Individual
EDL	00:00:34,816	00:00:36,352	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Hello I'm David Reed
EDL	00:00:36,352	00:00:38,144	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	I'm a peanut cotton farming
EDL	00:00:38,144	00:00:40,192	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Dooly County Georgia Pinehurst
EDL	00:00:40,192	00:00:42,240	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Oh I found here for 50 years
EDL	00:00:42,752	00:00:44,288	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Peanut peanut butter and
EDL	00:00:44,288	00:00:48,128	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	These are Goods that were all hit by retaliatory tariffs
EDL	00:00:48,128	00:00:50,176	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Did China put on the US
EDL	00:00:50,176	00:00:51,712	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	And people like David Reed
EDL	00:00:51,712	00:00:52,736	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Who sell peanuts
EDL	00:00:52,736	00:00:53,504	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	China
EDL	00:00:53,504	00:00:55,296	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Have been some of the hardest hit
EDL	00:00:55,296	00:00:58,624	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Is China was one of the biggest buyers of both us cotton
EDL	00:00:58,624	00:00:59,136	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	And peanut
EDL	00:00:59,648	00:01:01,952	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	David and his fellow Farmers ended up in the sky
EDL	00:01:01,952	00:01:04,000	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	What does tsar and unfortunate situation
EDL	00:01:04,000	00:01:05,280	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	It appeared to put them out
EDL	00:01:05,280	00:01:06,816	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Side the normal laws of
EDL	00:01:06,816	00:01:07,328	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Supply and demand
EDL	00:01:08,096	00:01:09,120	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	18 was
EDL	00:01:09,120	00:01:10,656	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Is a very unusual year
EDL	00:01:10,656	00:01:11,680	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	All the way around
EDL	00:01:11,680	00:01:12,448	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	From start to finish
EDL	00:01:15,520	00:01:18,592	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Hello and welcome to Planet Money I'm Stacey Vanek Smith
EDL	00:01:18,592	00:01:24,992	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	And Cardiff Garcia and Stacey and I are the hosts of the indicator from Planet Money if you don't know it it's Planet Money shorts
EDL	00:01:24,992	00:01:27,552	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	Daily podcast about the economic ideas in the news
EDL	00:01:28,064	00:01:29,856	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	10 minutes or less every weekday
EDL	00:01:29,856	00:01:30,880	| 20190419_pmoney_pmpod907rerun-4cce950d-aaa6-49ce-aee4-7754251d6c64.mp3_59447e3103cac5ea84c916c512187ec6_19547928 |	You like to say that
