EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,560	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Support for NPR and the following message
EDL	00:00:02,560	00:00:03,584	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Did come from servicenow
EDL	00:00:03,584	00:00:05,120	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Making the world of work
EDL	00:00:05,120	00:00:05,888	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Work better for me
EDL	00:00:06,400	00:00:07,424	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	They're cloud-based
EDL	00:00:07,424	00:00:08,960	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Platform and solutions
EDL	00:00:08,960	00:00:09,984	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Deliver digital workflow
EDL	00:00:10,496	00:00:12,032	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Spell create great experience
EDL	00:00:12,032	00:00:14,848	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Frances and unlock productivity for your Holcomb
EDL	00:00:15,360	00:00:17,152	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	More at servicenow.com
EDL	00:00:35,328	00:00:38,144	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	From a seriously price Commodities in everyday life
EDL	00:00:38,656	00:00:39,168	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Press 3
EDL	00:00:40,448	00:00:43,776	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Your question will be answered in the order in which it was received
EDL	00:00:43,776	00:00:45,312	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Your call may be recorded
EDL	00:00:45,312	00:00:46,848	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Podcasting purpose
EDL	00:00:54,016	00:00:57,088	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Thanks for calling plan of money this is Karen how can I help you
EDL	00:00:57,088	00:00:59,136	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	I was booking a flight
EDL	00:00:59,648	00:01:01,952	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	And one of the cheapest flights
EDL	00:01:01,952	00:01:04,768	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	British Airways and I clicked on it and
EDL	00:01:05,280	00:01:11,424	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	The entire flight cost $516 and they said that $514 were for taxes
EDL	00:01:12,704	00:01:14,496	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	And let the fear itself cost $2
EDL	00:01:15,520	00:01:18,848	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	And I immediately thought that this doesn't make any economic sense
EDL	00:01:19,872	00:01:20,896	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	Okay so
EDL	00:01:20,896	00:01:24,736	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	The question we got from our listener is basically how can you have
EDL	00:01:24,736	00:01:26,272	| 20190508_pmoney_pmpod911.mp3_85803b1d112f616e685da506730ac37d_20304826 |	An airline flight that is
