EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:02,816	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Hello and welcome to Planet Money I'm David
EDL	00:00:02,816	00:00:04,096	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	And I'm Jacob
EDL	00:00:04,864	00:00:08,704	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Just a quick note Today Show originally ran in 2012
EDL	00:00:08,704	00:00:09,472	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	The show is
EDL	00:00:09,472	00:00:11,008	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	The story of an innovation
EDL	00:00:11,008	00:00:13,056	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	That changed the way the world works
EDL	00:00:13,056	00:00:15,616	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	End of the man who made that Innovation possible
EDL	00:00:15,616	00:00:16,128	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	He was a monk
EDL	00:00:16,640	00:00:17,664	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	A mathematician
EDL	00:00:17,664	00:00:18,176	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	A magician
EDL	00:00:18,688	00:00:19,968	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	And possibly
EDL	00:00:19,968	00:00:21,504	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	The boyfriend of Leonardo.
EDL	00:00:22,784	00:00:28,416	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	The man was Luca pacioli and the transformative invention that he brought to the world is
EDL	00:00:28,416	00:00:29,952	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Of course that did it.
EDL	00:00:29,952	00:00:30,976	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Double Entry book
EDL	00:00:32,000	00:00:35,072	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	And Jacob when I mentioned I remember when we were doing the story
EDL	00:00:35,072	00:00:37,376	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	And I mentioned the Planet Money Team that we wanted to do
EDL	00:00:38,144	00:00:40,192	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Show on the birth of modern accounting
EDL	00:00:40,192	00:00:41,472	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Are you joking
EDL	00:00:41,984	00:00:43,520	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	We are not joking it is a great
EDL	00:00:46,592	00:00:47,360	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	This message comes
EDL	00:00:47,872	00:00:48,896	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	NPR sponsor sales
EDL	00:00:49,664	00:00:51,200	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Today's customers want more from
EDL	00:00:51,968	00:00:53,760	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Banks that are virtual Financial
EDL	00:00:54,272	00:00:56,064	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Hospitals that are digital Wellness Spa
EDL	00:00:56,832	00:00:57,344	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	And sales
EDL	00:00:57,856	00:01:00,160	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	The customer relationship management solution
EDL	00:01:00,672	00:01:05,024	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Help deliver those magical personalized experiences customers want
EDL	00:01:05,024	00:01:10,656	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	By uniting your Marketing sales Commerce service and it on an integrated CRM
EDL	00:01:11,168	00:01:16,800	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	Learn how Salesforce brings customers and companies together at salesforce.com
EDL	00:01:16,800	00:01:17,312	| 20190515_pmoney_pmpod407rerun.mp3_63302bb01a1d12a264c46253eb5138bb_16911873 |	NPR
