EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:05,376	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Is this is probably not your first Studio interview in your life is it
EDL	00:00:05,888	00:00:06,656	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Or is it
EDL	00:00:06,656	00:00:07,936	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	The first one with disc
EDL	00:00:08,960	00:00:10,496	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	A white brothers equipment
EDL	00:00:11,008	00:00:12,800	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Kenneth kid is a geneticist
EDL	00:00:13,312	00:00:14,080	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	At Yale
EDL	00:00:14,080	00:00:16,640	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	And in some circles he's a pretty big deal
EDL	00:00:16,640	00:00:17,152	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	For example
EDL	00:00:17,664	00:00:19,712	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	He was one of the first scientists
EDL	00:00:19,712	00:00:24,064	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	To persuade judges to accept DNA as evidence in American courtrooms
EDL	00:00:24,064	00:00:28,160	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	But the wake and got tangled up in the story we're going to be talking about today
EDL	00:00:28,160	00:00:30,976	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Has to do with a project that he's been working on for decades
EDL	00:00:31,488	00:00:35,840	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	It's trying to understand human genetic variation
EDL	00:00:36,352	00:00:37,632	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Around the world
EDL	00:00:37,632	00:00:38,912	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	The idea is
EDL	00:00:38,912	00:00:40,448	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	As if you draw someone's blood
EDL	00:00:40,448	00:00:45,312	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Get their DNA and then look for the right markers inside that DNA
EDL	00:00:45,312	00:00:48,128	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	You can probably figure out what region or ethnic
EDL	00:00:48,640	00:00:51,456	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	A person comes from kind of like 23andMe but fancy
EDL	00:00:51,968	00:00:55,552	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	And four years can has been testing this idea this idea that
EDL	00:00:55,552	00:00:59,648	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Certain markers in your DNA show where you come from and to test that idea
EDL	00:01:00,160	00:01:05,536	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Do you need a DNA samples from people of all different ethnicities from all different parts of the world
EDL	00:01:05,536	00:01:11,680	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	But in 2010 there was still a big hole in the global genetic picture that he was trying to assemble
EDL	00:01:11,680	00:01:14,240	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	A place where he didn't have a lot of genetic samples
EDL	00:01:14,240	00:01:15,008	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	From yet
EDL	00:01:15,008	00:01:15,776	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	And that place
EDL	00:01:15,776	00:01:16,288	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	With China
EDL	00:01:16,800	00:01:21,664	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	There's like more than billion people there I imagine there's a lot of genetic diversity that's worth money
EDL	00:01:22,944	00:01:23,456	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Yes
EDL	00:01:23,968	00:01:24,736	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	There is
EDL	00:01:25,248	00:01:31,392	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	What Ken says he didn't know what he couldn't know with how China would end up using his research
EDL	00:01:32,416	00:01:34,720	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Any did you have any concerns at the outset
EDL	00:01:35,744	00:01:36,512	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Not
EDL	00:01:36,512	00:01:37,536	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	At the outset
EDL	00:01:38,048	00:01:43,168	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	You see what Kenwood later find out was that his collaboration with Chinese scientist
EDL	00:01:43,936	00:01:46,752	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Would end up helping Advance one of the biggest
EDL	00:01:46,752	00:01:48,800	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Most invasive surveillance
EDL	00:01:48,800	00:01:49,568	| 20190705_pmoney_pmpod924-ceb1050e-153c-4680-b1ea-e16889413559.mp3_08f82a6c0ffe07e5e964ba0a6461724f_25484744 |	Projects
