EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,888	| moreperfect060216_cruelandunusualrev1 |	WNYC Studios
EDL	00:00:09,728	00:00:12,800	| moreperfect060216_cruelandunusualrev1 |	When was Teletubbies first second
EDL	00:00:15,360	00:00:17,408	| moreperfect060216_cruelandunusualrev1 |	Auto Bethalto
EDL	00:00:22,784	00:00:26,368	| moreperfect060216_cruelandunusualrev1 |	Hey I'm genogram ride this is more perfect
EDL	00:00:26,368	00:00:27,648	| moreperfect060216_cruelandunusualrev1 |	A miniseries
EDL	00:00:28,672	00:00:29,440	| moreperfect060216_cruelandunusualrev1 |	We're just getting going up
EDL	00:00:30,464	00:00:32,000	| moreperfect060216_cruelandunusualrev1 |	Some of the ideas in the cases
EDL	00:00:32,000	00:00:32,768	| moreperfect060216_cruelandunusualrev1 |	Flow through
EDL	00:00:32,768	00:00:33,280	| moreperfect060216_cruelandunusualrev1 |	The Supreme Court
EDL	00:00:34,048	00:00:35,328	| moreperfect060216_cruelandunusualrev1 |	We're going to start the series off with a
EDL	00:00:36,608	00:00:39,936	| moreperfect060216_cruelandunusualrev1 |	With a story that isn't so much a courtroom drama this one is about an issue that
EDL	00:00:39,936	00:00:42,240	| moreperfect060216_cruelandunusualrev1 |	I think everybody agrees is about to land at
EDL	00:00:42,240	00:00:42,752	| moreperfect060216_cruelandunusualrev1 |	The Supreme Court
EDL	00:00:43,264	00:00:44,288	| moreperfect060216_cruelandunusualrev1 |	Again in a bit
EDL	00:00:45,312	00:00:47,104	| moreperfect060216_cruelandunusualrev1 |	Story comes from reporter Karen Duffin
EDL	00:00:47,616	00:00:48,640	| moreperfect060216_cruelandunusualrev1 |	And it begins with the Mist
EDL	00:00:50,688	00:00:52,992	| moreperfect060216_cruelandunusualrev1 |	Alright so we're starting with
EDL	00:00:54,016	00:00:56,576	| moreperfect060216_cruelandunusualrev1 |	My rights Maya Maya
EDL	00:00:56,576	00:00:57,088	| moreperfect060216_cruelandunusualrev1 |	I am the dark
EDL	00:00:58,368	00:00:59,392	| moreperfect060216_cruelandunusualrev1 |	How to tame a tree
EDL	00:01:00,928	00:01:06,304	| moreperfect060216_cruelandunusualrev1 |	Okay so my afoa lives in London and when she was about 25 she had
EDL	00:01:06,304	00:01:09,888	| moreperfect060216_cruelandunusualrev1 |	Graduated from college she was doing some theater things but she was
EDL	00:01:09,888	00:01:16,288	| moreperfect060216_cruelandunusualrev1 |	Like having this quarter life crisis and didn't know what to do with her life was called blue but I Central crisis
EDL	00:01:16,288	00:01:22,688	| moreperfect060216_cruelandunusualrev1 |	Organizations in Santa Ana please can I be useful to you
EDL	00:01:22,688	00:01:29,088	| moreperfect060216_cruelandunusualrev1 |	Plantation that did death penalty cases like a bunch of lawyers or what are they doing
EDL	00:01:29,088	00:01:33,952	| moreperfect060216_cruelandunusualrev1 |	They've been working on the death penalty for like years at that point to try to abolish it
EDL	00:01:34,720	00:01:36,768	| moreperfect060216_cruelandunusualrev1 |	I view the death penalty and I
