EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,560	00:00:03,840	| moreperfect092717_wereback |	Everybody is just
EDL	00:00:04,608	00:00:05,120	| moreperfect092717_wereback |	Quiet
EDL	00:00:08,192	00:00:09,728	| moreperfect092717_wereback |	When you can hear your heart beating
EDL	00:00:13,056	00:00:14,080	| moreperfect092717_wereback |	And suddenly
EDL	00:00:14,080	00:00:15,616	| moreperfect092717_wereback |	There was this
EDL	00:00:17,664	00:00:24,064	| moreperfect092717_wereback |	MN
EDL	00:00:24,064	00:00:30,464	| moreperfect092717_wereback |	Hey there it's Chad
EDL	00:00:30,464	00:00:32,768	| moreperfect092717_wereback |	Guess what
EDL	00:00:33,280	00:00:34,048	| moreperfect092717_wereback |	We're back
EDL	00:00:34,048	00:00:40,448	| moreperfect092717_wereback |	Hear something about rides if you give something to someone they come from someone else
EDL	00:00:40,448	00:00:46,848	| moreperfect092717_wereback |	Rocking the Boat
EDL	00:00:46,848	00:00:49,664	| moreperfect092717_wereback |	Back to you is strikes at your very being
EDL	00:00:50,176	00:00:54,528	| moreperfect092717_wereback |	October 2nd more perfect returns for season 2 and this time
EDL	00:00:55,808	00:01:02,208	| moreperfect092717_wereback |	Much bigger now
EDL	00:01:02,208	00:01:08,608	| moreperfect092717_wereback |	We will look bad
EDL	00:01:08,608	00:01:14,752	| moreperfect092717_wereback |	More perfect season 2 back at you bigger and badder
EDL	00:01:14,752	00:01:16,288	| moreperfect092717_wereback |	October 2nd
EDL	00:01:16,288	00:01:18,592	| moreperfect092717_wereback |	Brought you by WNYC Studios
EDL	00:01:21,152	00:01:21,920	| moreperfect092717_wereback |	We hope you'll tune in 
