EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,656	| moreperfect100117_americanpendulumi |	Listener-supported WNYC
EDL	00:00:06,656	00:00:07,424	| moreperfect100117_americanpendulumi |	Be Studios
EDL	00:00:08,704	00:00:12,032	| moreperfect100117_americanpendulumi |	Leadership support for more perfect is provided by the Joyce Foundation
EDL	00:00:13,056	00:00:14,080	| moreperfect100117_americanpendulumi |	This is more perfect
EDL	00:00:14,592	00:00:16,896	| moreperfect100117_americanpendulumi |	Serious about Supreme Court on Jedi boom rod
EDL	00:00:17,920	00:00:20,224	| moreperfect100117_americanpendulumi |	In February of 2017
EDL	00:00:20,992	00:00:23,040	| moreperfect100117_americanpendulumi |	Supreme Court Justice Ruth Bader Ginsburg
EDL	00:00:23,552	00:00:25,856	| moreperfect100117_americanpendulumi |	Said something that surprised a lot of people
EDL	00:00:25,856	00:00:28,160	| moreperfect100117_americanpendulumi |	Well I would say that we are not
EDL	00:00:28,672	00:00:30,720	| moreperfect100117_americanpendulumi |	Experiencing the best of times
EDL	00:00:32,256	00:00:36,352	| moreperfect100117_americanpendulumi |	She stepped straight into the political Fray and addressed this political moment
EDL	00:00:36,352	00:00:37,632	| moreperfect100117_americanpendulumi |	It was a great man
EDL	00:00:38,912	00:00:39,936	| moreperfect100117_americanpendulumi |	A1 said
EDL	00:00:40,704	00:00:41,472	| moreperfect100117_americanpendulumi |	Netty
EDL	00:00:42,752	00:00:49,152	| moreperfect100117_americanpendulumi |	True symbol of the United States is not the bald eagle it is the pendulum
EDL	00:00:49,152	00:00:55,040	| moreperfect100117_americanpendulumi |	And when the pendulum swings too far in One Direction it will go back
EDL	00:00:56,576	00:01:02,976	| moreperfect100117_americanpendulumi |	Some terrible things have happened in the United States but one can only hope
EDL	00:01:02,976	00:01:09,376	| moreperfect100117_americanpendulumi |	That we learn from those bad thing
EDL	00:01:09,376	00:01:15,776	| moreperfect100117_americanpendulumi |	Today we're going to ride the pendulum to the dark side I'm going to start with one of the most infamous decisions
