EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:08,448	| radiolab_podast18intheno1 |	Are you weightless
EDL	00:00:08,448	00:00:14,592	| radiolab_podast18intheno1 |	You're listening to Radiolab from WNYC
EDL	00:00:19,968	00:00:22,784	| radiolab_podast18intheno1 |	Richest are the beginning how did the series
EDL	00:00:22,784	00:00:28,928	| radiolab_podast18intheno1 |	I know the ancient history for you already but how did it come about what was the sort of spark for it I remember
EDL	00:00:29,440	00:00:32,256	| radiolab_podast18intheno1 |	Sing the word know just written down on the page
EDL	00:00:32,768	00:00:34,304	| radiolab_podast18intheno1 |	And immediately be like
EDL	00:00:34,304	00:00:36,864	| radiolab_podast18intheno1 |	Oh my God I have so much to say
EDL	00:00:36,864	00:00:42,496	| radiolab_podast18intheno1 |	About that word here this is Radiolab
EDL	00:00:42,496	00:00:48,896	| radiolab_podast18intheno1 |	Today we're going to be airing work from Radio maker Kaitlin Prest
EDL	00:00:48,896	00:00:55,296	| radiolab_podast18intheno1 |	Because we're going to play for you today sent all of us here on quite a journey Caitlin.
EDL	00:00:55,296	00:01:01,696	| radiolab_podast18intheno1 |	Is a fellow traveler she just released a show through the CBC called the Shadows apparently it involves puppets
EDL	00:01:01,696	00:01:08,096	| radiolab_podast18intheno1 |	You should definitely check it out but before that she was the host and creator of a podcast called the heart
EDL	00:01:08,096	00:01:10,912	| radiolab_podast18intheno1 |	Here's what happened about a year ago
EDL	00:01:10,912	00:01:12,704	| radiolab_podast18intheno1 |	But for five different
EDL	00:01:12,704	00:01:13,728	| radiolab_podast18intheno1 |	People on my staff
EDL	00:01:14,496	00:01:18,336	| radiolab_podast18intheno1 |	Seemingly all at once were like you've got to hear this series from the heart
EDL	00:01:18,848	00:01:19,872	| radiolab_podast18intheno1 |	It was made
EDL	00:01:19,872	00:01:23,712	| radiolab_podast18intheno1 |	Creamy tube now they're in me to you stop what you're doing
EDL	00:01:23,712	00:01:26,784	| radiolab_podast18intheno1 |	Listen to the series to four-part thing it's called no
EDL	00:01:27,296	00:01:28,576	| radiolab_podast18intheno1 |	I personally
EDL	00:01:29,088	00:01:32,416	| radiolab_podast18intheno1 |	I've always had a complicated relationship
EDL	00:01:32,416	00:01:33,952	| radiolab_podast18intheno1 |	With saying no
EDL	00:01:33,952	00:01:35,488	| radiolab_podast18intheno1 |	In any context
EDL	00:01:36,000	00:01:42,400	| radiolab_podast18intheno1 |	But especially within a sexual context and one of the people in our crew
EDL	00:01:42,400	00:01:44,960	| radiolab_podast18intheno1 |	Wanted to make she just said I want to make something
EDL	00:01:44,960	00:01:46,752	| radiolab_podast18intheno1 |	About like
EDL	00:01:46,752	00:01:48,288	| radiolab_podast18intheno1 |	No like just
EDL	00:01:48,288	00:01:49,056	| radiolab_podast18intheno1 |	No
EDL	00:01:49,824	00:01:51,872	| radiolab_podast18intheno1 |	That when I finally listened to the series
EDL	00:01:52,384	00:01:53,152	| radiolab_podast18intheno1 |	I was like
EDL	00:01:54,176	00:01:54,944	| radiolab_podast18intheno1 |	Damn
EDL	00:01:54,944	00:01:56,992	| radiolab_podast18intheno1 |	I've never heard anything like this
EDL	00:01:56,992	00:01:58,016	| radiolab_podast18intheno1 |	Like really and truly
EDL	00:01:58,528	00:02:00,320	| radiolab_podast18intheno1 |	And so what we're going to do
EDL	00:02:01,088	00:02:05,440	| radiolab_podast18intheno1 |	It's kind of construct for you the journey that we went on at soda starts with Caitlin
EDL	00:02:05,440	00:02:05,952	| radiolab_podast18intheno1 |	Work
EDL	00:02:06,464	00:02:08,768	| radiolab_podast18intheno1 |	So today we're going to play you excerpts from
EDL	00:02:08,768	00:02:10,560	| radiolab_podast18intheno1 |	First series that she produced for the heart
EDL	00:02:11,328	00:02:13,632	| radiolab_podast18intheno1 |	Then over the next few weeks
EDL	00:02:14,144	00:02:19,008	| radiolab_podast18intheno1 |	We're going to dive deeper into some of the issues that she raises in her series because like I said
EDL	00:02:19,008	00:02:24,384	| radiolab_podast18intheno1 |	When I heard it and we started talking about it internally it sent us on a whole thing
EDL	00:02:24,384	00:02:30,528	| radiolab_podast18intheno1 |	Series of conversations that went all over the place and we'll play you some of that in the next two episodes right now
EDL	00:02:30,528	00:02:33,600	| radiolab_podast18intheno1 |	What play you excerpts from Caitlin series end
EDL	00:02:34,112	00:02:35,136	| radiolab_podast18intheno1 |	Just as a warning
EDL	00:02:35,904	00:02:38,720	| radiolab_podast18intheno1 |	There are scenes in what you're about to hear that are
EDL	00:02:40,256	00:02:41,280	| radiolab_podast18intheno1 |	Sexual explicit
EDL	00:02:41,792	00:02:44,096	| radiolab_podast18intheno1 |	Very much so at times and
EDL	00:02:44,608	00:02:48,192	| radiolab_podast18intheno1 |	Strong language probably not the kind of thing that you want to listen to with kids
EDL	00:02:48,960	00:02:49,728	| radiolab_podast18intheno1 |	Anywhere nearby
EDL	00:02:51,264	00:02:51,776	| radiolab_podast18intheno1 |	Anyhow
EDL	00:02:52,544	00:02:57,920	| radiolab_podast18intheno1 |	We're going to start with an excerpt from the second episode of Caitlin series no for the heart
EDL	00:02:58,432	00:03:00,736	| radiolab_podast18intheno1 |	This episode she titled inheritance
EDL	00:03:11,232	00:03:17,632	| radiolab_podast18intheno1 |	Hello and welcome to this month's edition of audio smut
EDL	00:03:17,632	00:03:21,984	| radiolab_podast18intheno1 |	I'm in my twenties I left my tiny little town for the big city
EDL	00:03:21,984	00:03:23,776	| radiolab_podast18intheno1 |	I live in NYC now
EDL	00:03:23,776	00:03:25,568	| radiolab_podast18intheno1 |	Chinese slippers
EDL	00:03:25,568	00:03:31,968	| radiolab_podast18intheno1 |	I make an artsy feminist sex radio show
EDL	00:03:31,968	00:03:38,368	| radiolab_podast18intheno1 |	Sex positive feminism tells me that I was onto something back in my teens adopting the same ruthless
EDL	00:03:38,368	00:03:44,768	| radiolab_podast18intheno1 |	Sexual posturing the boys are encouraged to would allow me to wheel some of their power if we f*****
EDL	00:03:44,768	00:03:51,168	| radiolab_podast18intheno1 |	Without feelings we too could be free having slept Pride with cebert the double standard
EDL	00:03:51,168	00:03:57,312	| radiolab_podast18intheno1 |	That would force the world to recognize that women sexual pleasure is real
EDL	00:03:59,616	00:04:01,920	| radiolab_podast18intheno1 |	The only problem is that I hate casual sex
EDL	00:04:01,920	00:04:08,320	| radiolab_podast18intheno1 |	Make up for it I masturbate with abandon and tell the world about it
EDL	00:04:08,320	00:04:13,184	| radiolab_podast18intheno1 |	Switch low medium or high vibration pain
EDL	00:04:15,744	00:04:22,143	| radiolab_podast18intheno1 |	Become an expert at advocating for my own pleasure I know what I want
EDL	00:04:22,143	00:04:28,543	| radiolab_podast18intheno1 |	I feel entitled to it I really wanted to sleep over but just FYI I'm not
EDL	00:04:28,543	00:04:34,943	| radiolab_podast18intheno1 |	Tupac. Cool
EDL	00:04:34,943	00:04:41,087	| radiolab_podast18intheno1 |	After all these years I've mastered the art of saying no
EDL	00:04:47,743	00:04:54,143	| radiolab_podast18intheno1 |	Stretch yourself out from downward dog into play
EDL	00:04:54,143	00:05:00,543	| radiolab_podast18intheno1 |	No
EDL	00:05:00,543	00:05:06,687	| radiolab_podast18intheno1 |	I know now that what I'm looking for is love even though I know it's corny
EDL	00:05:10,015	00:05:14,623	| radiolab_podast18intheno1 |	Thunder
EDL	00:05:14,623	00:05:17,951	| radiolab_podast18intheno1 |	Not a big brown couch wrapped up in the arms by friend
EDL	00:05:17,951	00:05:18,463	| radiolab_podast18intheno1 |	Jay
EDL	00:05:19,743	00:05:21,535	| radiolab_podast18intheno1 |	Songs are really
EDL	00:05:22,047	00:05:26,143	| radiolab_podast18intheno1 |	Do my best not to like this more than a friendship with the appropriate a little
EDL	00:05:33,055	00:05:34,591	| radiolab_podast18intheno1 |	Yeah
EDL	00:05:35,103	00:05:35,871	| radiolab_podast18intheno1 |	Okay cool
EDL	00:05:36,895	00:05:37,407	| radiolab_podast18intheno1 |	Go get it
EDL	00:05:37,919	00:05:44,319	| radiolab_podast18intheno1 |	But of course I can't stop myself from wondering this friendship is the Friendship the right under your nose
EDL	00:05:44,319	00:05:45,599	| radiolab_podast18intheno1 |	That whole time
EDL	00:05:45,599	00:05:51,999	| radiolab_podast18intheno1 |	Kind of friendship
EDL	00:05:51,999	00:05:58,399	| radiolab_podast18intheno1 |	Been friends j48 years like my oldest
EDL	00:05:58,399	00:06:04,287	| radiolab_podast18intheno1 |	How did it go Jan I've always kept it in your pants
EDL	00:06:04,287	00:06:10,687	| radiolab_podast18intheno1 |	Masculine way to this perfect friendly intimacy we call each other babe and boo liebich about oral
EDL	00:06:10,687	00:06:17,087	| radiolab_podast18intheno1 |	Relationship dramas have extensive Gchat conversations into the night and always sign off with the word love spelled in full
EDL	00:06:17,087	00:06:23,487	| radiolab_podast18intheno1 |	If I hate my current relationship
EDL	00:06:23,487	00:06:29,887	| radiolab_podast18intheno1 |	And that's good night night love you with that being the case there are as I think there are like
EDL	00:06:29,887	00:06:36,287	| radiolab_podast18intheno1 |	Great great hookups that are just
EDL	00:06:36,287	00:06:42,687	| radiolab_podast18intheno1 |	One night stand so
EDL	00:06:42,687	00:06:49,087	| radiolab_podast18intheno1 |	I've always thought it was hot it looks a little bit like my cousin Robert I had a forbidden crush on when I was a kid
EDL	00:06:49,087	00:06:53,439	| radiolab_podast18intheno1 |	Boyfriend 4th of July
EDL	00:06:53,439	00:06:59,839	| radiolab_podast18intheno1 |	Play 1130
EDL	00:06:59,839	00:07:05,983	| radiolab_podast18intheno1 |	I want to come over for a snuggle party
EDL	00:07:10,079	00:07:10,591	| radiolab_podast18intheno1 |	Hey
EDL	00:07:11,359	00:07:15,199	| radiolab_podast18intheno1 |	Hey
EDL	00:07:18,783	00:07:20,063	| radiolab_podast18intheno1 |	What's happening
EDL	00:07:20,063	00:07:26,463	| radiolab_podast18intheno1 |	Put on some music and sit on the bed woman she's so cool and she kind of had this thing in common where
EDL	00:07:26,463	00:07:27,231	| radiolab_podast18intheno1 |	Arabella
EDL	00:07:27,231	00:07:33,631	| radiolab_podast18intheno1 |	Billy time in people and we're talking about how like she's not really used to making the move
EDL	00:07:33,631	00:07:40,031	| radiolab_podast18intheno1 |	The. She sort of create the conditions in which I move can be made
EDL	00:07:40,031	00:07:40,799	| radiolab_podast18intheno1 |	Why
EDL	00:07:40,799	00:07:42,079	| radiolab_podast18intheno1 |	Because
EDL	00:07:42,079	00:07:44,895	| radiolab_podast18intheno1 |	Looks like some weird power into
EDL	00:07:44,895	00:07:47,967	| radiolab_podast18intheno1 |	That like submissive role that I just don't think is really there
EDL	00:07:49,759	00:07:50,783	| radiolab_podast18intheno1 |	Are you serious
EDL	00:07:54,367	00:07:55,391	| radiolab_podast18intheno1 |	Really you're going to
EDL	00:08:11,007	00:08:14,335	| radiolab_podast18intheno1 |	I feel like I'm kind of nervous
EDL	00:08:14,335	00:08:15,615	| radiolab_podast18intheno1 |	Yeah
EDL	00:08:15,615	00:08:17,151	| radiolab_podast18intheno1 |	That's cute
EDL	00:08:24,063	00:08:30,207	| radiolab_podast18intheno1 |	Too quick
EDL	00:08:35,327	00:08:38,143	| radiolab_podast18intheno1 |	He says yeah but you keep going not reading me
EDL	00:08:44,031	00:08:45,567	| radiolab_podast18intheno1 |	I Don't Wanna Miss a Thing
EDL	00:08:47,103	00:08:48,383	| radiolab_podast18intheno1 |	Define whatever
EDL	00:08:49,919	00:08:53,759	| radiolab_podast18intheno1 |	Sorry I just have to pause the scene for a second
EDL	00:08:54,271	00:08:55,807	| radiolab_podast18intheno1 |	Give you some information
EDL	00:08:57,343	00:09:00,927	| radiolab_podast18intheno1 |	So what you're hearing right now if you hadn't already noticed
EDL	00:09:01,951	00:09:03,231	| radiolab_podast18intheno1 |	Is a reenactment
EDL	00:09:03,743	00:09:05,535	| radiolab_podast18intheno1 |	Hugo ya do it
EDL	00:09:05,535	00:09:06,303	| radiolab_podast18intheno1 |	Hey
EDL	00:09:06,303	00:09:07,839	| radiolab_podast18intheno1 |	This is an actor
EDL	00:09:07,839	00:09:08,351	| radiolab_podast18intheno1 |	Hey
EDL	00:09:08,863	00:09:11,167	| radiolab_podast18intheno1 |	The name is Tommy and then I'll be like hey like
EDL	00:09:11,167	00:09:16,031	| radiolab_podast18intheno1 |	Can you connect slow down a little bit
EDL	00:09:17,055	00:09:19,103	| radiolab_podast18intheno1 |	Curing yes
EDL	00:09:19,103	00:09:20,639	| radiolab_podast18intheno1 |	He was pretty like
EDL	00:09:20,639	00:09:21,663	| radiolab_podast18intheno1 |	Progressive
EDL	00:09:21,663	00:09:26,527	| radiolab_podast18intheno1 |	Yeah the making of the story I called the real Jay to verify what happened that night
EDL	00:09:27,551	00:09:31,647	| radiolab_podast18intheno1 |	I also asked him if he wanted to write and re-enact the whole story with me
EDL	00:09:32,415	00:09:32,927	| radiolab_podast18intheno1 |	But
EDL	00:09:34,207	00:09:35,487	| radiolab_podast18intheno1 |	Are you guys still friends
EDL	00:09:35,487	00:09:40,095	| radiolab_podast18intheno1 |	We started being friends again since I
EDL	00:09:40,095	00:09:46,239	| radiolab_podast18intheno1 |	Call them and ask him if he would do an interview about like you're going to hear more from the real Jay
EDL	00:09:46,239	00:09:46,751	| radiolab_podast18intheno1 |	Later
EDL	00:09:48,031	00:09:53,663	| radiolab_podast18intheno1 |	But what I need you to know right now in this moment is that what you're hearing isn't the real thing
EDL	00:09:54,687	00:10:01,087	| radiolab_podast18intheno1 |	I built this scene so that it sounds as close to the way that I remember it as possible will kiss again and
EDL	00:10:01,087	00:10:02,879	| radiolab_podast18intheno1 |	Kind of intense again
EDL	00:10:02,879	00:10:04,671	| radiolab_podast18intheno1 |	And then say it again
EDL	00:10:04,671	00:10:06,207	| radiolab_podast18intheno1 |	And then you get kind of pissed
EDL	00:10:06,719	00:10:07,487	| radiolab_podast18intheno1 |	At that moment
EDL	00:10:07,999	00:10:09,279	| radiolab_podast18intheno1 |	You say
EDL	00:10:09,279	00:10:10,815	| radiolab_podast18intheno1 |	Pine
EDL	00:10:34,879	00:10:41,279	| radiolab_podast18intheno1 |	Astera the overhead
EDL	00:10:41,279	00:10:41,791	| radiolab_podast18intheno1 |	Headlight
EDL	00:10:42,559	00:10:43,327	| radiolab_podast18intheno1 |	I look at the clock
EDL	00:10:44,607	00:10:45,631	| radiolab_podast18intheno1 |	Almost 1 a.m.
EDL	00:10:46,911	00:10:48,447	| radiolab_podast18intheno1 |	The air is tense
EDL	00:10:49,727	00:10:51,007	| radiolab_podast18intheno1 |	I feel like it's my fault
EDL	00:10:52,543	00:10:53,823	| radiolab_podast18intheno1 |	I know better than that
EDL	00:10:54,847	00:10:55,615	| radiolab_podast18intheno1 |	Go
EDL	00:10:57,663	00:10:58,431	| radiolab_podast18intheno1 |	But I don't
EDL	00:10:59,967	00:11:06,111	| radiolab_podast18intheno1 |	Frozen I can't move
EDL	00:11:12,767	00:11:18,911	| radiolab_podast18intheno1 |	He's back at the zipper of my jeans with my hand on a dick
EDL	00:11:21,471	00:11:22,751	| radiolab_podast18intheno1 |	If you have a wreck
EDL	00:11:23,263	00:11:24,799	| radiolab_podast18intheno1 |	This is
EDL	00:11:26,079	00:11:27,359	| radiolab_podast18intheno1 |	What if you just like
EDL	00:11:28,127	00:11:29,663	| radiolab_podast18intheno1 |	Go to the bathroom and
EDL	00:11:29,663	00:11:30,431	| radiolab_podast18intheno1 |	Just like
EDL	00:11:30,943	00:11:31,967	| radiolab_podast18intheno1 |	Come back
EDL	00:11:35,295	00:11:35,807	| radiolab_podast18intheno1 |	What
EDL	00:11:36,319	00:11:38,111	| radiolab_podast18intheno1 |	Cuz I'm we can just make out and be fine
EDL	00:11:40,415	00:11:41,695	| radiolab_podast18intheno1 |	Just do it come on
EDL	00:11:44,767	00:11:46,303	| radiolab_podast18intheno1 |	Touch it come on
EDL	00:11:48,863	00:11:49,631	| radiolab_podast18intheno1 |	Dude
EDL	00:11:50,143	00:11:51,167	| radiolab_podast18intheno1 |	What
EDL	00:12:04,479	00:12:08,063	| radiolab_podast18intheno1 |	On the outside act like everything's fine on the inside I give up
EDL	00:12:08,063	00:12:14,463	| radiolab_podast18intheno1 |	And the way that feels so familiar to me
EDL	00:12:14,463	00:12:20,863	| radiolab_podast18intheno1 |	I make myself, in front of him so he can make himself come
EDL	00:12:20,863	00:12:27,263	| radiolab_podast18intheno1 |	We can go back to having a nice night I feel defeated but the same
EDL	00:12:27,263	00:12:33,663	| radiolab_podast18intheno1 |	Sometime I'm getting off I'm really good at masturbating so it's not hard for it to feel good
EDL	00:12:33,663	00:12:39,807	| radiolab_podast18intheno1 |	Perfume moments I forget that I feel like s***
EDL	00:12:50,047	00:12:51,327	| radiolab_podast18intheno1 |	I'm sad when I leave
