EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,792	00:00:02,816	| radiolab_podcast14outsidewestgate |	Weight units
EDL	00:00:06,144	00:00:10,752	| radiolab_podcast14outsidewestgate |	Listening to Radiolab
EDL	00:00:11,264	00:00:15,616	| radiolab_podcast14outsidewestgate |	Radio WNYC
EDL	00:00:16,384	00:00:18,944	| radiolab_podcast14outsidewestgate |	And NPR
EDL	00:00:19,456	00:00:22,784	| radiolab_podcast14outsidewestgate |	An upscale Mall in Nairobi has turned into a Battleground
EDL	00:00:22,784	00:00:29,184	| radiolab_podcast14outsidewestgate |	Armed men stormed Westgate Mall in the Kenyan capital
EDL	00:00:29,184	00:00:35,584	| radiolab_podcast14outsidewestgate |	For lunchtime firing weapons and throwing grenade what appears to witness has to be at least a dozen gunmen
EDL	00:00:35,584	00:00:39,424	| radiolab_podcast14outsidewestgate |	Have taken hostages inside others have reported that the
EDL	00:00:40,704	00:00:47,104	| radiolab_podcast14outsidewestgate |	There have been reports there have been unsubstantiated reports Canyon police and
EDL	00:00:47,104	00:00:53,504	| radiolab_podcast14outsidewestgate |	Counter-terrorism officers are hoping I would feel like I need to start with the caveat that all these other stories that we
EDL	00:00:53,504	00:00:59,904	| radiolab_podcast14outsidewestgate |	You know gotten to do together gunfire have been me telling you a story as a journalist
EDL	00:00:59,904	00:01:04,000	| radiolab_podcast14outsidewestgate |	Feel like this story is going to be a story where I'm going to have to stop being a journalist
EDL	00:01:06,560	00:01:09,632	| radiolab_podcast14outsidewestgate |	Hey I'm Jared I'm Ron I'm Robert krulwich this is Radiolab
EDL	00:01:14,240	00:01:18,080	| radiolab_podcast14outsidewestgate |	We got you just heard that was NPR's East Africa correspondent Greg Warner
EDL	00:01:18,080	00:01:20,896	| radiolab_podcast14outsidewestgate |	Recently he came to us with another one
EDL	00:01:21,664	00:01:23,456	| radiolab_podcast14outsidewestgate |	It was all about a struggle he was having
EDL	00:01:23,968	00:01:26,528	| radiolab_podcast14outsidewestgate |	Trying to figure out how to tell a story
EDL	00:01:27,552	00:01:28,320	| radiolab_podcast14outsidewestgate |	That is true
EDL	00:01:29,088	00:01:30,112	| radiolab_podcast14outsidewestgate |	I'm sleep with that
EDL	00:01:30,112	00:01:31,392	| radiolab_podcast14outsidewestgate |	Sexy story about
EDL	00:01:31,392	00:01:33,184	| radiolab_podcast14outsidewestgate |	The aftermath of an event that
EDL	00:01:33,952	00:01:38,048	| radiolab_podcast14outsidewestgate |	Probably got more media coverage than almost any events in East Africa last year that is the
EDL	00:01:39,072	00:01:42,400	| radiolab_podcast14outsidewestgate |	The terrorist attack on Westgate Mall in Nairobi
EDL	00:01:43,168	00:01:47,264	| radiolab_podcast14outsidewestgate |	This was September 21st 2013 was a
EDL	00:01:48,032	00:01:51,616	| radiolab_podcast14outsidewestgate |	Balmy Saturday afternoon Westgate Shopping Mall
EDL	00:01:51,616	00:01:53,920	| radiolab_podcast14outsidewestgate |	Crowded with more than a thousand shoppers
EDL	00:01:53,920	00:02:00,320	| radiolab_podcast14outsidewestgate |	Even more families than usual were there that day because there was a children's cooking competition in fact the kids were just sitting up
EDL	00:02:00,320	00:02:01,344	| radiolab_podcast14outsidewestgate |	Dairy ingredients
EDL	00:02:01,344	00:02:07,488	| radiolab_podcast14outsidewestgate |	Parents just taking their seats when shortly after noon
EDL	00:02:08,000	00:02:08,768	| radiolab_podcast14outsidewestgate |	Gunman
EDL	00:02:10,048	00:02:16,192	| radiolab_podcast14outsidewestgate |	Entered the building shooting AK-47 is going Florida for killing people and the seats would last for four days
EDL	00:02:19,264	00:02:20,544	| radiolab_podcast14outsidewestgate |	4 days
EDL	00:02:20,544	00:02:21,824	| radiolab_podcast14outsidewestgate |	Central Ein
EDL	00:02:22,336	00:02:23,872	| radiolab_podcast14outsidewestgate |	Like dozens of
EDL	00:02:24,384	00:02:28,480	| radiolab_podcast14outsidewestgate |	International independent and local journalists are outside the mall
EDL	00:02:28,480	00:02:34,880	| radiolab_podcast14outsidewestgate |	Listening to sounds of gunfire
EDL	00:02:34,880	00:02:36,160	| radiolab_podcast14outsidewestgate |	Trying to guess
EDL	00:02:36,160	00:02:41,024	| radiolab_podcast14outsidewestgate |	What's happening inside because the prices of course not allowed in while this for this battle is ongoing
EDL	00:02:41,024	00:02:43,584	| radiolab_podcast14outsidewestgate |	Meanwhile I'm getting on the air every hour
EDL	00:02:43,584	00:02:49,984	| radiolab_podcast14outsidewestgate |	Trying to piece things together
EDL	00:02:49,984	00:02:51,008	| radiolab_podcast14outsidewestgate |	Coming my way
EDL	00:02:51,008	00:02:52,032	| radiolab_podcast14outsidewestgate |	So I'm going to
EDL	00:02:55,616	00:02:57,664	| radiolab_podcast14outsidewestgate |	Gregory movers you need to move Wyoming
EDL	00:02:57,664	00:03:01,760	| radiolab_podcast14outsidewestgate |	But my point is that there was no information at the scene other than this gunfire
EDL	00:03:02,272	00:03:04,320	| radiolab_podcast14outsidewestgate |	What there was were
EDL	00:03:04,832	00:03:06,112	| radiolab_podcast14outsidewestgate |	A whole bunch of Survivor
EDL	00:03:06,880	00:03:09,184	| radiolab_podcast14outsidewestgate |	How do you feel
EDL	00:03:09,696	00:03:10,464	| radiolab_podcast14outsidewestgate |	Helpless
EDL	00:03:11,232	00:03:17,632	| radiolab_podcast14outsidewestgate |	Help us a fact all the journalists were racing around interviewing eyewitnesses
EDL	00:03:17,632	00:03:22,496	| radiolab_podcast14outsidewestgate |	Buddy was I'm in everybody was really running for their lives
EDL	00:03:22,496	00:03:24,544	| radiolab_podcast14outsidewestgate |	Pocket dammit officials
EDL	00:03:24,544	00:03:27,104	| radiolab_podcast14outsidewestgate |	To get a picture of what happened in the story
EDL	00:03:27,616	00:03:30,432	| radiolab_podcast14outsidewestgate |	That emerges from the those interviews is basically.
EDL	00:03:30,432	00:03:30,944	| radiolab_podcast14outsidewestgate |	Stat
EDL	00:03:31,712	00:03:38,112	| radiolab_podcast14outsidewestgate |	The number of terrorist inside that mall or at least in the beginning was 10 to 15 gunmen
EDL	00:03:38,112	00:03:44,512	| radiolab_podcast14outsidewestgate |	And I'm 15 gunmen 10 to 15 attackers to 15 armed militants with her profile is multi-ethnic
EDL	00:03:44,512	00:03:50,400	| radiolab_podcast14outsidewestgate |	Cancel the United Kingdom end
EDL	00:03:50,400	00:03:51,424	| radiolab_podcast14outsidewestgate |	Somalis
EDL	00:03:51,424	00:03:52,448	| radiolab_podcast14outsidewestgate |	Canyon aeroad
EDL	00:03:52,960	00:03:59,360	| radiolab_podcast14outsidewestgate |	Mostly men but also including a British woman that young British
EDL	00:03:59,360	00:04:04,992	| radiolab_podcast14outsidewestgate |	Eyewitnesses eyewitnesses on different floors in the mall all talking about the Dare gun that the people they saw
EDL	00:04:04,992	00:04:07,040	| radiolab_podcast14outsidewestgate |	And it's this multi-ethnic group
EDL	00:04:07,040	00:04:13,184	| radiolab_podcast14outsidewestgate |	And then of course perhaps most alarmingly for the both of us living in Nairobi there's reports that at least one gun
EDL	00:04:13,696	00:04:14,720	| radiolab_podcast14outsidewestgate |	Had
EDL	00:04:14,720	00:04:19,327	| radiolab_podcast14outsidewestgate |	After shooting some people thrown away his gun and actually escaped
