EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,560	00:00:08,704	| radiolab_podcast15shrink |	Listening to Radiolab
EDL	00:00:09,472	00:00:13,824	| radiolab_podcast15shrink |	Radiolab WNYC
EDL	00:00:17,152	00:00:23,040	| radiolab_podcast15shrink |	Come On Eileen
EDL	00:00:23,552	00:00:29,696	| radiolab_podcast15shrink |	Hey this is Radiolab on something that's a little bit unorthodox today least for us
EDL	00:00:31,232	00:00:33,024	| radiolab_podcast15shrink |	Yeah if you listen to the show in the last
EDL	00:00:33,536	00:00:34,048	| radiolab_podcast15shrink |	10 years
EDL	00:00:35,840	00:00:36,864	| radiolab_podcast15shrink |	You understand it like
EDL	00:00:37,376	00:00:38,400	| radiolab_podcast15shrink |	We like to edit
EDL	00:00:38,400	00:00:39,168	| radiolab_podcast15shrink |	Brightwheel
EDL	00:00:39,168	00:00:40,448	| radiolab_podcast15shrink |	Do you like a good at it
EDL	00:00:40,960	00:00:44,544	| radiolab_podcast15shrink |	Or 70 but today play something that has
EDL	00:00:44,544	00:00:45,824	| radiolab_podcast15shrink |	Almost no edits at all
EDL	00:00:46,336	00:00:47,360	| radiolab_podcast15shrink |	It's just a conversation
EDL	00:00:47,872	00:00:49,920	| radiolab_podcast15shrink |	Which is of course the foundation what we do
EDL	00:00:49,920	00:00:51,200	| radiolab_podcast15shrink |	These long
EDL	00:00:51,712	00:00:52,736	| radiolab_podcast15shrink |	Rambling
EDL	00:00:53,248	00:00:55,296	| radiolab_podcast15shrink |	Occasionally profane
EDL	00:00:55,296	00:00:56,064	| radiolab_podcast15shrink |	Error
EDL	00:00:56,064	00:00:59,648	| radiolab_podcast15shrink |	Strewn conversations that we've been at it into something coherent
EDL	00:00:59,648	00:01:00,416	| radiolab_podcast15shrink |	Today
EDL	00:01:00,416	00:01:02,208	| radiolab_podcast15shrink |	I want to show you the messiness no edit
EDL	00:01:02,720	00:01:03,744	| radiolab_podcast15shrink |	This is a
EDL	00:01:04,512	00:01:07,072	| radiolab_podcast15shrink |	Chunk of a conversation with science writer Carl Zimmer
EDL	00:01:07,840	00:01:09,120	| radiolab_podcast15shrink |	He came and sat down with us
EDL	00:01:09,120	00:01:10,144	| radiolab_podcast15shrink |	A while back
EDL	00:01:10,144	00:01:10,912	| radiolab_podcast15shrink |	Can we talk
EDL	00:01:10,912	00:01:11,680	| radiolab_podcast15shrink |	4 hours
EDL	00:01:11,680	00:01:12,448	| radiolab_podcast15shrink |	Two of those hours
EDL	00:01:12,960	00:01:15,008	| radiolab_podcast15shrink |	Became the basis for
EDL	00:01:15,008	00:01:18,336	| radiolab_podcast15shrink |	Crispr podcast it was a few podcasts to go this about Gene editing
EDL	00:01:18,848	00:01:21,920	| radiolab_podcast15shrink |	Then we kept on going for another two hours and he told us
EDL	00:01:21,920	00:01:24,480	| radiolab_podcast15shrink |	This story actually two stories with rolling play one
EDL	00:01:25,504	00:01:26,784	| radiolab_podcast15shrink |	That I thought was really cool
EDL	00:01:27,296	00:01:28,320	| radiolab_podcast15shrink |	It's about this
EDL	00:01:28,832	00:01:30,112	| radiolab_podcast15shrink |	New way of looking at life
EDL	00:01:33,440	00:01:34,464	| radiolab_podcast15shrink |	It's not a
EDL	00:01:34,464	00:01:36,000	| radiolab_podcast15shrink |	Yeah we can get through this a lot faster than
EDL	00:01:37,536	00:01:38,304	| radiolab_podcast15shrink |	I really like
EDL	00:01:39,584	00:01:41,120	| radiolab_podcast15shrink |	How do I I need
EDL	00:01:46,496	00:01:49,824	| radiolab_podcast15shrink |	Perfect perfect way to describe
EDL	00:01:50,336	00:01:52,384	| radiolab_podcast15shrink |	Biological bomb Okay so
EDL	00:01:52,896	00:01:53,664	| radiolab_podcast15shrink |	Chappie
EDL	00:01:53,664	00:01:55,456	| radiolab_podcast15shrink |	After 2
EDL	00:01:55,456	00:01:56,480	| radiolab_podcast15shrink |	The story monster
EDL	00:01:56,480	00:01:57,248	| radiolab_podcast15shrink |	What's the Once Upon a Time
EDL	00:01:58,272	00:01:58,784	| radiolab_podcast15shrink |	So
EDL	00:01:59,296	00:02:01,088	| radiolab_podcast15shrink |	Once Upon a Time
EDL	00:02:01,088	00:02:02,880	| radiolab_podcast15shrink |	Being
EDL	00:02:04,672	00:02:05,184	| radiolab_podcast15shrink |	I say what
EDL	00:02:06,976	00:02:09,280	| radiolab_podcast15shrink |	Once Upon a Time being before 2003
EDL	00:02:09,792	00:02:13,120	| radiolab_podcast15shrink |	We basically had two kinds
EDL	00:02:13,120	00:02:13,632	| radiolab_podcast15shrink |	Of
EDL	00:02:14,400	00:02:15,168	| radiolab_podcast15shrink |	Living things on
EDL	00:02:15,680	00:02:16,704	| radiolab_podcast15shrink |	That we had
EDL	00:02:17,216	00:02:19,008	| radiolab_podcast15shrink |	Cellular life and we had Myra
EDL	00:02:19,520	00:02:20,288	| radiolab_podcast15shrink |	Send
EDL	00:02:20,288	00:02:21,824	| radiolab_podcast15shrink |	There was nice and distinct
EDL	00:02:21,824	00:02:22,592	| radiolab_podcast15shrink |	And clear-cut
EDL	00:02:23,360	00:02:24,128	| radiolab_podcast15shrink |	And so
EDL	00:02:24,640	00:02:25,664	| radiolab_podcast15shrink |	Cells included
EDL	00:02:27,456	00:02:28,992	| radiolab_podcast15shrink |	It's our bodies made of cells and
EDL	00:02:28,992	00:02:29,504	| radiolab_podcast15shrink |	Bacteria which
EDL	00:02:30,016	00:02:31,040	| radiolab_podcast15shrink |	Single-celled
EDL	00:02:31,808	00:02:32,832	| radiolab_podcast15shrink |	All the other
EDL	00:02:32,832	00:02:38,976	| radiolab_podcast15shrink |	Things that can grow and let their cells divide they have DNA they have proteins in the mail.
EDL	00:02:40,000	00:02:41,792	| radiolab_podcast15shrink |	And then over here you have virus
EDL	00:02:42,304	00:02:45,888	| radiolab_podcast15shrink |	Viruses were just little packages of genetic material that
EDL	00:02:46,912	00:02:49,984	| radiolab_podcast15shrink |	Would go from cell to cell and use the cell to make new virus
EDL	00:02:51,008	00:02:53,056	| radiolab_podcast15shrink |	Enter inside of the mall they had with jeans
EDL	00:02:53,056	00:02:53,824	| radiolab_podcast15shrink |	And
EDL	00:02:53,824	00:02:54,848	| radiolab_podcast15shrink |	A couple proteins that
EDL	00:02:55,360	00:02:56,128	| radiolab_podcast15shrink |	What then
EDL	00:02:56,640	00:02:57,152	| radiolab_podcast15shrink |	Hijack
EDL	00:02:57,664	00:02:59,456	| radiolab_podcast15shrink |	Their house seem like soap
EDL	00:02:59,968	00:03:00,736	| radiolab_podcast15shrink |	Soap
EDL	00:03:00,736	00:03:02,272	| radiolab_podcast15shrink |	Preliminary
EDL	00:03:02,272	00:03:05,088	| radiolab_podcast15shrink |	They don't even maybe not even qualify as life right
EDL	00:03:05,856	00:03:07,392	| radiolab_podcast15shrink |	They can't grow on their own
EDL	00:03:07,392	00:03:09,440	| radiolab_podcast15shrink |	They can't generate their own energy
EDL	00:03:09,440	00:03:10,208	| radiolab_podcast15shrink |	So
EDL	00:03:10,208	00:03:12,768	| radiolab_podcast15shrink |	Austin Eliza Schuyler life we
EDL	00:03:12,768	00:03:13,536	| radiolab_podcast15shrink |	Mii Maker
EDL	00:03:13,536	00:03:15,072	| radiolab_podcast15shrink |	Kind of fuel called ATP
EDL	00:03:16,096	00:03:16,864	| radiolab_podcast15shrink |	We need that
EDL	00:03:16,864	00:03:19,168	| radiolab_podcast15shrink |	Do every little thing in our body and virus
EDL	00:03:19,168	00:03:20,704	| radiolab_podcast15shrink |	Oasis don't make ATP so
EDL	00:03:21,472	00:03:23,008	| radiolab_podcast15shrink |	Can we say that life is
EDL	00:03:23,008	00:03:25,312	| radiolab_podcast15shrink |	Ice cells and multicellular being
EDL	00:03:25,312	00:03:26,080	| radiolab_podcast15shrink |	And
EDL	00:03:26,080	00:03:26,848	| radiolab_podcast15shrink |	Then there's a
EDL	00:03:26,848	00:03:27,872	| radiolab_podcast15shrink |	Like sort of
EDL	00:03:27,872	00:03:28,384	| radiolab_podcast15shrink |	Pseudo life
