EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast16biggerthanbacon |	Are you awake
EDL	00:00:06,912	00:00:10,752	| radiolab_podcast16biggerthanbacon |	Listening to Radiolab
EDL	00:00:11,264	00:00:15,616	| radiolab_podcast16biggerthanbacon |	Radio WNYC
EDL	00:00:19,200	00:00:22,528	| radiolab_podcast16biggerthanbacon |	Hey I'm Jared I'm Ron I'm Robert krulwich Radiolab today
EDL	00:00:23,040	00:00:26,112	| radiolab_podcast16biggerthanbacon |	We have a mystery that is vanishingly Tiny
EDL	00:00:26,112	00:00:32,512	| radiolab_podcast16biggerthanbacon |	Shockingly hot and managers to combine submarines Keanu Reeves Red Lobster in Game of Thrones
EDL	00:00:32,512	00:00:33,792	| radiolab_podcast16biggerthanbacon |	Producer Molly Webster
EDL	00:00:33,792	00:00:35,328	| radiolab_podcast16biggerthanbacon |	Many members of his family
EDL	00:00:35,840	00:00:36,864	| radiolab_podcast16biggerthanbacon |	Hello hello hello hello
EDL	00:00:39,680	00:00:44,032	| radiolab_podcast16biggerthanbacon |	Where are the children you want to begin in the beautiful state of
EDL	00:00:44,032	00:00:45,824	| radiolab_podcast16biggerthanbacon |	South Carolina South Carolina
EDL	00:00:47,872	00:00:50,944	| radiolab_podcast16biggerthanbacon |	On a pier is my radio Gear waterproof
EDL	00:00:51,456	00:00:56,064	| radiolab_podcast16biggerthanbacon |	Onondaga case we're going to walk down to the docking which is just looked
EDL	00:00:56,064	00:01:02,464	| radiolab_podcast16biggerthanbacon |	The place where they all put boats in the water and that's where we always
EDL	00:01:02,464	00:01:06,560	| radiolab_podcast16biggerthanbacon |	I like a bomba
EDL	00:01:07,584	00:01:09,120	| radiolab_podcast16biggerthanbacon |	My parents recently moved to this
EDL	00:01:09,120	00:01:15,520	| radiolab_podcast16biggerthanbacon |	Marshy swampy area near the Intracoastal Waterway which is like a connecting series of
EDL	00:01:15,520	00:01:17,312	| radiolab_podcast16biggerthanbacon |	Salty Channel
EDL	00:01:17,312	00:01:19,104	| radiolab_podcast16biggerthanbacon |	And we grew up in Ohio and he was like
EDL	00:01:19,104	00:01:25,504	| radiolab_podcast16biggerthanbacon |	Totally different landscape than what we were up a little people would be my nieces and nephews
EDL	00:01:25,504	00:01:29,600	| radiolab_podcast16biggerthanbacon |	The Weeknd ride it back America was or my children
EDL	00:01:29,600	00:01:33,440	| radiolab_podcast16biggerthanbacon |	Getting along and compromise Webster one of my sisters
EDL	00:01:33,440	00:01:34,976	| radiolab_podcast16biggerthanbacon |	Every time the weather like
EDL	00:01:36,256	00:01:38,560	| radiolab_podcast16biggerthanbacon |	Okay so this is the story of the story is
EDL	00:01:38,560	00:01:44,960	| radiolab_podcast16biggerthanbacon |	So my parents first move there and remember going out on the docks with my dad and we are sort of looking at the beautiful
EDL	00:01:44,960	00:01:46,240	| radiolab_podcast16biggerthanbacon |	Marsh rides
EDL	00:01:46,240	00:01:48,288	| radiolab_podcast16biggerthanbacon |	And it was really weird sound like
EDL	00:01:48,288	00:01:49,312	| radiolab_podcast16biggerthanbacon |	Coming off the water
EDL	00:01:51,616	00:01:53,920	| radiolab_podcast16biggerthanbacon |	I recently took my nieces and nephew out to see if they could
EDL	00:01:55,456	00:01:58,016	| radiolab_podcast16biggerthanbacon |	Allen vs
EDL	00:01:58,016	00:01:59,040	| radiolab_podcast16biggerthanbacon |	They're not going to move
EDL	00:01:59,808	00:02:01,088	| radiolab_podcast16biggerthanbacon |	Are not going to squeak
EDL	00:02:01,088	00:02:01,856	| radiolab_podcast16biggerthanbacon |	Macintosh
EDL	00:02:01,856	00:02:02,880	| radiolab_podcast16biggerthanbacon |	Not going to talk
EDL	00:02:02,880	00:02:06,720	| radiolab_podcast16biggerthanbacon |	Okay so we leaned down off the dock and see if we can hear it
EDL	00:02:13,888	00:02:16,192	| radiolab_podcast16biggerthanbacon |	Oh my gosh I hear some Crackle
EDL	00:02:17,216	00:02:18,496	| radiolab_podcast16biggerthanbacon |	That crackling sound
EDL	00:02:18,496	00:02:20,032	| radiolab_podcast16biggerthanbacon |	Yeah what is that
EDL	00:02:21,056	00:02:27,456	| radiolab_podcast16biggerthanbacon |	That was a question
EDL	00:02:27,456	00:02:31,296	| radiolab_podcast16biggerthanbacon |	It sounds
EDL	00:02:31,296	00:02:32,064	| radiolab_podcast16biggerthanbacon |	Sounds like rice
EDL	00:02:34,880	00:02:41,280	| radiolab_podcast16biggerthanbacon |	Most of the scientist you talked to say it sounds like bacon frying or Twigs crackling in a fire
EDL	00:02:41,280	00:02:42,816	| radiolab_podcast16biggerthanbacon |	Maybe have a large.
EDL	00:02:43,328	00:02:48,192	| radiolab_podcast16biggerthanbacon |	I would say that except there's no bubbles popping like on the water
EDL	00:02:48,192	00:02:51,520	| radiolab_podcast16biggerthanbacon |	Oh so it's not a gaseous emission it's a
EDL	00:02:51,520	00:02:52,288	| radiolab_podcast16biggerthanbacon |	Clickety clack
EDL	00:02:52,288	00:02:53,824	| radiolab_podcast16biggerthanbacon |	Let me just pay you a better record
EDL	00:02:53,824	00:02:54,848	| radiolab_podcast16biggerthanbacon |	Yeah but up
EDL	00:02:54,848	00:02:57,152	| radiolab_podcast16biggerthanbacon |	What do I have to put it through the producer PC
EDL	00:02:59,200	00:03:02,528	| radiolab_podcast16biggerthanbacon |	I went.
EDL	00:03:02,528	00:03:04,064	| radiolab_podcast16biggerthanbacon |	This is actually under water report
EDL	00:03:05,088	00:03:06,880	| radiolab_podcast16biggerthanbacon |	Oh my God
EDL	00:03:09,440	00:03:15,840	| radiolab_podcast16biggerthanbacon |	Cashing a teeny world that would be like the 4th of July
EDL	00:03:15,840	00:03:21,472	| radiolab_podcast16biggerthanbacon |	Kevin Bacon Bacon you're frying what is the sound what is it
EDL	00:03:21,472	00:03:27,616	| radiolab_podcast16biggerthanbacon |	This sound is a very tiny
EDL	00:03:27,616	00:03:30,432	| radiolab_podcast16biggerthanbacon |	Welded the story started in the forties
EDL	00:03:30,944	00:03:37,344	| radiolab_podcast16biggerthanbacon |	That's Michelle over spouse of physical Acoustics and medical Acoustics at the University of Toronto in the
EDL	00:03:37,344	00:03:39,392	| radiolab_podcast16biggerthanbacon |	Basically what he said is
EDL	00:03:39,392	00:03:44,512	| radiolab_podcast16biggerthanbacon |	World War II is the first war were like really using submarines and sonar
