EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast16bringinggammaback |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast16bringinggammaback |	Radio WNYC
EDL	00:00:19,456	00:00:23,552	| radiolab_podcast16bringinggammaback |	Hi I'm Robert krulwich I Molly Webster Radiolab and today
EDL	00:00:25,088	00:00:27,904	| radiolab_podcast16bringinggammaback |	We've got breaking news Robert krulwich
EDL	00:00:27,904	00:00:32,768	| radiolab_podcast16bringinggammaback |	Drake this is something we've never done before never done before what does anybody know about this yet
EDL	00:00:32,768	00:00:35,840	| radiolab_podcast16bringinggammaback |	Well it is a new bit of research is being published today
EDL	00:00:36,352	00:00:37,632	| radiolab_podcast16bringinggammaback |	We've known about it for the last few months
EDL	00:00:38,144	00:00:39,680	| radiolab_podcast16bringinggammaback |	But we haven't been able to talk about it
EDL	00:00:40,448	00:00:41,984	| radiolab_podcast16bringinggammaback |	What's this thing about
EDL	00:00:41,984	00:00:44,544	| radiolab_podcast16bringinggammaback |	So is this is a discovery about Alzheimer's
EDL	00:00:44,544	00:00:45,056	| radiolab_podcast16bringinggammaback |	Disease
EDL	00:00:45,568	00:00:47,872	| radiolab_podcast16bringinggammaback |	Which I think at this point is something that affects
EDL	00:00:48,640	00:00:49,920	| radiolab_podcast16bringinggammaback |	Basically every family
EDL	00:00:49,920	00:00:51,712	| radiolab_podcast16bringinggammaback |	Affected my family
EDL	00:00:52,224	00:00:53,248	| radiolab_podcast16bringinggammaback |	And this is
EDL	00:00:53,248	00:00:56,832	| radiolab_podcast16bringinggammaback |	A discovery that is not a cure but it's
EDL	00:00:56,832	00:00:58,880	| radiolab_podcast16bringinggammaback |	Basically about looking at the brain
EDL	00:00:59,392	00:01:03,488	| radiolab_podcast16bringinggammaback |	Which is one of the most complicated things in the universe I thing
EDL	00:01:03,488	00:01:06,560	| radiolab_podcast16bringinggammaback |	And poking at it in this super simple way
EDL	00:01:07,328	00:01:08,864	| radiolab_podcast16bringinggammaback |	And getting
EDL	00:01:08,864	00:01:10,144	| radiolab_podcast16bringinggammaback |	Desposar results
EDL	00:01:10,656	00:01:11,168	| radiolab_podcast16bringinggammaback |	How is your car
EDL	00:01:12,192	00:01:13,984	| radiolab_podcast16bringinggammaback |	Pretty bizarre
EDL	00:01:14,752	00:01:15,520	| radiolab_podcast16bringinggammaback |	Hello
EDL	00:01:15,520	00:01:16,544	| radiolab_podcast16bringinggammaback |	Hello hello
EDL	00:01:16,544	00:01:22,944	| radiolab_podcast16bringinggammaback |	Hi Molly hi how are you alright so last night I was talking to some folks over at the brain Institute at M
EDL	00:01:22,944	00:01:28,832	| radiolab_podcast16bringinggammaback |	A mighty and while I was on the phone with them they started telling me about some research that had been published
EDL	00:01:28,832	00:01:29,600	| radiolab_podcast16bringinggammaback |	It was all very
EDL	00:01:29,600	00:01:30,112	| radiolab_podcast16bringinggammaback |	Oshkosh
EDL	00:01:30,624	00:01:31,904	| radiolab_podcast16bringinggammaback |	Be cool though we ended up
EDL	00:01:32,416	00:01:34,208	| radiolab_podcast16bringinggammaback |	Defining to sign a non-disclosure agreement
EDL	00:01:34,720	00:01:38,048	| radiolab_podcast16bringinggammaback |	And it was based on the work of this woman Lee Wei Tile
EDL	00:01:38,048	00:01:40,608	| radiolab_podcast16bringinggammaback |	The weight I sigh
EDL	00:01:40,608	00:01:47,008	| radiolab_podcast16bringinggammaback |	Ty I'm a professor and the director of The picower Institute for learning am I
EDL	00:01:47,008	00:01:48,032	| radiolab_podcast16bringinggammaback |	Memory at MIT
