EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:03,328	| radiolab_podcast16cathedral |	Are you weightless
EDL	00:00:10,752	00:00:15,872	| radiolab_podcast16cathedral |	Radio WNYC
EDL	00:00:19,456	00:00:24,576	| radiolab_podcast16cathedral |	Hey I'm Jared I'm Robert krulwich this is Radiolab and today we're going to
EDL	00:00:24,576	00:00:30,720	| radiolab_podcast16cathedral |	So we're going to feature a story from our friends over at reply-all just a podcast produced by gimlet media
EDL	00:00:30,720	00:00:36,864	| radiolab_podcast16cathedral |	House by PJ Vogt Alex Goldman bring let you hear a taste of reply-all because it's an amazing show
EDL	00:00:36,864	00:00:39,680	| radiolab_podcast16cathedral |	Every other the entire staff's like secret favorite show not even Secret
EDL	00:00:40,704	00:00:47,104	| radiolab_podcast16cathedral |	And this story it just kind of grabbed us we're not going to pay you the whole story that they
EDL	00:00:47,104	00:00:48,640	| radiolab_podcast16cathedral |	We're going to play the most of it
EDL	00:00:48,640	00:00:52,736	| radiolab_podcast16cathedral |	We might intervene from time to time just to sort of because we did bubble over with questions
EDL	00:00:52,736	00:00:55,296	| radiolab_podcast16cathedral |	Exactly and this the story actually
EDL	00:00:55,296	00:00:57,600	| radiolab_podcast16cathedral |	Doesn't come from PJ now it comes from
EDL	00:00:57,600	00:01:02,976	| radiolab_podcast16cathedral |	One of The Producers Shruti pinnamaneni the story service centers are in a couple and their son
EDL	00:01:04,000	00:01:05,792	| radiolab_podcast16cathedral |	Tell let me
EDL	00:01:05,792	00:01:08,096	| radiolab_podcast16cathedral |	Start by introducing you to the couple
EDL	00:01:08,096	00:01:10,144	| radiolab_podcast16cathedral |	Amy green
EDL	00:01:10,656	00:01:12,960	| radiolab_podcast16cathedral |	And Ryan green
EDL	00:01:15,264	00:01:18,336	| radiolab_podcast16cathedral |	No I already ate those I think that's why I'm suffering this morning
EDL	00:01:18,336	00:01:21,920	| radiolab_podcast16cathedral |	They live in a small house in Loveland Colorado
EDL	00:01:21,920	00:01:26,272	| radiolab_podcast16cathedral |	They fell in love chatting online got married as soon as I turn 21
EDL	00:01:26,272	00:01:27,808	| radiolab_podcast16cathedral |	Images of this house
EDL	00:01:27,808	00:01:30,368	| radiolab_podcast16cathedral |	The very next day
EDL	00:01:30,368	00:01:32,160	| radiolab_podcast16cathedral |	Response to my emails and then we'll head down
EDL	00:01:32,160	00:01:33,952	| radiolab_podcast16cathedral |	They had their first son Caleb
EDL	00:01:34,464	00:01:35,488	| radiolab_podcast16cathedral |	Their second son Isaac
EDL	00:01:36,768	00:01:37,792	| radiolab_podcast16cathedral |	Ryan was
EDL	00:01:37,792	00:01:39,840	| radiolab_podcast16cathedral |	Computer programmer and Amy take care of a cat
EDL	00:01:40,352	00:01:43,168	| radiolab_podcast16cathedral |	They were just living in a mess of diapers and toys
EDL	00:01:43,168	00:01:45,472	| radiolab_podcast16cathedral |	Going to church every Sunday and then
EDL	00:01:45,984	00:01:47,008	| radiolab_podcast16cathedral |	In 2009
EDL	00:01:47,520	00:01:48,032	| radiolab_podcast16cathedral |	Agile
EDL	00:01:49,568	00:01:51,104	| radiolab_podcast16cathedral |	When Joel was born
EDL	00:01:51,616	00:01:52,384	| radiolab_podcast16cathedral |	How old are you
EDL	00:01:55,968	00:02:00,320	| radiolab_podcast16cathedral |	If I was 25 when Kayla was born and then Isaac was born I would have been like 20
EDL	00:02:00,320	00:02:01,600	| radiolab_podcast16cathedral |	7 - 28
