EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast16eyeinskyupdate |	Are you awake
EDL	00:00:06,400	00:00:10,752	| radiolab_podcast16eyeinskyupdate |	Listening to Radiolab
EDL	00:00:11,264	00:00:15,616	| radiolab_podcast16eyeinskyupdate |	Radio WNYC
EDL	00:00:19,456	00:00:25,600	| radiolab_podcast16eyeinskyupdate |	I'm Robert krulwich this is Radiolab and I have the host of note to self with me that's another
EDL	00:00:26,112	00:00:29,440	| radiolab_podcast16eyeinskyupdate |	WNYC podcast that comes out of here I'll bring it one
EDL	00:00:30,208	00:00:32,512	| radiolab_podcast16eyeinskyupdate |	Can the brilliant s person who does it all
EDL	00:00:32,512	00:00:38,656	| radiolab_podcast16eyeinskyupdate |	When your son Brody is with me hello Robert and I asked you to come and just because I wanted you to search set this up
EDL	00:00:39,680	00:00:46,080	| radiolab_podcast16eyeinskyupdate |	Happy to so we did Radiolab note to self did a joint episode last year called
EDL	00:00:46,080	00:00:47,360	| radiolab_podcast16eyeinskyupdate |	Eye in the Sky
EDL	00:00:47,360	00:00:50,944	| radiolab_podcast16eyeinskyupdate |	Disturbing story but
EDL	00:00:51,456	00:00:57,856	| radiolab_podcast16eyeinskyupdate |	Definitely a spy Thriller and it turns out a lot has happened since that episode was first put out
EDL	00:00:57,856	00:00:59,904	| radiolab_podcast16eyeinskyupdate |	Urban Development switches
EDL	00:00:59,904	00:01:00,672	| radiolab_podcast16eyeinskyupdate |	Truly
EDL	00:01:00,672	00:01:01,440	| radiolab_podcast16eyeinskyupdate |	Surprise me
EDL	00:01:01,440	00:01:01,952	| radiolab_podcast16eyeinskyupdate |	And I
EDL	00:01:02,720	00:01:07,584	| radiolab_podcast16eyeinskyupdate |	I don't want to give any details so just listen to what's about to happen to them don't go away at the end stay
EDL	00:01:08,352	00:01:09,120	| radiolab_podcast16eyeinskyupdate |	Okay
EDL	00:01:09,120	00:01:09,888	| radiolab_podcast16eyeinskyupdate |	Publican
EDL	00:01:09,888	00:01:11,424	| radiolab_podcast16eyeinskyupdate |	So how did you guys ever find out about
EDL	00:01:11,424	00:01:11,936	| radiolab_podcast16eyeinskyupdate |	How to get into it
EDL	00:01:12,448	00:01:14,496	| radiolab_podcast16eyeinskyupdate |	I think it was somebody was reading about it
EDL	00:01:14,496	00:01:16,032	| radiolab_podcast16eyeinskyupdate |	This is manoush zomorodi
EDL	00:01:16,032	00:01:18,336	| radiolab_podcast16eyeinskyupdate |	Was we are we with you reading about it right
EDL	00:01:18,336	00:01:20,896	| radiolab_podcast16eyeinskyupdate |	MSR producer Alex goldmark
EDL	00:01:21,408	00:01:22,432	| radiolab_podcast16eyeinskyupdate |	His name is McNutt
EDL	00:01:23,456	00:01:27,040	| radiolab_podcast16eyeinskyupdate |	Name at least
EDL	00:01:27,040	00:01:28,064	| radiolab_podcast16eyeinskyupdate |	And dimes please
EDL	00:01:28,064	00:01:29,856	| radiolab_podcast16eyeinskyupdate |	Like we actually read it and it was
EDL	00:01:30,368	00:01:31,392	| radiolab_podcast16eyeinskyupdate |	Weird an interest
EDL	00:01:31,392	00:01:32,160	| radiolab_podcast16eyeinskyupdate |	Staying and brought up
EDL	00:01:32,672	00:01:33,184	| radiolab_podcast16eyeinskyupdate |	Lots
EDL	00:01:35,488	00:01:39,328	| radiolab_podcast16eyeinskyupdate |	Technology is remaking what is possible for individuals
EDL	00:01:39,328	00:01:42,144	| radiolab_podcast16eyeinskyupdate |	And for institutions and for the international order
EDL	00:01:43,680	00:01:50,080	| radiolab_podcast16eyeinskyupdate |	Young Jedi runtime rubber Co which is Radiolab so here we are at this moment in time where we at we are face
EDL	00:01:50,080	00:01:51,360	| radiolab_podcast16eyeinskyupdate |	Eastwood these decisions
EDL	00:01:51,872	00:01:53,664	| radiolab_podcast16eyeinskyupdate |	About what we want our future to
EDL	00:01:53,664	00:01:54,176	| radiolab_podcast16eyeinskyupdate |	To look like
EDL	00:01:54,944	00:01:59,552	| radiolab_podcast16eyeinskyupdate |	There are fewer and fewer technical constraints on what we can do
EDL	00:02:00,064	00:02:01,088	| radiolab_podcast16eyeinskyupdate |	That place is
EDL	00:02:01,088	00:02:03,648	| radiolab_podcast16eyeinskyupdate |	A special obligation on us to ask question
EDL	00:02:03,648	00:02:04,160	| radiolab_podcast16eyeinskyupdate |	About what
EDL	00:02:05,440	00:02:07,232	| radiolab_podcast16eyeinskyupdate |	Should
EDL	00:02:07,232	00:02:13,632	| radiolab_podcast16eyeinskyupdate |	With our friends down the hall manoush zomorodi and Alex goldmark there in a great podcast called
EDL	00:02:13,632	00:02:15,168	| radiolab_podcast16eyeinskyupdate |	Note to self pay will be our guides
EDL	00:02:15,680	00:02:16,448	| radiolab_podcast16eyeinskyupdate |	Into the world
EDL	00:02:16,960	00:02:20,032	| radiolab_podcast16eyeinskyupdate |	Of McNutt yes my name is Ross McNutt
EDL	00:02:20,544	00:02:21,568	| radiolab_podcast16eyeinskyupdate |	Sub McNutt
EDL	00:02:21,568	00:02:22,592	| radiolab_podcast16eyeinskyupdate |	If I refer to him
EDL	00:02:22,592	00:02:26,688	| radiolab_podcast16eyeinskyupdate |	He's an ex-military guy 20 years in the Air Force I enjoyed it
EDL	00:02:26,688	00:02:29,504	| radiolab_podcast16eyeinskyupdate |	I did a lot of good like combat military
EDL	00:02:30,016	00:02:30,784	| radiolab_podcast16eyeinskyupdate |	Yah mean
EDL	00:02:30,784	00:02:31,808	| radiolab_podcast16eyeinskyupdate |	I think he's actually special
EDL	00:02:32,320	00:02:36,160	| radiolab_podcast16eyeinskyupdate |	My background I've got a PhD in Rapid product development out of MIT
EDL	00:02:36,672	00:02:40,000	| radiolab_podcast16eyeinskyupdate |	And what I do is I teach young people how to build new systems
EDL	00:02:42,560	00:02:47,168	| radiolab_podcast16eyeinskyupdate |	And the new system that's a system that we want to talk about that kind of began in 2004
EDL	00:02:48,448	00:02:51,008	| radiolab_podcast16eyeinskyupdate |	Ross was teaching a course at a Military College
EDL	00:02:51,008	00:02:54,336	| radiolab_podcast16eyeinskyupdate |	Was that the Air Force Institute of Technology here in Wright-Patterson
EDL	00:02:54,336	00:02:56,640	| radiolab_podcast16eyeinskyupdate |	Shannon Dayton does one day in 2004
EDL	00:02:56,640	00:02:58,688	| radiolab_podcast16eyeinskyupdate |	Are the whole school gathered together
EDL	00:02:58,688	00:02:59,456	| radiolab_podcast16eyeinskyupdate |	Pharrell
EDL	00:02:59,456	00:03:03,552	| radiolab_podcast16eyeinskyupdate |	And our commander got up in front of the whole school and said we need to do something
EDL	00:03:03,552	00:03:04,832	| radiolab_podcast16eyeinskyupdate |	To help the war effort
EDL	00:03:07,136	00:03:10,464	| radiolab_podcast16eyeinskyupdate |	Terrible violence today in the city of Basra
EDL	00:03:10,464	00:03:16,864	| radiolab_podcast16eyeinskyupdate |	Cut that time in the Iraq War not going well
EDL	00:03:16,864	00:03:18,144	| radiolab_podcast16eyeinskyupdate |	Buildings in city streets
EDL	00:03:18,144	00:03:19,424	| radiolab_podcast16eyeinskyupdate |	IEDs going off
EDL	00:03:19,424	00:03:25,824	| radiolab_podcast16eyeinskyupdate |	All over the place is going off everywhere soldiers being blown up
EDL	00:03:25,824	00:03:27,104	| radiolab_podcast16eyeinskyupdate |	Weak I got blown up
EDL	00:03:27,104	00:03:27,616	| radiolab_podcast16eyeinskyupdate |	Recon
EDL	00:03:29,408	00:03:32,224	| radiolab_podcast16eyeinskyupdate |	Going to be honest with you in 2004 it looks like we are going to lose
EDL	00:03:33,504	00:03:39,904	| radiolab_podcast16eyeinskyupdate |	Psoriasis he gets together some of the students on his colleague and they decide Lena let's sit down and see if we can find
EDL	00:03:39,904	00:03:42,208	| radiolab_podcast16eyeinskyupdate |	Find a solution quickly find a solution
EDL	00:03:42,208	00:03:45,280	| radiolab_podcast16eyeinskyupdate |	To figuring out who is planting all these roadside bomb
EDL	00:03:45,792	00:03:46,560	| radiolab_podcast16eyeinskyupdate |	Yeah
EDL	00:03:46,560	00:03:48,608	| radiolab_podcast16eyeinskyupdate |	Bombs going off of pretty easy to detect
EDL	00:03:48,608	00:03:49,120	| radiolab_podcast16eyeinskyupdate |	And images
EDL	00:03:49,632	00:03:50,400	| radiolab_podcast16eyeinskyupdate |	The problem is
EDL	00:03:50,400	00:03:51,424	| radiolab_podcast16eyeinskyupdate |	How do you go from
EDL	00:03:51,424	00:03:52,448	| radiolab_podcast16eyeinskyupdate |	Bomb going off
EDL	00:03:52,448	00:03:53,984	| radiolab_podcast16eyeinskyupdate |	Backwards in time
EDL	00:03:53,984	00:03:56,288	| radiolab_podcast16eyeinskyupdate |	To be able to figure out who planted it
EDL	00:03:56,288	00:03:56,800	| radiolab_podcast16eyeinskyupdate |	So
EDL	00:03:57,312	00:03:58,080	| radiolab_podcast16eyeinskyupdate |	Somehow
EDL	00:04:00,128	00:04:01,408	| radiolab_podcast16eyeinskyupdate |	It just came out
EDL	00:04:01,408	00:04:03,200	| radiolab_podcast16eyeinskyupdate |	Are you guys sitting around
EDL	00:04:03,968	00:04:04,992	| radiolab_podcast16eyeinskyupdate |	It was at a bar
EDL	00:04:04,992	00:04:07,040	| radiolab_podcast16eyeinskyupdate |	We're working on the back of the napkin
EDL	00:04:07,040	00:04:11,136	| radiolab_podcast16eyeinskyupdate |	And withdrawing out different ideas and turning around and seeing what happens
EDL	00:04:11,136	00:04:14,208	| radiolab_podcast16eyeinskyupdate |	They're just like hey let's he's playing just try this let's try that
EDL	00:04:14,976	00:04:16,768	| radiolab_podcast16eyeinskyupdate |	They had this one stock and we sort of
