EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast16kpoperazzi |	Are you awake
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast16kpoperazzi |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast16kpoperazzi |	Radio WNYC
EDL	00:00:19,456	00:00:21,504	| radiolab_podcast16kpoperazzi |	Are you surprised that this is so popular
EDL	00:00:24,832	00:00:25,600	| radiolab_podcast16kpoperazzi |	Surprised
EDL	00:00:26,368	00:00:29,440	| radiolab_podcast16kpoperazzi |	You know what I'm surprised about I'm surprised that
EDL	00:00:29,440	00:00:33,536	| radiolab_podcast16kpoperazzi |	This morning I was walking the subway and I was like man I want to live
EDL	00:00:35,072	00:00:41,472	| radiolab_podcast16kpoperazzi |	I guess I'm a little surprised that myself
EDL	00:00:41,472	00:00:47,872	| radiolab_podcast16kpoperazzi |	Take a note Robert
EDL	00:00:47,872	00:00:52,480	| radiolab_podcast16kpoperazzi |	Fantastic day and it was amazing
EDL	00:00:52,992	00:00:54,272	| radiolab_podcast16kpoperazzi |	Undeniable
EDL	00:00:54,272	00:00:57,856	| radiolab_podcast16kpoperazzi |	Okay I'm Janice and Robert Radiolab
EDL	00:00:57,856	00:01:04,000	| radiolab_podcast16kpoperazzi |	Today a story
EDL	00:01:04,512	00:01:10,912	| radiolab_podcast16kpoperazzi |	Arab order Alex Jung Hye
EDL	00:01:10,912	00:01:13,216	| radiolab_podcast16kpoperazzi |	You podcast to go about Gary Hart
EDL	00:01:13,216	00:01:14,496	| radiolab_podcast16kpoperazzi |	And the moment
EDL	00:01:14,496	00:01:20,896	| radiolab_podcast16kpoperazzi |	When how we covered politics changed this story is about a similar changes happening right now right in front of her
EDL	00:01:20,896	00:01:27,296	| radiolab_podcast16kpoperazzi |	Rides in South Korea we're going to travel a few thousand miles
EDL	00:01:27,296	00:01:28,576	| radiolab_podcast16kpoperazzi |	Expecting this kind of story
EDL	00:01:29,088	00:01:30,880	| radiolab_podcast16kpoperazzi |	Get totally flipped
EDL	00:01:30,880	00:01:33,184	| radiolab_podcast16kpoperazzi |	It's not about politics this time it's about music
EDL	00:01:33,696	00:01:38,816	| radiolab_podcast16kpoperazzi |	Young fans music pieces you already heard but really it's a puzzle
EDL	00:01:40,096	00:01:43,168	| radiolab_podcast16kpoperazzi |	If you really admire someone and love them is how much
EDL	00:01:43,168	00:01:44,448	| radiolab_podcast16kpoperazzi |	How much do you want to know about
EDL	00:01:44,960	00:01:45,728	| radiolab_podcast16kpoperazzi |	Stop the music
EDL	00:01:45,728	00:01:47,264	| radiolab_podcast16kpoperazzi |	Yeah is it tell me everything
EDL	00:01:47,264	00:01:48,032	| radiolab_podcast16kpoperazzi |	Or tell me nothing
EDL	00:01:48,544	00:01:51,872	| radiolab_podcast16kpoperazzi |	And if someone does try and tell you everything at what point do you say
EDL	00:01:52,384	00:01:52,896	| radiolab_podcast16kpoperazzi |	Stop
EDL	00:02:02,112	00:02:03,392	| radiolab_podcast16kpoperazzi |	Ready I'm ready
EDL	00:02:03,392	00:02:04,416	| radiolab_podcast16kpoperazzi |	Where do where do you wear shoes
EDL	00:02:05,184	00:02:10,560	| radiolab_podcast16kpoperazzi |	Well I think if we get to like the moment that I am very excited about I need to kind of give you guys
EDL	00:02:11,072	00:02:14,144	| radiolab_podcast16kpoperazzi |	A little bit of of the world and which all of this
EDL	00:02:14,144	00:02:14,656	| radiolab_podcast16kpoperazzi |	Is going to happen
EDL	00:02:15,680	00:02:16,960	| radiolab_podcast16kpoperazzi |	And so we're going to start
EDL	00:02:16,960	00:02:19,520	| radiolab_podcast16kpoperazzi |	With this woman when I told my friends about it
EDL	00:02:19,520	00:02:21,056	| radiolab_podcast16kpoperazzi |	I kind of described it as a prison
EDL	00:02:21,568	00:02:24,128	| radiolab_podcast16kpoperazzi |	What is a prison you decide to walk into
EDL	00:02:25,408	00:02:26,688	| radiolab_podcast16kpoperazzi |	Okay so this
EDL	00:02:27,200	00:02:30,272	| radiolab_podcast16kpoperazzi |	This is Sarah Wolfgang I was a former trainee for
EDL	00:02:30,272	00:02:31,296	| radiolab_podcast16kpoperazzi |	K-Pop group in
EDL	00:02:31,296	00:02:32,064	| radiolab_podcast16kpoperazzi |	Korea
EDL	00:02:33,344	00:02:34,880	| radiolab_podcast16kpoperazzi |	And I'm here to talk about that
EDL	00:02:34,880	00:02:41,024	| radiolab_podcast16kpoperazzi |	Sarah is korean-american she was born in America but I actually grew up in Korea
