EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:03,072	| radiolab_podcast17gondolier |	Are you weightless
EDL	00:00:10,752	00:00:15,616	| radiolab_podcast17gondolier |	Radio WNYC
EDL	00:00:19,200	00:00:25,600	| radiolab_podcast17gondolier |	Hey I'm Jad abumrad I'm Robert Radiolab today we have the story of just how hard it can be to be who you are
EDL	00:00:25,600	00:00:26,368	| radiolab_podcast17gondolier |	Actually are
EDL	00:00:26,880	00:00:30,976	| radiolab_podcast17gondolier |	But it seems like the entire world is doing its best to make you who you actually
EDL	00:00:30,976	00:00:34,304	| radiolab_podcast17gondolier |	Aren't I guess I could admit this could be too many details but
EDL	00:00:34,816	00:00:36,352	| radiolab_podcast17gondolier |	Story starts for us
EDL	00:00:36,352	00:00:38,400	| radiolab_podcast17gondolier |	With reporter David Conrad
EDL	00:00:38,400	00:00:42,752	| radiolab_podcast17gondolier |	So for me it was back in late 2014
EDL	00:00:42,752	00:00:45,056	| radiolab_podcast17gondolier |	I was living in Philadelphia as a grad student
EDL	00:00:45,056	00:00:46,592	| radiolab_podcast17gondolier |	It's time David was
EDL	00:00:46,592	00:00:47,360	| radiolab_podcast17gondolier |	Applying for jobs
EDL	00:00:47,872	00:00:53,504	| radiolab_podcast17gondolier |	And one of the jobs he's applying for was at a radio show that was doing the series about International women's issues
EDL	00:00:54,016	00:00:56,832	| radiolab_podcast17gondolier |	And so I had this on my mind and I was taking a bus
EDL	00:00:56,832	00:01:01,184	| radiolab_podcast17gondolier |	Southern University and I just overheard somebody talking about their recent trip to Venice
EDL	00:01:02,464	00:01:03,488	| radiolab_podcast17gondolier |	Of course
EDL	00:01:03,488	00:01:09,120	| radiolab_podcast17gondolier |	The classic tourist thing to do when you go to Venice is to take a ride on the canal boats the gondolas
EDL	00:01:09,632	00:01:12,960	| radiolab_podcast17gondolier |	And go down the canal maybe someone sends you a famous song
EDL	00:01:15,264	00:01:16,544	| radiolab_podcast17gondolier |	Very romantic
EDL	00:01:17,056	00:01:17,824	| radiolab_podcast17gondolier |	In case
EDL	00:01:18,592	00:01:21,664	| radiolab_podcast17gondolier |	Person sitting on the bus next to David was telling their friend
EDL	00:01:21,664	00:01:23,200	| radiolab_podcast17gondolier |	That they had
EDL	00:01:23,200	00:01:25,248	| radiolab_podcast17gondolier |	Taking a gondola ride with this
EDL	00:01:25,248	00:01:27,296	| radiolab_podcast17gondolier |	First ever woman Gondolier Venice
EDL	00:01:29,344	00:01:33,440	| radiolab_podcast17gondolier |	Yeah it really cooking around me realize like how how does it become a we
EDL	00:01:33,440	00:01:39,584	| radiolab_podcast17gondolier |	How are you I'm Kristen Kristen Clark also a journalist radio producer
EDL	00:01:39,584	00:01:42,144	| radiolab_podcast17gondolier |	And she and David are partners and collaborator
EDL	00:01:42,144	00:01:44,192	| radiolab_podcast17gondolier |	I mean this is it was interesting is like
EDL	00:01:44,192	00:01:47,776	| radiolab_podcast17gondolier |	We realize how big a deal it is to be female Gondolier is like
EDL	00:01:47,776	00:01:53,664	| radiolab_podcast17gondolier |	900 year old tradition and it's always
EDL	00:01:53,664	00:02:00,064	| radiolab_podcast17gondolier |	Father son father son father son or like uncle nephew down the line
EDL	00:02:00,064	00:02:04,672	| radiolab_podcast17gondolier |	Now nobody's there no ladies Evernote 900 years
EDL	00:02:04,672	00:02:05,696	| radiolab_podcast17gondolier |	Think about that for a sec
EDL	00:02:05,696	00:02:10,048	| radiolab_podcast17gondolier |	Almost a thousand years of all men men men men men men and then one day
