EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast17otmbusted |	Are you awake
EDL	00:00:10,752	00:00:15,616	| radiolab_podcast17otmbusted |	Radio WNYC
EDL	00:00:17,920	00:00:24,320	| radiolab_podcast17otmbusted |	This is on the media I'm Bob Garfield Gladstone
EDL	00:00:24,320	00:00:29,184	| radiolab_podcast17otmbusted |	Play who you say who you are okay this is radio live on chat
EDL	00:00:29,184	00:00:33,536	| radiolab_podcast17otmbusted |	I'm Robert. Jasmine going for westmed forgotten that but he's here again
EDL	00:00:33,536	00:00:39,936	| radiolab_podcast17otmbusted |	So glad to be back and today today we are featuring are you just heard from down the hall
EDL	00:00:39,936	00:00:41,472	| radiolab_podcast17otmbusted |	Call at on the media
EDL	00:00:41,472	00:00:43,520	| radiolab_podcast17otmbusted |	The part 3 of our series
EDL	00:00:43,520	00:00:47,104	| radiolab_podcast17otmbusted |	Busted America's poverty because a little while back
EDL	00:00:47,104	00:00:53,504	| radiolab_podcast17otmbusted |	Brooklyn style she put together a wonderful set of Story 5 and all I believe about poverty in the United States
EDL	00:00:53,504	00:00:54,272	| radiolab_podcast17otmbusted |	It's pretty
EDL	00:00:54,272	00:00:56,320	| radiolab_podcast17otmbusted |	Pretty amazing series and we figure
EDL	00:00:56,320	00:01:01,696	| radiolab_podcast17otmbusted |	Part of what we should do here always is present not just our work but great work that's happening around us
EDL	00:01:01,696	00:01:03,232	| radiolab_podcast17otmbusted |	So we decided to bring Brooke
EDL	00:01:03,232	00:01:05,280	| radiolab_podcast17otmbusted |	Into our studio hello
EDL	00:01:05,280	00:01:11,680	| radiolab_podcast17otmbusted |	Nice to see you in our territory to talk about what she found in to play a spa
EDL	00:01:11,680	00:01:12,192	| radiolab_podcast17otmbusted |	Parts of the series
EDL	00:01:13,472	00:01:16,032	| radiolab_podcast17otmbusted |	I have to say that except for my comic book
EDL	00:01:16,032	00:01:17,568	| radiolab_podcast17otmbusted |	Which tells you a lot
EDL	00:01:17,568	00:01:20,896	| radiolab_podcast17otmbusted |	This it was the hardest thing I've ever done professionally
EDL	00:01:20,896	00:01:25,760	| radiolab_podcast17otmbusted |	Really you know it's breaking down a ridiculously complex story into little
EDL	00:01:25,760	00:01:31,904	| radiolab_podcast17otmbusted |	Yeah yeah components and then putting it through the on the media Play-Doh extruder so they came out media shape
EDL	00:01:32,416	00:01:33,696	| radiolab_podcast17otmbusted |	And the thing is is
EDL	00:01:33,696	00:01:36,512	| radiolab_podcast17otmbusted |	What we do what on the media is we
EDL	00:01:37,024	00:01:39,328	| radiolab_podcast17otmbusted |	Examine the
EDL	00:01:39,328	00:01:45,728	| radiolab_podcast17otmbusted |	Prevailing narrative and use those as a way to discuss the reality
EDL	00:01:45,728	00:01:52,128	| radiolab_podcast17otmbusted |	I forever be a beggar if you haven't heard on the media you definitely need to listen to
EDL	00:01:52,128	00:01:52,640	| radiolab_podcast17otmbusted |	Non-immediate
EDL	00:01:53,152	00:01:53,920	| radiolab_podcast17otmbusted |	Wired listening
EDL	00:01:54,432	00:01:56,224	| radiolab_podcast17otmbusted |	These days these days
EDL	00:01:56,224	00:01:57,760	| radiolab_podcast17otmbusted |	But in this series what Brook
EDL	00:01:57,760	00:01:59,040	| radiolab_podcast17otmbusted |	Does is C sort of
