EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,768	00:00:06,912	| radiolab_podcast18darksideearth |	Hi I'm Robert Goulet Radiolab is supported by Casper you spend 1/3 of your life sleeping
EDL	00:00:06,912	00:00:13,312	| radiolab_podcast18darksideearth |	So you should be as comfortable as possible when you drift off get $50 towards select mattresses by visiting cast
EDL	00:00:13,312	00:00:14,848	| radiolab_podcast18darksideearth |	Casper.com Radiolab
EDL	00:00:14,848	00:00:16,896	| radiolab_podcast18darksideearth |	Have using Code Radiolab at checkout
EDL	00:00:16,896	00:00:18,432	| radiolab_podcast18darksideearth |	Terms and conditions apply
EDL	00:00:19,968	00:00:25,600	| radiolab_podcast18darksideearth |	Hi I'm Robert krulwich Radiolab is supported by audible as we learn more about the dark side of the Earth
EDL	00:00:25,600	00:00:30,464	| radiolab_podcast18darksideearth |	Endurance a year in space a lifetime of Discovery by Scott Kelly
EDL	00:00:30,464	00:00:33,280	| radiolab_podcast18darksideearth |	The astronaut who spent a record-breaking year
EDL	00:00:33,280	00:00:35,328	| radiolab_podcast18darksideearth |	Aboard the International Space Station
EDL	00:00:35,328	00:00:40,448	| radiolab_podcast18darksideearth |	Go to audible.com Radiolab or text Radiolab to 500 500
EDL	00:00:40,448	00:00:43,520	| radiolab_podcast18darksideearth |	Free free 30-day trial and a free audiobook
EDL	00:00:45,056	00:00:51,456	| radiolab_podcast18darksideearth |	New York City we've got a live show coming up May 16th
EDL	00:00:51,456	00:00:51,968	| radiolab_podcast18darksideearth |	Taping
EDL	00:00:52,480	00:00:53,248	| radiolab_podcast18darksideearth |	Four new show
EDL	00:00:53,760	00:00:54,528	| radiolab_podcast18darksideearth |	About
EDL	00:00:54,528	00:00:55,296	| radiolab_podcast18darksideearth |	Sex
EDL	00:00:55,296	00:00:56,576	| radiolab_podcast18darksideearth |	Specifically sex ed
EDL	00:00:57,088	00:00:59,136	| radiolab_podcast18darksideearth |	All those bad memories we determine a good memories
EDL	00:00:59,648	00:01:01,952	| radiolab_podcast18darksideearth |	Join longtime producer
EDL	00:01:01,952	00:01:08,352	| radiolab_podcast18darksideearth |	And host Molly Webster along with a bunch of writers and Comedians and thinkers for a night of
EDL	00:01:08,352	00:01:09,120	| radiolab_podcast18darksideearth |	Debate
EDL	00:01:09,120	00:01:12,448	| radiolab_podcast18darksideearth |	A night stories a night of nervous laughter
EDL	00:01:12,448	00:01:14,496	| radiolab_podcast18darksideearth |	That's Wednesday May 16th
EDL	00:01:14,496	00:01:15,520	| radiolab_podcast18darksideearth |	It's going to be good
EDL	00:01:15,520	00:01:19,104	| radiolab_podcast18darksideearth |	Going to be there for tickets go to radiolab.org sex ed
EDL	00:01:19,616	00:01:21,408	| radiolab_podcast18darksideearth |	Radiolab.org
EDL	00:01:21,408	00:01:22,176	| radiolab_podcast18darksideearth |	Flash sex ed
EDL	00:01:27,040	00:01:27,808	| radiolab_podcast18darksideearth |	Are you awake
EDL	00:01:31,392	00:01:35,744	| radiolab_podcast18darksideearth |	Listening to Radiolab
EDL	00:01:36,256	00:01:40,608	| radiolab_podcast18darksideearth |	Radio WNYC
EDL	00:01:43,168	00:01:44,448	| radiolab_podcast18darksideearth |	All right
EDL	00:01:51,360	00:01:51,872	| radiolab_podcast18darksideearth |	In space right now
EDL	00:01:53,152	00:01:55,456	| radiolab_podcast18darksideearth |	I am really sick
