EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast18ghostsfootballpast |	Are you awake
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast18ghostsfootballpast |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast18ghostsfootballpast |	Radio WNYC
EDL	00:00:19,712	00:00:22,272	| radiolab_podcast18ghostsfootballpast |	What's up everybody this is Jad Radiolab
EDL	00:00:22,272	00:00:24,064	| radiolab_podcast18ghostsfootballpast |	Spry podcast here tomorrow is the
EDL	00:00:24,064	00:00:24,832	| radiolab_podcast18ghostsfootballpast |	The game
EDL	00:00:24,832	00:00:25,344	| radiolab_podcast18ghostsfootballpast |	Go Eagles
EDL	00:00:25,856	00:00:26,624	| radiolab_podcast18ghostsfootballpast |	And
EDL	00:00:27,392	00:00:28,672	| radiolab_podcast18ghostsfootballpast |	Whether you like football or not
EDL	00:00:29,696	00:00:30,464	| radiolab_podcast18ghostsfootballpast |	Whether you like it or not
EDL	00:00:31,232	00:00:31,744	| radiolab_podcast18ghostsfootballpast |	One of the biggest
EDL	00:00:32,256	00:00:32,768	| radiolab_podcast18ghostsfootballpast |	Sporting events
EDL	00:00:33,280	00:00:34,304	| radiolab_podcast18ghostsfootballpast |	In the world
EDL	00:00:34,816	00:00:36,864	| radiolab_podcast18ghostsfootballpast |	And it's a game that in many ways his
EDL	00:00:36,864	00:00:38,144	| radiolab_podcast18ghostsfootballpast |	Is always been wrapped up
EDL	00:00:38,656	00:00:39,936	| radiolab_podcast18ghostsfootballpast |	In what America is
EDL	00:00:39,936	00:00:40,448	| radiolab_podcast18ghostsfootballpast |	This is what it isn't
EDL	00:00:40,960	00:00:41,728	| radiolab_podcast18ghostsfootballpast |	It's a
EDL	00:00:41,728	00:00:44,288	| radiolab_podcast18ghostsfootballpast |	What we thought we do just as a corrective measure is
EDL	00:00:44,288	00:00:44,800	| radiolab_podcast18ghostsfootballpast |	Is Bring Back
EDL	00:00:46,080	00:00:47,616	| radiolab_podcast18ghostsfootballpast |	Do we put together a couple years ago
EDL	00:00:48,128	00:00:48,896	| radiolab_podcast18ghostsfootballpast |	About the origin
EDL	00:00:50,176	00:00:51,456	| radiolab_podcast18ghostsfootballpast |	It's kind of Amazing Stories
EDL	00:00:51,456	00:00:53,760	| radiolab_podcast18ghostsfootballpast |	It looks like we're all going to be sitting there watching
EDL	00:00:53,760	00:00:54,272	| radiolab_podcast18ghostsfootballpast |	Tom Brady
EDL	00:00:56,064	00:00:56,576	| radiolab_podcast18ghostsfootballpast |	Probably
EDL	00:00:57,088	00:01:00,416	| radiolab_podcast18ghostsfootballpast |	Hopefully not win another Superbowl and we'll be watching Timberlands
EDL	00:01:00,416	00:01:01,440	| radiolab_podcast18ghostsfootballpast |	Do the halftime thing
EDL	00:01:01,440	00:01:04,512	| radiolab_podcast18ghostsfootballpast |	It's right at all no one will be talking about the people
EDL	00:01:05,024	00:01:06,816	| radiolab_podcast18ghostsfootballpast |	Without whom the game would be nothing
EDL	00:01:07,584	00:01:08,608	| radiolab_podcast18ghostsfootballpast |	So this is an honor of them
EDL	00:01:09,376	00:01:10,912	| radiolab_podcast18ghostsfootballpast |	Just the way that we got to from
EDL	00:01:11,680	00:01:13,216	| radiolab_podcast18ghostsfootballpast |	Journalist and author Sally Jenkins
EDL	00:01:13,728	00:01:14,752	| radiolab_podcast18ghostsfootballpast |	From her book the real Olive
EDL	00:01:16,288	00:01:17,568	| radiolab_podcast18ghostsfootballpast |	I mean football
EDL	00:01:17,568	00:01:20,896	| radiolab_podcast18ghostsfootballpast |	Football is as old as some of the Celtic civilization semeniuk
EDL	00:01:20,896	00:01:21,408	| radiolab_podcast18ghostsfootballpast |	Can trace
EDL	00:01:22,688	00:01:25,248	| radiolab_podcast18ghostsfootballpast |	Primal games of you know Danish Invaders
EDL	00:01:25,248	00:01:30,880	| radiolab_podcast18ghostsfootballpast |	Kicking skulls around the shores of England I mean
EDL	00:01:30,880	00:01:33,696	| radiolab_podcast18ghostsfootballpast |	Put up organized football is really a creation of
EDL	00:01:33,696	00:01:37,792	| radiolab_podcast18ghostsfootballpast |	Of the 1860s and 70s in this country it's a post Civil War
EDL	00:01:37,792	00:01:39,840	| radiolab_podcast18ghostsfootballpast |	Creation comes along
EDL	00:01:40,352	00:01:43,680	| radiolab_podcast18ghostsfootballpast |	Just really a couple of years after he had the last
EDL	00:01:43,680	00:01:45,728	| radiolab_podcast18ghostsfootballpast |	Great conquering armies
EDL	00:01:45,728	00:01:46,496	| radiolab_podcast18ghostsfootballpast |	Settle the West
EDL	00:01:47,264	00:01:51,872	| radiolab_podcast18ghostsfootballpast |	Basically says you had these kids whose parents fought in the Civil War and then some of them is gone west
EDL	00:01:52,384	00:01:57,760	| radiolab_podcast18ghostsfootballpast |	To fight the Lakota the Cheyenne Arapaho the Apaches and now those washer winding down
EDL	00:01:58,272	00:02:01,600	| radiolab_podcast18ghostsfootballpast |	Which oddly enough created kind of an issue for young men at the
EDL	00:02:02,112	00:02:07,232	| radiolab_podcast18ghostsfootballpast |	If your young students a back east at a fancy school like Harvard how are you going to prove
EDL	00:02:07,232	00:02:08,256	| radiolab_podcast18ghostsfootballpast |	Your own
EDL	00:02:08,256	00:02:09,536	| radiolab_podcast18ghostsfootballpast |	Your older brother
EDL	00:02:09,536	00:02:13,376	| radiolab_podcast18ghostsfootballpast |	Your father he may be fought at Gettysburg Battle Little Bighorn
EDL	00:02:13,376	00:02:14,400	| radiolab_podcast18ghostsfootballpast |	What the hell have you done
EDL	00:02:14,400	00:02:16,960	| radiolab_podcast18ghostsfootballpast |	The American frontier experience was over
EDL	00:02:16,960	00:02:20,544	| radiolab_podcast18ghostsfootballpast |	There was a feeling among a lot of intellectuals that
EDL	00:02:20,544	00:02:21,568	| radiolab_podcast18ghostsfootballpast |	.com
EDL	00:02:21,568	00:02:25,408	| radiolab_podcast18ghostsfootballpast |	American men were losing their masculinity they were being
EDL	00:02:25,408	00:02:27,200	| radiolab_podcast18ghostsfootballpast |	Feminized innocence Sao
EDL	00:02:27,968	00:02:29,504	| radiolab_podcast18ghostsfootballpast |	Korean story of David Adams
EDL	00:02:29,504	00:02:30,272	| radiolab_podcast18ghostsfootballpast |	You just heard
EDL	00:02:30,272	00:02:32,832	| radiolab_podcast18ghostsfootballpast |	Those kids were desperate for opportunities
EDL	00:02:32,832	00:02:39,232	| radiolab_podcast18ghostsfootballpast |	To man up there was a cult of Manliness around this time says David
EDL	00:02:39,232	00:02:42,048	| radiolab_podcast18ghostsfootballpast |	Fancy a bunch of violent Sports takeoff and in particular
EDL	00:02:43,072	00:02:43,840	| radiolab_podcast18ghostsfootballpast |	Frye purses
