EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast18howtohero |	Are you awake
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast18howtohero |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast18howtohero |	Radio WNYC
EDL	00:00:19,456	00:00:24,576	| radiolab_podcast18howtohero |	Hey this is Radiolab on Jedi Cam'ron I'm Robert krulwich topic today is goodness
EDL	00:00:24,576	00:00:25,344	| radiolab_podcast18howtohero |	Goodness
EDL	00:00:25,344	00:00:26,368	| radiolab_podcast18howtohero |	Selflessness
EDL	00:00:26,368	00:00:27,136	| radiolab_podcast18howtohero |	Show me the map
EDL	00:00:28,160	00:00:33,536	| radiolab_podcast18howtohero |	Okay so you ready for this it's a while back we we did the story that
EDL	00:00:34,048	00:00:36,096	| radiolab_podcast18howtohero |	Brussels is really stuck in our heads
EDL	00:00:36,096	00:00:37,376	| radiolab_podcast18howtohero |	It was a story that was
EDL	00:00:37,376	00:00:42,752	| radiolab_podcast18howtohero |	Ask and it's really deep question and the answer that we got to answer didn't quite
EDL	00:00:42,752	00:00:43,264	| radiolab_podcast18howtohero |	Click
EDL	00:00:45,056	00:00:47,104	| radiolab_podcast18howtohero |	Yeah it's so just assertive
EDL	00:00:47,104	00:00:49,408	| radiolab_podcast18howtohero |	Set the table the question was why do people
EDL	00:00:49,408	00:00:50,176	| radiolab_podcast18howtohero |	Do good in the world
EDL	00:00:50,176	00:00:56,320	| radiolab_podcast18howtohero |	World so we ask that question look at it from the perspective of genetics computer science all kinds of things we ended up profile
EDL	00:00:56,320	00:00:56,832	| radiolab_podcast18howtohero |	3
EDL	00:00:57,344	00:00:58,624	| radiolab_podcast18howtohero |	Jordan Air
EDL	00:00:59,136	00:01:00,416	| radiolab_podcast18howtohero |	Heroically good
EDL	00:01:00,416	00:01:01,952	| radiolab_podcast18howtohero |	People that were Heroes
EDL	00:01:01,952	00:01:03,744	| radiolab_podcast18howtohero |	Slate that remarkable things
EDL	00:01:03,744	00:01:08,608	| radiolab_podcast18howtohero |	We told her stories with that question in mind why do certain people do good in the world and others don't
EDL	00:01:08,608	00:01:12,192	| radiolab_podcast18howtohero |	Yeah so we can revisit that question today in the story that we told
EDL	00:01:12,192	00:01:15,520	| radiolab_podcast18howtohero |	Because I think we have something better and smarter to say about it finally something
EDL	00:01:15,520	00:01:20,128	| radiolab_podcast18howtohero |	Very peculiar to say about us it turns out.
EDL	00:01:20,128	00:01:22,944	| radiolab_podcast18howtohero |	First and then going to come back and hopefully sheds new light on
EDL	00:01:23,712	00:01:24,480	| radiolab_podcast18howtohero |	So
EDL	00:01:24,480	00:01:24,992	| radiolab_podcast18howtohero |	Here we go
EDL	00:01:27,040	00:01:29,600	| radiolab_podcast18howtohero |	Again this story just began with a simple question
EDL	00:01:29,600	00:01:30,368	| radiolab_podcast18howtohero |	That question lettuce
EDL	00:01:33,952	00:01:39,328	| radiolab_podcast18howtohero |	Two guy named Walter Rutkowski executive director and Secretary of the Carnegie hero fund Commission
EDL	00:01:39,328	00:01:40,352	| radiolab_podcast18howtohero |	Cool thanks for doing this
EDL	00:01:40,864	00:01:43,168	| radiolab_podcast18howtohero |	Can you just give us a little background on
EDL	00:01:43,168	00:01:45,728	| radiolab_podcast18howtohero |	The hero fund what is the Carnegie hero fund
EDL	00:01:45,728	00:01:46,752	| radiolab_podcast18howtohero |	The Carnegie hero fund is
EDL	00:01:46,752	00:01:48,032	| radiolab_podcast18howtohero |	Is a private operating Foundation
EDL	00:01:48,800	00:01:52,128	| radiolab_podcast18howtohero |	It was established by Andrew Carnegie in 1904
EDL	00:01:52,896	00:01:56,992	| radiolab_podcast18howtohero |	And what we do is recognize civilian heroism throughout the United States
EDL	00:01:56,992	00:01:57,504	| radiolab_podcast18howtohero |	Canada
EDL	00:01:58,272	00:02:00,832	| radiolab_podcast18howtohero |	By giving an award called The Carnegie medal
EDL	00:02:00,832	00:02:03,904	| radiolab_podcast18howtohero |	And accompanying the Carnegie medal is a financial Grant
EDL	00:02:03,904	00:02:04,672	| radiolab_podcast18howtohero |	How much
EDL	00:02:04,672	00:02:07,232	| radiolab_podcast18howtohero |	Currently the amount is $5,000
EDL	00:02:07,744	00:02:09,536	| radiolab_podcast18howtohero |	And how do you guys choose Your Heroes
EDL	00:02:10,304	00:02:11,328	| radiolab_podcast18howtohero |	We judge the
EDL	00:02:11,840	00:02:14,144	| radiolab_podcast18howtohero |	Heroic acts against a list of
EDL	00:02:14,144	00:02:14,912	| radiolab_podcast18howtohero |	Performance
EDL	00:02:14,912	00:02:20,544	| radiolab_podcast18howtohero |	So then you have to have some kind of definition of hero which includes some and excludes other yes
EDL	00:02:21,056	00:02:22,848	| radiolab_podcast18howtohero |	Perfect basic definition
EDL	00:02:22,848	00:02:23,872	| radiolab_podcast18howtohero |	Which is
EDL	00:02:23,872	00:02:25,152	| radiolab_podcast18howtohero |	Civilian
EDL	00:02:25,152	00:02:26,688	| radiolab_podcast18howtohero |	Meaning no military
EDL	00:02:26,688	00:02:28,736	| radiolab_podcast18howtohero |	Who voluntarily to
EDL	00:02:28,736	00:02:30,272	| radiolab_podcast18howtohero |	Leave the point of safety degree
EDL	00:02:30,784	00:02:32,064	| radiolab_podcast18howtohero |	Risk his own life
EDL	00:02:32,064	00:02:33,344	| radiolab_podcast18howtohero |	Apply for
EDL	00:02:33,344	00:02:35,392	| radiolab_podcast18howtohero |	To an extraordinary degree
EDL	00:02:35,392	00:02:36,672	| radiolab_podcast18howtohero |	To save or to attempt
EDL	00:02:36,672	00:02:37,440	| radiolab_podcast18howtohero |	To save
EDL	00:02:37,440	00:02:38,976	| radiolab_podcast18howtohero |	The life of another human
EDL	00:02:38,976	00:02:39,744	| radiolab_podcast18howtohero |	6
EDL	00:02:39,744	00:02:43,584	| radiolab_podcast18howtohero |	How about 7
EDL	00:02:43,584	00:02:49,984	| radiolab_podcast18howtohero |	Just came from memory so don't like it happens in a person's mind at that pivotal moment when they decide to voluntarily
EDL	00:02:49,984	00:02:54,592	| radiolab_podcast18howtohero |	Voluntarily leave a safety and risk their life to extraordinary degree
EDL	00:02:54,592	00:02:55,616	| radiolab_podcast18howtohero |	To save a life
EDL	00:02:55,616	00:02:57,408	| radiolab_podcast18howtohero |	Another human that's what I wanted to know
EDL	00:02:58,688	00:02:59,712	| radiolab_podcast18howtohero |	Treatise jumping
EDL	00:02:59,712	00:03:01,760	| radiolab_podcast18howtohero |	Okay so the first one we have on our list is
EDL	00:03:01,760	00:03:02,528	| radiolab_podcast18howtohero |	Is a loris
EDL	00:03:02,528	00:03:03,296	| radiolab_podcast18howtohero |	Shrek okay
EDL	00:03:04,320	00:03:06,624	| radiolab_podcast18howtohero |	Phone number 73546
EDL	00:03:06,624	00:03:08,160	| radiolab_podcast18howtohero |	And the award number is 8
EDL	00:03:08,160	00:03:08,672	| radiolab_podcast18howtohero |	8000 +
EDL	00:03:09,184	00:03:10,976	| radiolab_podcast18howtohero |	I am Laura shrake
EDL	00:03:10,976	00:03:12,000	| radiolab_podcast18howtohero |	I am from
EDL	00:03:12,000	00:03:13,280	| radiolab_podcast18howtohero |	Mattoon Illinois and I
EDL	00:03:13,280	00:03:14,304	| radiolab_podcast18howtohero |	Currently live in
EDL	00:03:14,304	00:03:15,840	| radiolab_podcast18howtohero |	Dubai United Arab
