EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:03,328	| radiolab_podcast18onenationundermoneymp |	Are you weightless
EDL	00:00:10,752	00:00:15,872	| radiolab_podcast18onenationundermoneymp |	Radio WNYC
EDL	00:00:19,456	00:00:20,480	| radiolab_podcast18onenationundermoneymp |	Robert
EDL	00:00:24,064	00:00:27,392	| radiolab_podcast18onenationundermoneymp |	Alright Robert season 2 finale
EDL	00:00:27,392	00:00:28,160	| radiolab_podcast18onenationundermoneymp |	More perfect
EDL	00:00:28,672	00:00:29,952	| radiolab_podcast18onenationundermoneymp |	Long overdue
EDL	00:00:29,952	00:00:31,744	| radiolab_podcast18onenationundermoneymp |	But much-anticipated maybe
EDL	00:00:31,744	00:00:35,840	| radiolab_podcast18onenationundermoneymp |	Among those who care
EDL	00:00:35,840	00:00:37,632	| radiolab_podcast18onenationundermoneymp |	Want want to know
EDL	00:00:37,632	00:00:41,728	| radiolab_podcast18onenationundermoneymp |	Give me a Mother's Day today and see how it it's it's Tuesday it's Tuesday
EDL	00:00:41,728	00:00:43,776	| radiolab_podcast18onenationundermoneymp |	MRSA Tuesday
EDL	00:00:43,776	00:00:46,336	| radiolab_podcast18onenationundermoneymp |	I guess I want to bring you a story from the more perfect
EDL	00:00:46,336	00:00:48,128	| radiolab_podcast18onenationundermoneymp |	The final story of seasons
EDL	00:00:48,128	00:00:50,944	| radiolab_podcast18onenationundermoneymp |	This story fulfill the promise I made to myself
EDL	00:00:50,944	00:00:51,712	| radiolab_podcast18onenationundermoneymp |	The very beginning
EDL	00:00:53,248	00:00:53,760	| radiolab_podcast18onenationundermoneymp |	Oh my God
EDL	00:00:54,528	00:00:58,880	| radiolab_podcast18onenationundermoneymp |	This question of yours isn't that old and that deep 22 years old
EDL	00:00:58,880	00:01:01,696	| radiolab_podcast18onenationundermoneymp |	Sexy girls what the question is
EDL	00:01:02,208	00:01:08,608	| radiolab_podcast18onenationundermoneymp |	Their eyeballs will be rubbed I don't know what was it two years ago that stuck you
EDL	00:01:08,608	00:01:11,936	| radiolab_podcast18onenationundermoneymp |	At the quest you've never been able to let go
EDL	00:01:12,960	00:01:15,776	| radiolab_podcast18onenationundermoneymp |	My first question I bumped into and learning by the Supreme Court
EDL	00:01:17,568	00:01:23,968	| radiolab_podcast18onenationundermoneymp |	Was why does everybody keep talking about this thing called Commerce Clause
EDL	00:01:23,968	00:01:28,576	| radiolab_podcast18onenationundermoneymp |	The Commerce
EDL	00:01:29,088	00:01:30,880	| radiolab_podcast18onenationundermoneymp |	Yes that had a Dazzle for you
EDL	00:01:30,880	00:01:33,184	| radiolab_podcast18onenationundermoneymp |	No I just wanted to know what the hell is it well
EDL	00:01:33,184	00:01:37,792	| radiolab_podcast18onenationundermoneymp |	It's Article 1 Section 8 Clause 3 of The Constitution 16 words
EDL	00:01:37,792	00:01:40,608	| radiolab_podcast18onenationundermoneymp |	Two commas Congress shall have the power to regulate
EDL	00:01:41,376	00:01:43,168	| radiolab_podcast18onenationundermoneymp |	Commerce with foreign Nations
EDL	00:01:43,168	00:01:44,704	| radiolab_podcast18onenationundermoneymp |	Among the several States
EDL	00:01:44,704	00:01:48,032	| radiolab_podcast18onenationundermoneymp |	And with the Indian tribe the power to regulate commerce
EDL	00:01:48,032	00:01:54,432	| radiolab_podcast18onenationundermoneymp |	Four nations and among the several States and with the Indian tribes there are no more sexier words in the English language
EDL	00:01:54,432	00:01:57,504	| radiolab_podcast18onenationundermoneymp |	Better words for wooing we're never written
EDL	00:01:57,504	00:02:00,320	| radiolab_podcast18onenationundermoneymp |	That's Jamie Floyd savitsky Wilmington properly in a second
