EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast19unfitfix_intelligence-series |	Are you awake
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast19unfitfix_intelligence-series |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast19unfitfix_intelligence-series |	Radiolab WNYC
EDL	00:00:19,456	00:00:22,272	| radiolab_podcast19unfitfix_intelligence-series |	Okay so we're going to begin with
EDL	00:00:23,296	00:00:28,160	| radiolab_podcast19unfitfix_intelligence-series |	Conversation between jadco there you're okay there you are
EDL	00:00:28,160	00:00:29,952	| radiolab_podcast19unfitfix_intelligence-series |	And Lulu Miller
EDL	00:00:29,952	00:00:32,256	| radiolab_podcast19unfitfix_intelligence-series |	Fiona take your life here on here that you know
EDL	00:00:32,256	00:00:37,632	| radiolab_podcast19unfitfix_intelligence-series |	She's a writer radio producer co-created invisibilia and. Years ago used to work
EDL	00:00:37,632	00:00:38,912	| radiolab_podcast19unfitfix_intelligence-series |	Here at Radiolab
EDL	00:00:38,912	00:00:40,192	| radiolab_podcast19unfitfix_intelligence-series |	With me
EDL	00:00:41,984	00:00:45,824	| radiolab_podcast19unfitfix_intelligence-series |	Do it and I back when we were just getting started thinking about this series
EDL	00:00:45,824	00:00:49,920	| radiolab_podcast19unfitfix_intelligence-series |	I blew Cambridge add because she had the story she'd been working on still alive
EDL	00:00:50,432	00:00:53,504	| radiolab_podcast19unfitfix_intelligence-series |	Inactivate
EDL	00:00:53,504	00:00:54,784	| radiolab_podcast19unfitfix_intelligence-series |	Wild Boy from Lulu
EDL	00:00:55,296	00:00:56,832	| radiolab_podcast19unfitfix_intelligence-series |	You got it included in this
EDL	00:00:56,832	00:00:58,112	| radiolab_podcast19unfitfix_intelligence-series |	Serious you doing
EDL	00:00:58,624	00:00:59,648	| radiolab_podcast19unfitfix_intelligence-series |	So here we go
EDL	00:01:00,160	00:01:02,464	| radiolab_podcast19unfitfix_intelligence-series |	I guess so this whole thing begins
EDL	00:01:03,744	00:01:04,512	| radiolab_podcast19unfitfix_intelligence-series |	With a guy
EDL	00:01:05,024	00:01:06,816	| radiolab_podcast19unfitfix_intelligence-series |	His name is Mark bold
EDL	00:01:06,816	00:01:07,584	| radiolab_podcast19unfitfix_intelligence-series |	My fault
EDL	00:01:07,584	00:01:10,144	| radiolab_podcast19unfitfix_intelligence-series |	Mark bald
EDL	00:01:10,144	00:01:12,192	| radiolab_podcast19unfitfix_intelligence-series |	Makes you yell diebold
EDL	00:01:12,960	00:01:14,240	| radiolab_podcast19unfitfix_intelligence-series |	Oh no
EDL	00:01:14,240	00:01:16,032	| radiolab_podcast19unfitfix_intelligence-series |	Who is the director of the Christian law is
EDL	00:01:16,032	00:01:22,432	| radiolab_podcast19unfitfix_intelligence-series |	The toot and I met him at his offices in Lynchburg Virginia he's a big guy bald head bright blue eyes kind of be
EDL	00:01:22,432	00:01:24,224	| radiolab_podcast19unfitfix_intelligence-series |	Babyface yeah okay so I guess
EDL	00:01:24,224	00:01:25,248	| radiolab_podcast19unfitfix_intelligence-series |	Take me back
EDL	00:01:25,248	00:01:25,760	| radiolab_podcast19unfitfix_intelligence-series |	2
EDL	00:01:26,272	00:01:29,088	| radiolab_podcast19unfitfix_intelligence-series |	Law school that the seeing how old are you where are you
EDL	00:01:29,600	00:01:30,624	| radiolab_podcast19unfitfix_intelligence-series |	How old am I
EDL	00:01:31,136	00:01:31,648	| radiolab_podcast19unfitfix_intelligence-series |	It's going to be
EDL	00:01:32,160	00:01:33,184	| radiolab_podcast19unfitfix_intelligence-series |	About 39
EDL	00:01:33,184	00:01:37,536	| radiolab_podcast19unfitfix_intelligence-series |	So back in 2010 he was in law school with the Liberty University School of Law
EDL	00:01:37,536	00:01:39,584	| radiolab_podcast19unfitfix_intelligence-series |	It was his first year of law school he was taking his
EDL	00:01:39,584	00:01:40,864	| radiolab_podcast19unfitfix_intelligence-series |	Classical Foundation
EDL	00:01:40,864	00:01:47,008	| radiolab_podcast19unfitfix_intelligence-series |	It's just some of these foundational laws that we have been the basic Brown versus Board of Education
EDL	00:01:47,008	00:01:48,544	| radiolab_podcast19unfitfix_intelligence-series |	He had this moment that like
EDL	00:01:48,544	00:01:50,336	| radiolab_podcast19unfitfix_intelligence-series |	We have all probably had
EDL	00:01:50,336	00:01:52,128	| radiolab_podcast19unfitfix_intelligence-series |	This moment we are sitting in class and you
EDL	00:01:52,128	00:01:54,944	| radiolab_podcast19unfitfix_intelligence-series |	You're kind of tuning out and then you hear something that's like
EDL	00:01:56,224	00:01:56,736	| radiolab_podcast19unfitfix_intelligence-series |	What
EDL	00:01:57,504	00:01:59,552	| radiolab_podcast19unfitfix_intelligence-series |	What it what did they just say
EDL	00:01:59,552	00:02:03,136	| radiolab_podcast19unfitfix_intelligence-series |	Is Professor had just mentioned the Supreme Court case look for
EDL	00:02:03,136	00:02:04,160	| radiolab_podcast19unfitfix_intelligence-series |	Spell gazebo
EDL	00:02:04,672	00:02:06,208	| radiolab_podcast19unfitfix_intelligence-series |	Wasn't Buck V Bell
EDL	00:02:06,208	00:02:08,256	| radiolab_podcast19unfitfix_intelligence-series |	Infrared for sterilization
EDL	00:02:08,256	00:02:10,816	| radiolab_podcast19unfitfix_intelligence-series |	I never heard of the case but that
EDL	00:02:10,816	00:02:11,840	| radiolab_podcast19unfitfix_intelligence-series |	Circassian
EDL	00:02:11,840	00:02:14,400	| radiolab_podcast19unfitfix_intelligence-series |	What's a 1927 and originally started
EDL	00:02:14,400	00:02:17,728	| radiolab_podcast19unfitfix_intelligence-series |	Supreme Court held 8 to 1 that it is legal for a
EDL	00:02:17,728	00:02:21,312	| radiolab_podcast19unfitfix_intelligence-series |	State to forcibly sterilized its own citizens who are demons
EDL	00:02:21,312	00:02:22,080	| radiolab_podcast19unfitfix_intelligence-series |	Quote unquote
EDL	00:02:22,592	00:02:23,360	| radiolab_podcast19unfitfix_intelligence-series |	Unfit
EDL	00:02:24,640	00:02:28,224	| radiolab_podcast19unfitfix_intelligence-series |	Three generations of imbeciles
EDL	00:02:28,224	00:02:32,064	| radiolab_podcast19unfitfix_intelligence-series |	Exactly exactly three generations of imbeciles are enough
EDL	00:02:32,832	00:02:34,112	| radiolab_podcast19unfitfix_intelligence-series |	And I was blown away
EDL	00:02:34,624	00:02:35,392	| radiolab_podcast19unfitfix_intelligence-series |	By that decision
EDL	00:02:35,904	00:02:39,744	| radiolab_podcast19unfitfix_intelligence-series |	That reminded me of Germany cannot see this
EDL	00:02:39,744	00:02:41,536	| radiolab_podcast19unfitfix_intelligence-series |	Idea that we're going to
EDL	00:02:42,560	00:02:48,704	| radiolab_podcast19unfitfix_intelligence-series |	You know forcibly sterilized are citizens of constitutional to do that for the betterment of its citizens for the betterment of
EDL	00:02:48,704	00:02:54,848	| radiolab_podcast19unfitfix_intelligence-series |	Society but the thing that really shocked him the most which again you might also be aware cuz you are now illegal
EDL	00:02:55,360	00:02:57,920	| radiolab_podcast19unfitfix_intelligence-series |	But that I didn't know
EDL	00:02:58,432	00:03:00,736	| radiolab_podcast19unfitfix_intelligence-series |	When I first heard about this about 2 years ago
EDL	00:03:01,248	00:03:02,016	| radiolab_podcast19unfitfix_intelligence-series |	Is that
EDL	00:03:02,016	00:03:03,552	| radiolab_podcast19unfitfix_intelligence-series |	Buck V Bell has never been overturned
EDL	00:03:05,856	00:03:08,672	| radiolab_podcast19unfitfix_intelligence-series |	Totally dumbfounded if you will that we
EDL	00:03:08,672	00:03:09,440	| radiolab_podcast19unfitfix_intelligence-series |	Bilby
