EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:00,768	| rl_extras16itsnotus |	Wait wait
EDL	00:00:05,120	00:00:08,704	| rl_extras16itsnotus |	Listening to Radiolab
EDL	00:00:09,472	00:00:13,824	| rl_extras16itsnotus |	Radio WNYC
EDL	00:00:17,408	00:00:19,200	| rl_extras16itsnotus |	Hi I'm Robert krulwich
EDL	00:00:19,200	00:00:23,040	| rl_extras16itsnotus |	I am not Jedi bomber
EDL	00:00:23,040	00:00:26,112	| rl_extras16itsnotus |	I'll do modest thing to do I'm a new summer ODI
EDL	00:00:26,112	00:00:27,648	| rl_extras16itsnotus |	I host another podcast
EDL	00:00:27,648	00:00:33,792	| rl_extras16itsnotus |	At WNYC Studios note to self
EDL	00:00:35,840	00:00:37,888	| rl_extras16itsnotus |	Frequently enough
EDL	00:00:37,888	00:00:42,752	| rl_extras16itsnotus |	Thank you sir there we are yes and I am here pinch-hitting for Dad for a little bit
EDL	00:00:42,752	00:00:47,104	| rl_extras16itsnotus |	To spread the word that this is an important time for Radiolab Robert
EDL	00:00:47,104	00:00:50,944	| rl_extras16itsnotus |	The year the giving time of the year we're about to do I say
EDL	00:00:50,944	00:00:51,712	| rl_extras16itsnotus |	Pink
EDL	00:00:51,712	00:00:53,504	| rl_extras16itsnotus |	Will Be Kind of Wonderful
EDL	00:00:53,504	00:00:54,016	| rl_extras16itsnotus |	Because
EDL	00:00:54,784	00:00:57,600	| rl_extras16itsnotus |	We who make the show and you who listen to this
EDL	00:00:57,600	00:00:58,880	| rl_extras16itsnotus |	Show don't often have a chance
EDL	00:00:59,392	00:01:03,488	| rl_extras16itsnotus |	To get together so in the next bit of time what we're going to do is we're going to pass
EDL	00:01:03,488	00:01:05,280	| rl_extras16itsnotus |	We've invited some of the p
EDL	00:01:05,280	00:01:11,424	| rl_extras16itsnotus |	People who normally listen to come on the show and people who Donnelly make the show come and listen
EDL	00:01:11,424	00:01:13,216	| rl_extras16itsnotus |	When mixing it up a little bit
EDL	00:01:13,216	00:01:18,848	| rl_extras16itsnotus |	It's a strange menagerie of humans and we want to just go to the zoo of us
EDL	00:01:18,848	00:01:24,992	| rl_extras16itsnotus |	That's coming right up but if you'd like to hit pause just for a second and make a contribution right away like right now
EDL	00:01:24,992	00:01:31,392	| rl_extras16itsnotus |	You can enjoy the episode knowing that you already done the thing that you were supposed to do that we're going to be on our knees begging you to do what
EDL	00:01:31,392	00:01:32,928	| rl_extras16itsnotus |	You've already done it I guess that's already
EDL	00:01:32,928	00:01:33,952	| rl_extras16itsnotus |	You already
EDL	00:01:33,952	00:01:35,232	| rl_extras16itsnotus |	Solve the problem
EDL	00:01:35,744	00:01:42,144	| rl_extras16itsnotus |	Do you want me to take you
EDL	00:01:42,144	00:01:43,680	| rl_extras16itsnotus |	Robert is beating around the bush
EDL	00:01:43,680	00:01:45,984	| rl_extras16itsnotus |	Radiolab relies on the
EDL	00:01:45,984	00:01:48,032	| rl_extras16itsnotus |	Support of listener contributions
EDL	00:01:48,032	00:01:49,824	| rl_extras16itsnotus |	Listeners like you yes
EDL	00:01:49,824	00:01:51,616	| rl_extras16itsnotus |	Who make all the stories that we put
EDL	00:01:52,384	00:01:56,736	| rl_extras16itsnotus |	Also it's time that we extend a hand to you are podcast listeners
EDL	00:01:56,736	00:01:59,552	| rl_extras16itsnotus |	Invite you to make a financial contribution
EDL	00:01:59,552	00:02:04,928	| rl_extras16itsnotus |	So that Radiolab can keep these episodes coming your way it is super easy to do
EDL	00:02:04,928	00:02:09,024	| rl_extras16itsnotus |	We asked you to go to radiolab.org donate to give
EDL	00:02:09,024	00:02:11,328	| rl_extras16itsnotus |	Or even easier if you live in the US
EDL	00:02:11,840	00:02:12,864	| rl_extras16itsnotus |	Open up your phone
EDL	00:02:13,376	00:02:15,168	| rl_extras16itsnotus |	Probably what you're listening on anyway
EDL	00:02:15,168	00:02:16,192	| rl_extras16itsnotus |	Open up the messaging app
EDL	00:02:16,704	00:02:20,288	| rl_extras16itsnotus |	Type the word Radiolab to the number 6 9 8
EDL	00:02:20,288	00:02:20,800	| rl_extras16itsnotus |	Fix it
EDL	00:02:21,568	00:02:22,080	| rl_extras16itsnotus |	That'll get you started
EDL	00:02:22,592	00:02:26,432	| rl_extras16itsnotus |	But suppose you live in Montevideo Uruguay or in Zagreb Yugoslavia
EDL	00:02:26,944	00:02:31,040	| rl_extras16itsnotus |	A country that no longer exist what do you have to do then
EDL	00:02:31,040	00:02:35,904	| rl_extras16itsnotus |	Let's go to radiolab.org donate that's what I always do whenever I'm in Central Europe
EDL	00:02:35,904	00:02:37,440	| rl_extras16itsnotus |	Southeast America
EDL	00:02:37,440	00:02:40,000	| rl_extras16itsnotus |	It's really easy so don't be intimidated
EDL	00:02:40,512	00:02:41,024	| rl_extras16itsnotus |	Now
EDL	00:02:41,536	00:02:46,912	| rl_extras16itsnotus |	As we promised it is time for you to meet some people who you here on our show but have never really met
EDL	00:02:47,424	00:02:53,056	| rl_extras16itsnotus |	Aryan whack produces a part of my show she's never met them either so this was her chance to find out about them
EDL	00:02:53,568	00:02:54,336	| rl_extras16itsnotus |	Our chance
EDL	00:02:54,336	00:02:54,848	| rl_extras16itsnotus |	To find out about
EDL	00:02:56,384	00:02:57,152	| rl_extras16itsnotus |	What is this Terry
EDL	00:02:59,968	00:03:00,736	| rl_extras16itsnotus |	Did I lose you
EDL	00:03:04,064	00:03:08,416	| rl_extras16itsnotus |	Hi how are you how are you in your email
EDL	00:03:09,440	00:03:10,720	| rl_extras16itsnotus |	Why don't you know
EDL	00:03:11,232	00:03:16,864	| rl_extras16itsnotus |	All right so I decided to call this woman that I have just been desperately curious about
EDL	00:03:16,864	00:03:18,400	| rl_extras16itsnotus |	4
EDL	00:03:18,400	00:03:19,424	| rl_extras16itsnotus |	Years now
EDL	00:03:19,424	00:03:21,728	| rl_extras16itsnotus |	Since I've worked here
EDL	00:03:22,240	00:03:26,848	| rl_extras16itsnotus |	The reason well I've been wanting to reach out to you for a while because
EDL	00:03:26,848	00:03:29,152	| rl_extras16itsnotus |	Part of my job here is to listen to
EDL	00:03:29,664	00:03:32,736	| rl_extras16itsnotus |	All of the spots that come in for our underwriting and I like
EDL	00:03:32,736	00:03:37,856	| rl_extras16itsnotus |	Choose the reason produce them and put them into the episodes I need to go in
EDL	00:03:38,368	00:03:41,184	| rl_extras16itsnotus |	Tobacco for a second we have our listeners
EDL	00:03:41,184	00:03:43,744	| rl_extras16itsnotus |	Submit underwriting reads via the app
EDL	00:03:43,744	00:03:44,768	| rl_extras16itsnotus |	And
EDL	00:03:44,768	00:03:49,888	| rl_extras16itsnotus |	We put them into the break of our shows if you've listened to the show with any regularity you've probably heard this
EDL	00:03:49,888	00:03:50,656	| rl_extras16itsnotus |	And
EDL	00:03:51,424	00:03:53,216	| rl_extras16itsnotus |	Jesus carry babcock lumish
EDL	00:03:53,216	00:03:54,752	| rl_extras16itsnotus |	Support for NPR comes
EDL	00:03:54,752	00:03:55,264	| rl_extras16itsnotus |	From Empire
EDL	00:03:56,032	00:03:57,056	| rl_extras16itsnotus |	Tara babcock lumish
EDL	00:03:57,824	00:03:59,104	| rl_extras16itsnotus |	Does everything on one of them
EDL	00:03:59,616	00:04:00,384	| rl_extras16itsnotus |	Terry babcock lumish
EDL	00:04:00,896	00:04:02,688	| rl_extras16itsnotus |	The terry Babcock lumish harry babcock
EDL	00:04:02,688	00:04:07,808	| rl_extras16itsnotus |	Hairy back.
EDL	00:04:07,808	00:04:11,136	| rl_extras16itsnotus |	More than 300 times and I I know that if
EDL	00:04:11,136	00:04:14,208	| rl_extras16itsnotus |	In a pinch I need a spot quick I know that there's going
EDL	00:04:14,208	00:04:14,976	| rl_extras16itsnotus |	To be a reed
EDL	00:04:14,976	00:04:16,512	| rl_extras16itsnotus |	From Thierry Henry Babcock
EDL	00:04:18,303	00:04:19,327	| rl_extras16itsnotus |	Are you tired
EDL	00:04:21,375	00:04:24,703	| rl_extras16itsnotus |	That's why I wanted to call you guys cuz there's three of you that
EDL	00:04:24,703	00:04:28,287	| rl_extras16itsnotus |	Leave I mean read almost every single piece of copy I put up
EDL	00:04:29,055	00:04:35,455	| rl_extras16itsnotus |	And so especially you know I think you probably been doing it the longest out of any of them so I remember like when you
EDL	00:04:35,455	00:04:36,223	| rl_extras16itsnotus |	Movie. Coughlin
EDL	00:04:37,247	00:04:39,295	| rl_extras16itsnotus |	New York from Lake cold Spring
EDL	00:04:39,295	00:04:39,807	| rl_extras16itsnotus |	Terry Babcock
EDL	00:04:41,599	00:04:46,207	| rl_extras16itsnotus |	What sound of Honolulu and like I know it like when your husband is around
EDL	00:04:46,207	00:04:46,975	| rl_extras16itsnotus |	Brian Babcock
EDL	00:04:46,975	00:04:47,487	| rl_extras16itsnotus |	Chocolate milk
EDL	00:04:47,999	00:04:54,143	| rl_extras16itsnotus |	Carry the occasionally like he'll pop and I feel like I kind of know you
EDL	00:04:58,239	00:05:01,567	| rl_extras16itsnotus |	I mean it is all day sound like evidence that I
EDL	00:05:01,567	00:05:07,967	| rl_extras16itsnotus |	Gathered from your phone calls in the background noises and what not
EDL	00:05:07,967	00:05:09,759	| rl_extras16itsnotus |	You're awesome this is really funny
EDL	00:05:10,271	00:05:12,319	| rl_extras16itsnotus |	What's your hypothesis
EDL	00:05:13,087	00:05:15,391	| rl_extras16itsnotus |	My hypothesis will you live
EDL	00:05:15,391	00:05:16,671	| rl_extras16itsnotus |	In
EDL	00:05:16,671	00:05:19,999	| rl_extras16itsnotus |	Cold Spring for a while and I was like she doesn't
EDL	00:05:19,999	00:05:20,767	| rl_extras16itsnotus |	She sounds
EDL	00:05:20,767	00:05:27,167	| rl_extras16itsnotus |	Too young to be like a like a snowbird so I didn't think that you guys had moved for the weather
EDL	00:05:27,167	00:05:33,567	| rl_extras16itsnotus |	Like somebody must have gotten a job down there
EDL	00:05:33,567	00:05:35,103	| rl_extras16itsnotus |	You have grandkids
EDL	00:05:36,127	00:05:40,223	| rl_extras16itsnotus |	And I was surprised I had heard that a couple of times
EDL	00:05:40,223	00:05:42,015	| rl_extras16itsnotus |	Or at least I sound like little kids
EDL	00:05:42,015	00:05:43,295	| rl_extras16itsnotus |	To me baby.
EDL	00:05:44,575	00:05:48,927	| rl_extras16itsnotus |	Anything because
EDL	00:05:49,951	00:05:52,255	| rl_extras16itsnotus |	Mariners gear
EDL	00:05:52,255	00:05:58,399	| rl_extras16itsnotus |	Yeah I would love the real story
EDL	00:06:01,471	00:06:03,775	| rl_extras16itsnotus |	No reason why I should have gotten mixed up with an army guy
EDL	00:06:06,591	00:06:08,127	| rl_extras16itsnotus |	So he's active duty military
EDL	00:06:08,639	00:06:09,919	| rl_extras16itsnotus |	And so we moved
EDL	00:06:10,431	00:06:11,199	| rl_extras16itsnotus |	4 years
EDL	00:06:11,199	00:06:13,503	| rl_extras16itsnotus |	With his army assignment
EDL	00:06:14,015	00:06:15,295	| rl_extras16itsnotus |	Summer 2014
EDL	00:06:16,319	00:06:22,719	| rl_extras16itsnotus |	Assignment to Hawaii and that's where we live
EDL	00:06:22,719	00:06:24,767	| rl_extras16itsnotus |	Crown actually that makes me so happy
EDL	00:06:24,767	00:06:26,303	| rl_extras16itsnotus |	Have you ever heard yourself
EDL	00:06:26,815	00:06:29,631	| rl_extras16itsnotus |	When like you listen to Radiolab have you ever heard one of your reads
EDL	00:06:31,423	00:06:33,471	| rl_extras16itsnotus |	You can spend no
EDL	00:06:33,471	00:06:36,287	| rl_extras16itsnotus |	On a regular basis I'll get an email from
EDL	00:06:36,799	00:06:39,359	| rl_extras16itsnotus |	A former student or a friend or
EDL	00:06:40,895	00:06:44,735	| rl_extras16itsnotus |	Thing that they heard me on Radiolab
EDL	00:06:45,247	00:06:46,783	| rl_extras16itsnotus |	That I feel still
EDL	00:06:46,783	00:06:48,575	| rl_extras16itsnotus |	The tax firm
EDL	00:06:49,087	00:06:52,415	| rl_extras16itsnotus |	But no it never do you have a favorite episode
EDL	00:06:52,927	00:06:54,463	| rl_extras16itsnotus |	I don't know but I think
EDL	00:06:54,463	00:06:57,279	| rl_extras16itsnotus |	One of his things that I love is that you
EDL	00:06:57,279	00:06:59,839	| rl_extras16itsnotus |	Things that are very complex
EDL	00:06:59,839	00:07:01,631	| rl_extras16itsnotus |	And you make ardidas letters
EDL	00:07:01,631	00:07:04,191	| rl_extras16itsnotus |	Phenocrysts
EDL	00:07:04,191	00:07:09,055	| rl_extras16itsnotus |	Videos are black hole
EDL	00:07:09,055	00:07:10,335	| rl_extras16itsnotus |	You make them nauseous
EDL	00:07:10,335	00:07:11,359	| rl_extras16itsnotus |	Interesting
EDL	00:07:11,871	00:07:15,967	| rl_extras16itsnotus |	But accessible and exciting and then I remember it
EDL	00:07:15,967	00:07:18,527	| rl_extras16itsnotus |	Yeah
EDL	00:07:18,527	00:07:19,807	| rl_extras16itsnotus |	Well
