EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| serial-s02-e06 |	Hello serial listeners
EDL	00:00:01,536	00:00:03,584	| serial-s02-e06 |	It's Sarah Cain egg with a quick reminder
EDL	00:00:04,096	00:00:04,864	| serial-s02-e06 |	That we have
EDL	00:00:04,864	00:00:05,888	| serial-s02-e06 |	Two other podcast
EDL	00:00:06,400	00:00:12,800	| serial-s02-e06 |	There's This American Life weekly show that chooses one theme and then has a mix of weird emotional and
EDL	00:00:12,800	00:00:13,568	| serial-s02-e06 |	Investigative
EDL	00:00:13,568	00:00:15,104	| serial-s02-e06 |	And personal stories on that
EDL	00:00:16,128	00:00:17,664	| serial-s02-e06 |	Cereal started as a spin-off of
EDL	00:00:18,944	00:00:20,736	| serial-s02-e06 |	Are we developed our storytelling jobs
EDL	00:00:21,504	00:00:22,272	| serial-s02-e06 |	And also asked
EDL	00:00:23,040	00:00:26,880	| serial-s02-e06 |	A beautiful 7-part series that explores the life of one man in Alabama
EDL	00:00:27,392	00:00:30,720	| serial-s02-e06 |	S town starts out as one thing and then becomes something
EDL	00:00:30,720	00:00:31,488	| serial-s02-e06 |	Totally
EDL	00:00:31,488	00:00:32,256	| serial-s02-e06 |	Fascinatingly differ
EDL	00:00:33,024	00:00:34,560	| serial-s02-e06 |	This American Life and s-town
EDL	00:00:35,072	00:00:37,120	| serial-s02-e06 |	Available now on podcast apps
EDL	00:00:37,120	00:00:40,704	| serial-s02-e06 |	Or At This americanlife.org and s-town podcast
EDL	00:00:44,288	00:00:45,568	| serial-s02-e06 |	First plan was
EDL	00:00:45,568	00:00:47,104	| serial-s02-e06 |	Go from point A to point B
EDL	00:00:48,384	00:00:48,896	| serial-s02-e06 |	Previously
EDL	00:00:49,408	00:00:50,176	| serial-s02-e06 |	I'm cereal
EDL	00:00:50,176	00:00:50,944	| serial-s02-e06 |	Opie master
EDL	00:00:51,712	00:00:53,248	| serial-s02-e06 |	Probably the worst place
EDL	00:00:53,248	00:00:56,064	| serial-s02-e06 |	Humanly imaginable that place sucks
EDL	00:00:56,064	00:00:57,088	| serial-s02-e06 |	He had to go
EDL	00:00:57,088	00:01:03,232	| serial-s02-e06 |	The bucket everyone should and then he was in the town asking if people spoke English
EDL	00:01:04,512	00:01:10,912	| serial-s02-e06 |	Or somebody like that
EDL	00:01:10,912	00:01:15,520	| serial-s02-e06 |	Quechee 10-second and doors one minute wrinkle has a baby this is our mission
EDL	00:01:15,520	00:01:19,872	| serial-s02-e06 |	He's one of our guys we got to find him we're going to do it if we would have found them
EDL	00:01:19,872	00:01:23,456	| serial-s02-e06 |	I think a lot of us would a shot mm yeah yeah I still
EDL	00:01:23,456	00:01:27,552	| serial-s02-e06 |	Awesome so I think I'm so angry about it
EDL	00:01:34,720	00:01:36,512	| serial-s02-e06 |	Before Mark started asking but what
EDL	00:01:37,024	00:01:38,048	| serial-s02-e06 |	Why did he walk away from his
EDL	00:01:39,072	00:01:42,144	| serial-s02-e06 |	I had already talked about it to General Kenneth Dahl
EDL	00:01:42,656	00:01:46,752	| serial-s02-e06 |	That was in charge of investigating what bow did and writing up a report for the Army
