EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:09,472	00:00:13,312	| IOT150 |	Hey everyone welcome to the Internet of Things podcast this is your host
EDL	00:00:13,312	00:00:14,336	| IOT150 |	Higginbotham
EDL	00:00:14,336	00:00:15,104	| IOT150 |	Your co-host
EDL	00:00:15,104	00:00:16,128	| IOT150 |	Kevin tofel
EDL	00:00:16,128	00:00:21,248	| IOT150 |	And we have an awesome show for you today Gateway
EDL	00:00:21,248	00:00:23,040	| IOT150 |	Old homepod review
EDL	00:00:23,040	00:00:24,064	| IOT150 |	World's going to keep
EDL	00:00:24,064	00:00:24,832	| IOT150 |	On the Apple topic
EDL	00:00:25,344	00:00:27,392	| IOT150 |	By discussing their damage in the house
EDL	00:00:27,392	00:00:27,904	| IOT150 |	Healthcare Market
EDL	00:00:28,416	00:00:30,208	| IOT150 |	Netgear is taking part of Arlo public
EDL	00:00:30,720	00:00:37,120	| IOT150 |	We got some news on Canary Amazon Intel and Sonos Kevin's going to tell you
EDL	00:00:37,120	00:00:37,888	| IOT150 |	A little bit
EDL	00:00:37,888	00:00:39,168	| IOT150 |	About his WeMo
EDL	00:00:39,168	00:00:42,240	| IOT150 |	Rich and have a message from our sponsor Point Central
EDL	00:00:42,240	00:00:45,824	| IOT150 |	And our guest is Bruce Chatterley's CEO of
EDL	00:00:45,824	00:00:46,592	| IOT150 |	Set it
EDL	00:00:46,592	00:00:48,128	| IOT150 |	He's going to talk to us about
EDL	00:00:48,128	00:00:48,640	| IOT150 |	Laura
EDL	00:00:49,152	00:00:50,688	| IOT150 |	And Laura net worth
EDL	00:00:50,688	00:00:52,224	| IOT150 |	Lyrics We got some use cases
EDL	00:00:53,504	00:00:55,552	| IOT150 |	Some crazy functionality that I didn't
EDL	00:00:55,552	00:00:56,832	| IOT150 |	Actually know Laura had
EDL	00:00:56,832	00:00:58,624	| IOT150 |	So before we get into all of this
EDL	00:00:59,136	00:00:59,904	| IOT150 |	Let's get a message
EDL	00:00:59,904	00:01:00,672	| IOT150 |	Witch from another one
EDL	00:01:01,952	00:01:07,072	| IOT150 |	Building an iot device or solution start ahead with a Renee sauce energy
EDL	00:01:07,072	00:01:13,472	| IOT150 |	Begin your iot device designs at the software API later and leave the details to renaisa
EDL	00:01:13,472	00:01:18,080	| IOT150 |	Cloud-based iot Solutions quickly with the AE Cloud 1 kit
EDL	00:01:18,080	00:01:24,480	| IOT150 |	Amazon web services Microsoft Azure Google cloud or your choice of cloud within minutes
EDL	00:01:24,480	00:01:30,880	| IOT150 |	We're loaded time get 50% off the AE Cloud 1 kit look for the Renee sauce iot
EDL	00:01:30,880	00:01:37,280	| IOT150 |	The sandbox discussion thread on the Renee sauce rules for a go to Stacey on iot. Com
EDL	00:01:37,280	00:01:43,680	| IOT150 |	Splash cloudkit to be forwarded to the discussion thread and get your coupon that Stacey on iot
EDL	00:01:43,680	00:01:45,472	| IOT150 |	Jd.com
EDL	00:01:45,472	00:01:45,984	| IOT150 |	Cloudkit
EDL	00:01:48,544	00:01:50,336	| IOT150 |	I believe we should start
EDL	00:01:51,104	00:01:52,128	| IOT150 |	Most exciting
EDL	00:01:52,128	00:01:53,920	| IOT150 |	For us which is Mozilla
EDL	00:01:53,920	00:01:54,688	| IOT150 |	Coyote
EDL	00:01:54,688	00:01:55,200	| IOT150 |	Gateway South
EDL	00:01:55,712	00:01:56,480	| IOT150 |	This
EDL	00:01:56,480	00:01:59,808	| IOT150 |	I was excited I know for many of our listeners
EDL	00:01:59,808	00:02:01,344	| IOT150 |	This is probably right up your alley
EDL	00:02:01,344	00:02:05,952	| IOT150 |	Because you guys are the ones who tell me about homebridge and openhab and all the stuff in this
EDL	00:02:05,952	00:02:09,280	| IOT150 |	It's right here within that kind of thing although it looks a little easier
EDL	00:02:10,304	00:02:14,400	| IOT150 |	Yeah I'm super excited as well this was announced last year this is the project
EDL	00:02:14,400	00:02:17,472	| IOT150 |	Things effort from Mozilla
EDL	00:02:17,984	00:02:23,104	| IOT150 |	To allow you to have your own Gateway your own iot device Gateway in your home
EDL	00:02:23,104	00:02:27,456	| IOT150 |	Using Raspberry Pi with mid they may support other pieces of Hardware in the future
EDL	00:02:27,456	00:02:31,296	| IOT150 |	And they're giving every device in your home
EDL	00:02:31,296	00:02:34,368	| IOT150 |	Are URL and you're going to be using a web app
EDL	00:02:34,368	00:02:39,232	| IOT150 |	To control everything through the Gateway so this is definitely a DIY project and
EDL	00:02:39,744	00:02:41,280	| IOT150 |	Stacy you and I I know I am
EDL	00:02:43,840	00:02:44,352	| IOT150 |	Yes
EDL	00:02:46,144	00:02:46,656	| IOT150 |	He's really experienced
EDL	00:02:48,704	00:02:49,216	| IOT150 |	I totaled
EDL	00:02:53,056	00:02:54,592	| IOT150 |	We can't even get started
EDL	00:02:54,592	00:02:56,896	| IOT150 |	Yet though because what we could but
EDL	00:02:56,896	00:03:03,040	| IOT150 |	It be limited you can start today with a pie and the download from Mozilla to get your things Gateway go away
EDL	00:03:04,832	00:03:09,440	| IOT150 |	We are waiting on some Z-Wave dongles USB dongles
EDL	00:03:09,440	00:03:11,232	| IOT150 |	To control Z-Wave devices
EDL	00:03:11,744	00:03:17,120	| IOT150 |	So would I not starting until that gets here at all if you're going to jump the gun and try and play with us earlier
EDL	00:03:17,120	00:03:18,144	| IOT150 |	I didn't have a spare
EDL	00:03:18,144	00:03:21,216	| IOT150 |	Hi-so actually end
EDL	00:03:24,032	00:03:25,056	| IOT150 |	Z-Wave
EDL	00:03:25,056	00:03:25,824	| IOT150 |	Dongle
EDL	00:03:26,848	00:03:30,432	| IOT150 |	You're doing this it's worth noting that you have to do it for
EDL	00:03:30,432	00:03:31,200	| IOT150 |	Your country
EDL	00:03:31,712	00:03:33,248	| IOT150 |	Frequencies for four different around the
EDL	00:03:34,272	00:03:35,808	| IOT150 |	And you also need to
EDL	00:03:36,320	00:03:37,600	| IOT150 |	Make sure it has Z-Wave
EDL	00:03:37,600	00:03:39,392	| IOT150 |	Plus which is the latest iteration
EDL	00:03:40,416	00:03:43,488	| IOT150 |	It is probably worth mentioning there's a Wiki
EDL	00:03:43,488	00:03:47,584	| IOT150 |	Of supported Hardware that Mozilla is keeping track of their a couple of Z-Wave dongles
EDL	00:03:48,096	00:03:50,400	| IOT150 |	And aside from the point that you just made Stacy about
EDL	00:03:50,400	00:03:52,448	| IOT150 |	What you need to look out for the
EDL	00:03:52,448	00:03:53,984	| IOT150 |	Aeon Tac is that the right one
EDL	00:03:55,520	00:03:58,848	| IOT150 |	That's the only got I'm part of the reason that I would have gotten this one anyway
EDL	00:03:58,848	00:04:05,248	| IOT150 |	One thing I seem to have massive amounts of wireless range and second-rate have a built-in battery
EDL	00:04:05,248	00:04:11,648	| IOT150 |	So we can run for I think it said forecast 15 days if it needed to if you if you want plugged-in I guess maybe you're running your pie
EDL	00:04:11,648	00:04:13,184	| IOT150 |	High on the battery I don't know it's
EDL	00:04:13,184	00:04:17,536	| IOT150 |	Rather interesting how it all works but
EDL	00:04:17,536	00:04:18,047	| IOT150 |	The pie plugged in
EDL	00:04:21,375	00:04:23,679	| IOT150 |	That makes sense because
EDL	00:04:23,679	00:04:26,495	| IOT150 |	Perry on Z-Wave sometimes works really really much
EDL	00:04:26,495	00:04:28,543	| IOT150 |	Better when you're right next to the device
EDL	00:04:28,543	00:04:30,079	| IOT150 |	Yes no I'm not sure
EDL	00:04:31,103	00:04:31,871	| IOT150 |	I guess it's you
EDL	00:04:31,871	00:04:33,151	| IOT150 |	Is the pairing of the radios
EDL	00:04:35,711	00:04:36,735	| IOT150 |	Exactly
EDL	00:04:37,247	00:04:38,271	| IOT150 |	I seem like a cool feature
EDL	00:04:40,831	00:04:41,599	| IOT150 |	And I have tons
EDL	00:04:43,647	00:04:45,439	| IOT150 |	A lot of them are
EDL	00:04:45,439	00:04:47,487	| IOT150 |	Installed so this is actually nice
EDL	00:04:47,999	00:04:51,327	| IOT150 |	I can't move my door locks I mean I could but that would be
EDL	00:04:51,327	00:04:52,095	| IOT150 |	Uninstall
EDL	00:04:53,119	00:04:56,703	| IOT150 |	Actually my Hub to the door lock just temporarily just two
EDL	00:04:57,727	00:04:58,239	| IOT150 |	Outback
EDL	00:05:00,543	00:05:01,567	| IOT150 |	Yeah but
EDL	00:05:01,567	00:05:07,455	| IOT150 |	Anyway so this is all like a small web-based interface
EDL	00:05:07,455	00:05:08,991	| IOT150 |	Yet I don't know if there will be
EDL	00:05:09,503	00:05:10,527	| IOT150 |	So like
EDL	00:05:10,527	00:05:16,927	| IOT150 |	I think my sim is going to go nuts myself using this website which is like a dedicated URL from my Gateway
EDL	00:05:16,927	00:05:19,743	| IOT150 |	A my house as opposed to say the Wink app
EDL	00:05:19,743	00:05:22,047	| IOT150 |	Don't tell just have to do with I suppose
EDL	00:05:22,047	00:05:25,631	| IOT150 |	Dietitian
EDL	00:05:25,631	00:05:29,983	| IOT150 |	The ideas you program all your automation so the goal is never to touch
EDL	00:05:30,495	00:05:31,263	| IOT150 |	The app
EDL	00:05:31,263	00:05:32,799	| IOT150 |	It is truly supposed to be
EDL	00:05:33,311	00:05:34,079	| IOT150 |	Morada
EDL	00:05:34,079	00:05:36,127	| IOT150 |	So you set up your rules and such
EDL	00:05:38,175	00:05:38,943	| IOT150 |	Pull out
EDL	00:05:38,943	00:05:40,223	| IOT150 |	As many sensors is you
EDL	00:05:40,223	00:05:41,247	| IOT150 |	Can find because you're going to want
EDL	00:05:46,623	00:05:47,391	| IOT150 |	Let It Go
EDL	00:05:47,391	00:05:48,159	| IOT150 |	I also
EDL	00:05:51,999	00:05:54,815	| IOT150 |	Yeah whatever it's a mish-mosh over here just like
EDL	00:05:54,815	00:05:59,423	| IOT150 |	Just like you have I'll probably just put a couple devices on this for testing purposes that way
EDL	00:05:59,423	00:06:01,215	| IOT150 |	I can learn I can explain
EDL	00:06:01,215	00:06:07,615	| IOT150 |	Here on the show and then my family doesn't go nuts with the devices that use all the time cuz you can go hog-wild with this thing there's even a floor plan
EDL	00:06:07,615	00:06:14,015	| IOT150 |	10 piece of the app where you can kind of figure out where drag-and-drop where you're going to put things in a rather interesting
EDL	00:06:14,015	00:06:15,295	| IOT150 |	But again my family does not
EDL	00:06:15,295	00:06:15,807	| IOT150 |	I care about that stuff
EDL	00:06:16,319	00:06:18,623	| IOT150 |	And for all of you guys who are excited about
EDL	00:06:19,135	00:06:20,415	| IOT150 |	Control
EDL	00:06:21,439	00:06:22,975	| IOT150 |	That's what this offers and that makes sense
EDL	00:06:25,023	00:06:30,143	| IOT150 |	It's not going to change the fact that your devices are still going
EDL	00:06:30,655	00:06:31,935	| IOT150 |	You're seawave devices.
EDL	00:06:31,935	00:06:32,703	| IOT150 |	Don't necessarily
EDL	00:06:32,703	00:06:36,543	| IOT150 |	But you know this is so
EDL	00:06:37,567	00:06:39,103	| IOT150 |	What word nut
EDL	00:06:39,103	00:06:40,895	| IOT150 |	Over here at the iot podcast
EDL	00:06:40,895	00:06:41,663	| IOT150 |	Is the
EDL	00:06:41,663	00:06:42,687	| IOT150 |	Homepod
EDL	00:06:42,687	00:06:43,967	| IOT150 |	So reviews are out
EDL	00:06:44,479	00:06:45,759	| IOT150 |	We are still getting one
EDL	00:06:46,271	00:06:48,575	| IOT150 |	Kevin has one on order and it should arrive
EDL	00:06:48,575	00:06:49,087	| IOT150 |	This Friday
EDL	00:06:50,111	00:06:50,623	| IOT150 |	That's correct
EDL	00:06:51,135	00:06:53,439	| IOT150 |	So next week we'll talk about our experience with
EDL	00:06:53,951	00:06:55,231	| IOT150 |	Hybrid Mean Time
EDL	00:06:55,231	00:06:56,255	| IOT150 |	Looks like people
EDL	00:06:56,767	00:06:57,791	| IOT150 |	People thought it sounded great
EDL	00:06:58,559	00:06:59,327	| IOT150 |	And it wasn't a small
EDL	00:07:01,375	00:07:02,143	| IOT150 |	What we expected
EDL	00:07:03,679	00:07:04,191	| IOT150 |	And I said
EDL	00:07:04,703	00:07:07,519	| IOT150 |	Yeah I mean I was hoping to be wrong
EDL	00:07:07,519	00:07:10,335	| IOT150 |	But there's still a lot of
EDL	00:07:10,335	00:07:11,359	| IOT150 |	I don't want to say
EDL	00:07:11,359	00:07:13,663	| IOT150 |	It seems that the smart part of it
EDL	00:07:13,663	00:07:19,295	| IOT150 |	Apple really wants to be focused on the speaker side they are smart speakers it's smart
EDL	00:07:19,295	00:07:21,599	| IOT150 |	Technology they're using for the audio piece
EDL	00:07:21,599	00:07:22,367	| IOT150 |	Thanks
EDL	00:07:22,367	00:07:25,183	| IOT150 |	If you think about it with the beamforming and auto-tuning and
EDL	00:07:25,695	00:07:30,559	| IOT150 |	Constant changing of your listen to the music so that we can adjust on the Fly and smoke
EDL	00:07:30,559	00:07:31,839	| IOT150 |	I get that that's
EDL	00:07:31,839	00:07:32,607	| IOT150 |	Rather
EDL	00:07:32,607	00:07:33,375	| IOT150 |	Smart
EDL	00:07:33,375	00:07:37,727	| IOT150 |	Services for our listeners the smart as in smart home
EDL	00:07:37,727	00:07:38,495	| IOT150 |	Smart devices
EDL	00:07:39,007	00:07:39,775	| IOT150 |	That's
EDL	00:07:39,775	00:07:42,079	| IOT150 |	Sorely lacking faculty
EDL	00:07:42,079	00:07:48,479	| IOT150 |	Siri on the phone and tablet is actually smarter than Siri on the home but they're still
EDL	00:07:48,479	00:07:51,551	| IOT150 |	A lot of limitations there's no voice recognition in terms of
EDL	00:07:51,551	00:07:52,831	| IOT150 |	Multiple users
EDL	00:07:53,599	00:07:56,671	| IOT150 |	Couldn't see you calendars I mean
EDL	00:07:57,183	00:08:01,023	| IOT150 |	Things that just couldn't do sure you can control homekit devices
EDL	00:08:02,047	00:08:03,839	| IOT150 |	Yeah
EDL	00:08:03,839	00:08:06,399	| IOT150 |	Shut off your routine
EDL	00:08:06,911	00:08:07,679	| IOT150 |	Which
EDL	00:08:07,679	00:08:08,703	| IOT150 |	You know this is
EDL	00:08:08,703	00:08:10,239	| IOT150 |	Be smart speakers
EDL	00:08:10,239	00:08:10,751	| IOT150 |	In my life
EDL	00:08:11,263	00:08:12,543	| IOT150 |	How much more of a digital assistant
EDL	00:08:13,311	00:08:15,103	| IOT150 |	And it does things
EDL	00:08:15,615	00:08:16,383	| IOT150 |	Ranging from
EDL	00:08:16,383	00:08:18,175	| IOT150 |	What's the recipe for this drink
EDL	00:08:18,175	00:08:18,687	| IOT150 |	2
EDL	00:08:19,455	00:08:20,735	| IOT150 |	Drop it on my kid
EDL	00:08:21,247	00:08:21,759	| IOT150 |	2
EDL	00:08:22,271	00:08:23,039	| IOT150 |	Call me an Uber
EDL	00:08:25,343	00:08:26,879	| IOT150 |	I really I really value that
EDL	00:08:28,159	00:08:31,487	| IOT150 |	Do you I know you do rely heavily on the digital assistant with
EDL	00:08:31,487	00:08:32,511	| IOT150 |	Voice control on such
EDL	00:08:32,511	00:08:34,303	| IOT150 |	Do you ever set timers
