EDL	Record In	Record Out	Clipname	Subtitle

VfD E04 The Terahertzian

* INTRO
EDL	00:00:11,166	00:00:16,000	| VfD_E04 |	Stealth technology, the Internet,  GPS in the palm of your hand
EDL	00:00:16,000	00:00:17,458	| VfD_E04 |	autonomous operation ...
EDL	00:00:20,166	00:00:23,166	| VfD_E04 |	technology is a driver of our times since its founding
EDL	00:00:23,166	00:00:25,333	| VfD_E04 |	in 1958 in the midst of the Cold War
EDL	00:00:25,333	00:00:27,416	| VfD_E04 |	DARPA the Defense Advanced Research
EDL	00:00:27,416	00:00:29,916	| VfD_E04 |	Projects Agency has been a driver of
EDL	00:00:29,916	00:00:30,666	| VfD_E04 |	technology.
EDL	00:00:30,666	00:00:34,250	| VfD_E04 |	Welcome to Voices from DARPA, a window
EDL	00:00:34,250	00:00:36,458	| VfD_E04 |	onto DARPA's core of program managers.
EDL	00:00:36,458	00:00:40,208	| VfD_E04 |	Their job -- to redefine what is possible
EDL	00:00:40,208	00:00:42,791	| VfD_E04 |	My name is Ivan Amato and I am your
EDL	00:00:42,791	00:00:44,875	| VfD_E04 |	DARPA host. Today I am pleased to have

* Guest介绍

EDL	00:00:44,875	00:00:46,708	| VfD_E04 |	with me in the studio Dev Palmer, a
EDL	00:00:46,708	00:00:50,541	| VfD_E04 |	program manager and DARPA's  Microsystems Technology Office (MTO) .
EDL	00:00:50,541	00:00:54,333	| VfD_E04 |	Since 2012 he has been in that office overseeing  a portfolio of
EDL	00:00:54,333	00:00:56,208	| VfD_E04 |	projects all of them with the goal of
EDL	00:00:56,208	00:00:58,666	| VfD_E04 |	pushing electronics into smaller, faster
EDL	00:00:58,666	00:01:01,000	| VfD_E04 |	and generally more capable territory. So
EDL	00:01:01,000	00:01:02,875	| VfD_E04 |	welcome Dev to Voices from DARPA. 
EDL	00:01:02,875	00:01:06,750	| VfD_E04 |	Thank you, Ivan. - Dev, I'd like to start by just

* Background

EDL	00:01:06,750	00:01:08,416	| VfD_E04 |	finding out a little bit about you and
EDL	00:01:08,416	00:01:10,375	| VfD_E04 |	so maybe you can tell us something about
EDL	00:01:10,375	00:01:12,500	| VfD_E04 |	your background and interests and how
EDL	00:01:12,500	00:01:16,125	| VfD_E04 |	you became a program manager at DARPA.
EDL	00:01:16,125	00:01:19,375	| VfD_E04 |	Well, like every red-blooded American
EDL	00:01:19,375	00:01:21,458	| VfD_E04 |	teenage boy I started playing electric
EDL	00:01:21,458	00:01:24,541	| VfD_E04 |	guitar back then you played through an
EDL	00:01:24,541	00:01:26,625	| VfD_E04 |	amplifier that used vacuum tubes and
EDL	00:01:26,625	00:01:29,666	| VfD_E04 |	there was some cachet (威望) with the soft glow
EDL	00:01:29,666	00:01:31,875	| VfD_E04 |	of the vacuum tubes and the warm sound
EDL	00:01:31,875	00:01:35,125	| VfD_E04 |	that you get when you play your guitar through them
EDL	00:01:35,125	00:01:37,208	| VfD_E04 |	but being naturally curious
EDL	00:01:37,208	00:01:40,666	| VfD_E04 |	I started to wonder how they worked and
EDL	00:01:40,666	00:01:42,875	| VfD_E04 |	how does the guitar take the motion of
EDL	00:01:42,875	00:01:44,541	| VfD_E04 |	the strings and turn it into an electric
EDL	00:01:44,541	00:01:48,875	| VfD_E04 |	signal that led me into studying electro-magnetics
EDL	00:01:48,875	00:01:53,583	| VfD_E04 |	ended up pursuing engineering Electrical Engineering as a  career 
EDL	00:01:53,583	00:01:57,666	| VfD_E04 |	and started working as a government program manager for the  Army Research Office
EDL	00:01:57,666	00:02:01,166	| VfD_E04 |	about 15 years ago until I ended up here
EDL	00:02:01,166	00:02:03,750	| VfD_E04 |	let's talk a little bit about some of
EDL	00:02:03,750	00:02:06,125	| VfD_E04 |	the programs then since 2012 that you
EDL	00:02:06,125	00:02:08,708	| VfD_E04 |	have been overseeing and I'm thinking
EDL	00:02:08,708	00:02:10,666	| VfD_E04 |	perhaps we can start with the Terahertz (太赫兹, 10的12次方)
EDL	00:02:10,666	00:02:12,750	| VfD_E04 |	electronics program
EDL	00:02:12,750	00:02:14,458	| VfD_E04 |	and I'm gonna sort of steal your thunder
EDL	00:02:14,458	00:02:17,000	| VfD_E04 |	slightly here by telling or listeners
EDL	00:02:17,000	00:02:21,000	| VfD_E04 |	that in 2014 it garnered(获得) a Guinness world record but I'm  gonna let you talk
EDL	00:02:21,000	00:02:23,416	| VfD_E04 |	about the program and and what that
EDL	00:02:23,416	00:02:26,125	| VfD_E04 |	superlative(最好的) moment was when you heard
EDL	00:02:26,125	00:02:27,416	| VfD_E04 |	about that record
EDL	00:02:27,416	00:02:31,833	| VfD_E04 |	Dev: That was a lot of fun indeed you can
EDL	00:02:31,833	00:02:33,750	| VfD_E04 |	think about transistors like you think
EDL	00:02:33,750	00:02:36,833	| VfD_E04 |	about guitar strings the low frequency
EDL	00:02:36,833	00:02:40,875	| VfD_E04 |	guitar strings can be heavy and loose
EDL	00:02:40,875	00:02:43,166	| VfD_E04 |	but as you move up in frequency the
EDL	00:02:43,166	00:02:45,416	| VfD_E04 |	strings get thinner and you have to wind
EDL	00:02:45,416	00:02:47,666	| VfD_E04 |	them tighter it's kind of the same with
EDL	00:02:47,666	00:02:49,250	| VfD_E04 |	transistors when you're working at low
EDL	00:02:49,250	00:02:51,166	| VfD_E04 |	frequencies you can get away with large
EDL	00:02:51,166	00:02:54,291	| VfD_E04 |	dimensions and as you move up in
EDL	00:02:54,291	00:02:56,166	| VfD_E04 |	frequency those dimensions have to
EDL	00:02:56,166	00:02:58,750	| VfD_E04 |	shrink(缩小) so in the Terahertz electronics
EDL	00:02:58,750	00:03:00,583	| VfD_E04 |	program we really took that to an
EDL	00:03:00,583	00:03:03,041	| VfD_E04 |	extreme it's like when you're putting
EDL	00:03:03,041	00:03:04,458	| VfD_E04 |	new strings on your guitar and you're
EDL	00:03:04,458	00:03:08,083	| VfD_E04 |	tuning it up and you're winding(绕) the strings(弦)  tighter(更紧) and tighter you think
EDL	00:03:08,083	00:03:10,208	| VfD_E04 |	they can't get any tighter and they're
EDL	00:03:10,208	00:03:12,250	| VfD_E04 |	about to break but you still keep
EDL	00:03:12,250	00:03:14,083	| VfD_E04 |	winding and finally you hit the note you
EDL	00:03:14,083	00:03:16,416	| VfD_E04 |	want it worked kind of the same way in
EDL	00:03:16,416	00:03:18,416	| VfD_E04 |	the Terahertz electronics progress... - so
EDL	00:03:18,416	00:03:19,958	| VfD_E04 |	let me just stop you a little bit before
EDL	00:03:19,958	00:03:22,500	| VfD_E04 |	you say more about the program because
EDL	00:03:22,500	00:03:24,250	| VfD_E04 |	I'm not sure all of our listeners would
EDL	00:03:24,250	00:03:26,166	| VfD_E04 |	have heard the term Terahertz and I know
EDL	00:03:26,166	00:03:28,500	| VfD_E04 |	the a) above middle C on a guitar
EDL	00:03:28,500	00:03:32,500	| VfD_E04 |	vibrates at 440 Hertz that's 440
EDL	00:03:32,500	00:03:34,875	| VfD_E04 |	vibrations(振动) per second

* 1THz = ?

---	00:03:34,875	00:03:38,208	| VfD_E04 |	tell us what 1 terahertz is in
