EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,370	00:00:10,179	| VfD E18 The Disease Slayer |	[Music]
EDL	00:00:10,179	00:00:11,150	| VfD E18 The Disease Slayer |	[ SPACE 1.0 secs ]
EDL	00:00:11,150	00:00:14,880	| VfD E18 The Disease Slayer |	stealth technology the internet GPS in
EDL	00:00:14,880	00:00:16,800	| VfD E18 The Disease Slayer |	the palm of your hand autonomous
EDL	00:00:16,800	00:00:21,330	| VfD E18 The Disease Slayer |	operation technology is a driver of our
EDL	00:00:21,330	00:00:24,240	| VfD E18 The Disease Slayer |	times since its founding in 1958 in the
EDL	00:00:24,240	00:00:26,310	| VfD E18 The Disease Slayer |	midst of the Cold War DARPA the Defense
EDL	00:00:26,310	00:00:28,859	| VfD E18 The Disease Slayer |	Advanced Research Projects Agency has
EDL	00:00:28,859	00:00:30,630	| VfD E18 The Disease Slayer |	been a driver of technology
EDL	00:00:30,630	00:00:33,600	| VfD E18 The Disease Slayer |	welcome to voices from DARPA a window
EDL	00:00:33,600	00:00:36,030	| VfD E18 The Disease Slayer |	onto DARPA score of program managers
EDL	00:00:36,030	00:00:39,440	| VfD E18 The Disease Slayer |	their job to redefine what is possible

EDL	00:00:39,440	00:00:42,000	| VfD E18 The Disease Slayer |	my name is Ivan Amato and I'm your DARPA
EDL	00:00:42,000	00:00:43,710	| VfD E18 The Disease Slayer |	host and today I'm pleased to have with
EDL	00:00:43,710	00:00:46,350	| VfD E18 The Disease Slayer |	me in the studio US Army Colonel Matt
EDL	00:00:46,350	00:00:48,930	| VfD E18 The Disease Slayer |	Hepburn an active duty Army physician
EDL	00:00:48,930	00:00:51,780	| VfD E18 The Disease Slayer |	and since 2013 a program manager in
EDL	00:00:51,780	00:00:54,199	| VfD E18 The Disease Slayer |	DARPA biological technologies office
EDL	00:00:54,199	00:00:57,989	| VfD E18 The Disease Slayer |	Colonel Hepburn holds a Bachelor of Science degree in biomedical engineering
EDL	00:00:57,989	00:01:00,510	| VfD E18 The Disease Slayer |	and a Doctor of Medicine degree both
EDL	00:01:00,510	00:01:02,309	| VfD E18 The Disease Slayer |	from Duke University following all of
EDL	00:01:02,309	00:01:04,559	| VfD E18 The Disease Slayer |	that education he completed an internal
EDL	00:01:04,559	00:01:06,299	| VfD E18 The Disease Slayer |	medicine residency and an infectious
EDL	00:01:06,299	00:01:10,770	| VfD E18 The Disease Slayer |	disease fellowship at Brooke Army Medical Center at Fort Sam Houston in Texas

EDL	00:01:10,770	00:01:13,380	| VfD E18 The Disease Slayer |	prior to joining DARPA Matt served as
EDL	00:01:13,380	00:01:15,540	| VfD E18 The Disease Slayer |	the director of medical preparedness on
EDL	00:01:15,540	00:01:17,280	| VfD E18 The Disease Slayer |	the White House national security staff
EDL	00:01:17,280	00:01:19,439	| VfD E18 The Disease Slayer |	an additional previous assignments
EDL	00:01:19,439	00:01:21,570	| VfD E18 The Disease Slayer |	included the chief medical officer at a
EDL	00:01:21,570	00:01:23,880	| VfD E18 The Disease Slayer |	level 2 medical facility in Iraq a
EDL	00:01:23,880	00:01:26,189	| VfD E18 The Disease Slayer |	clinical research director at the US
EDL	00:01:26,189	00:01:28,170	| VfD E18 The Disease Slayer |	Army Medical Research Institute for
EDL	00:01:28,170	00:01:30,810	| VfD E18 The Disease Slayer |	infectious diseases and an exchange
EDL	00:01:30,810	00:01:32,970	| VfD E18 The Disease Slayer |	officer to the United Kingdom among
EDL	00:01:32,970	00:01:35,759	| VfD E18 The Disease Slayer |	other positions matt is one of DARPA
EDL	00:01:35,759	00:01:37,439	| VfD E18 The Disease Slayer |	program managers who comes to work in
EDL	00:01:37,439	00:01:39,780	| VfD E18 The Disease Slayer |	his military attire in his case either
EDL	00:01:39,780	00:01:41,600	| VfD E18 The Disease Slayer |	his army fatigues or a dress uniform
EDL	00:01:41,600	00:01:45,540	| VfD E18 The Disease Slayer |	either way he always wears the smile of
EDL	00:01:45,540	00:01:47,820	| VfD E18 The Disease Slayer |	someone who finds himself in a place
EDL	00:01:47,820	00:01:50,520	| VfD E18 The Disease Slayer |	where he just might be able to realize a
EDL	00:01:50,520	00:01:52,920	| VfD E18 The Disease Slayer |	dream and he has said publicly that he
EDL	00:01:52,920	00:01:55,049	| VfD E18 The Disease Slayer |	wants to stop all infectious diseases
EDL	00:01:55,049	00:01:57,000	| VfD E18 The Disease Slayer |	from killing people may it be so

EDL	00:01:57,000	00:02:00,570	| VfD E18 The Disease Slayer |	Colonel Matt Hepburn though I will call you Matt from now on it is my pleasure
EDL	00:02:00,570	00:02:03,240	| VfD E18 The Disease Slayer |	to have you in the studio today it's
EDL	00:02:03,240	00:02:05,880	| VfD E18 The Disease Slayer |	fantastic to be here and and thank you
EDL	00:02:05,880	00:02:07,530	| VfD E18 The Disease Slayer |	Ivan for inviting me to be on the
EDL	00:02:07,530	00:02:10,440	| VfD E18 The Disease Slayer |	podcast and to tell my story and tell
EDL	00:02:10,440	00:02:12,239	| VfD E18 The Disease Slayer |	you what I care so deeply about yes so
EDL	00:02:12,239	00:02:13,920	| VfD E18 The Disease Slayer |	I've been greatly looking forward to
EDL	00:02:13,920	00:02:15,209	| VfD E18 The Disease Slayer |	discussion so why don't we get right
EDL	00:02:15,209	00:02:17,310	| VfD E18 The Disease Slayer |	into it and so you're a medical
EDL	00:02:17,310	00:02:19,500	| VfD E18 The Disease Slayer |	professional who embraces clinical and
EDL	00:02:19,500	00:02:21,810	| VfD E18 The Disease Slayer |	field practice as well as leading-edge
EDL	00:02:21,810	00:02:24,870	| VfD E18 The Disease Slayer |	research what are the origins of those
EDL	00:02:24,870	00:02:26,819	| VfD E18 The Disease Slayer |	interests for you it started pretty

EDL	00:02:26,819	00:02:29,910	| VfD E18 The Disease Slayer |	young I have this childhood memory of
EDL	00:02:29,910	00:02:32,190	| VfD E18 The Disease Slayer |	being asked at my school a Catholic
EDL	00:02:32,190	00:02:33,690	| VfD E18 The Disease Slayer |	school and that was meeting with one of
EDL	00:02:33,690	00:02:34,739	| VfD E18 The Disease Slayer |	the priests and they said well what do
EDL	00:02:34,739	00:02:36,690	| VfD E18 The Disease Slayer |	you really want to do and I said I
EDL	00:02:36,690	00:02:38,730	| VfD E18 The Disease Slayer |	wanted to be a pediatrician(小儿科医师) and they
EDL	00:02:38,730	00:02:42,420	| VfD E18 The Disease Slayer |	said why and and and I said well because
EDL	00:02:42,420	00:02:44,489	| VfD E18 The Disease Slayer |	I just want to take care of people and I
EDL	00:02:44,489	00:02:46,260	| VfD E18 The Disease Slayer |	want to take care of children and I do
EDL	00:02:46,260	00:02:49,290	| VfD E18 The Disease Slayer |	think it stems from my mom was a nurse
EDL	00:02:49,290	00:02:51,870	| VfD E18 The Disease Slayer |	and so I think less so from the
EDL	00:02:51,870	00:02:54,150	| VfD E18 The Disease Slayer |	influence of being around someone in the
EDL	00:02:54,150	00:02:56,190	| VfD E18 The Disease Slayer |	medical profession but more so just
EDL	00:02:56,190	00:02:57,299	| VfD E18 The Disease Slayer |	being around someone that cares very
EDL	00:02:57,299	00:02:58,769	| VfD E18 The Disease Slayer |	deeply about other people
EDL	00:02:58,769	00:03:00,930	| VfD E18 The Disease Slayer |	again very early on and it but it's been
EDL	00:03:00,930	00:03:02,610	| VfD E18 The Disease Slayer |	it's been sort of a consistent part of
EDL	00:03:02,610	00:03:05,790	| VfD E18 The Disease Slayer |	my life yeah this was in fourth grade
EDL	00:03:05,790	00:03:07,709	| VfD E18 The Disease Slayer |	this whole like you know I wanted to be
EDL	00:03:07,709	00:03:09,600	| VfD E18 The Disease Slayer |	a pediatrician(小儿科医师) and so as I was on this
EDL	00:03:09,600	00:03:11,430	| VfD E18 The Disease Slayer |	trajectory and I didn't know of course
EDL	00:03:11,430	00:03:13,019	| VfD E18 The Disease Slayer |	what I was talking about you know I mean
EDL	00:03:13,019	00:03:14,850	| VfD E18 The Disease Slayer |	even you make these decisions early in
EDL	00:03:14,850	00:03:17,310	| VfD E18 The Disease Slayer |	your life but my parents and my family
EDL	00:03:17,310	00:03:20,070	| VfD E18 The Disease Slayer |	always had this incredibly strong ethic
EDL	00:03:20,070	00:03:22,260	| VfD E18 The Disease Slayer |	of service and very deeply and
EDL	00:03:22,260	00:03:23,880	| VfD E18 The Disease Slayer |	fundamentally because I reflect on this
EDL	00:03:23,880	00:03:26,489	| VfD E18 The Disease Slayer |	often actually it's like Who am I and
EDL	00:03:26,489	00:03:28,370	| VfD E18 The Disease Slayer |	what am I supposed to be and I think
EDL	00:03:28,370	00:03:30,900	| VfD E18 The Disease Slayer |	what I do is I serve others and that's
EDL	00:03:30,900	00:03:32,970	| VfD E18 The Disease Slayer |	that's how I define myself maybe one of
EDL	00:03:32,970	00:03:35,040	| VfD E18 The Disease Slayer |	the greatest gifts from my parents was
EDL	00:03:35,040	00:03:38,940	| VfD E18 The Disease Slayer |	that my dad was active duty Navy officer
EDL	00:03:38,940	00:03:41,340	| VfD E18 The Disease Slayer |	did ROTC and served as a nuclear
EDL	00:03:41,340	00:03:43,410	| VfD E18 The Disease Slayer |	engineer on a Surface Warfare ship it
EDL	00:03:43,410	00:03:44,670	| VfD E18 The Disease Slayer |	was active duty for five or six years
EDL	00:03:44,670	00:03:46,530	| VfD E18 The Disease Slayer |	stayed in the Navy for another 20 plus
EDL	00:03:46,530	00:03:48,660	| VfD E18 The Disease Slayer |	retired as a Navy captain in the
EDL	00:03:48,660	00:03:52,109	| VfD E18 The Disease Slayer |	reserves you couple my mom's passion for
EDL	00:03:52,109	00:03:53,940	| VfD E18 The Disease Slayer |	helping other people in the medical
EDL	00:03:53,940	00:03:56,579	| VfD E18 The Disease Slayer |	field with my dad's passion of serving
EDL	00:03:56,579	00:03:58,440	| VfD E18 The Disease Slayer |	our country this was almost like all I
EDL	00:03:58,440	00:04:00,569	| VfD E18 The Disease Slayer |	knew and so that trajectory has sort of
EDL	00:04:00,569	00:04:02,160	| VfD E18 The Disease Slayer |	guided me through all of my decisions in


EDL	00:04:02,160	00:04:03,540	| VfD E18 The Disease Slayer |	my okay well let's actually talk a
EDL	00:04:03,540	00:04:05,130	| VfD E18 The Disease Slayer |	little bit about that before you came to
EDL	00:04:05,130	00:04:07,560	| VfD E18 The Disease Slayer |	DARPA you spent almost 15 years in a
EDL	00:04:07,560	00:04:09,810	| VfD E18 The Disease Slayer |	variety of segments that took you to for
EDL	00:04:09,810	00:04:11,579	| VfD E18 The Disease Slayer |	example for - deitrick the military's
