EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,650	00:00:17,730	| VfD E02 Space Sentinel |	Stealth technology , the internet , GPS in the palm of your hand on tonight's operation. 
EDL	00:00:19,280	00:00:30,230	| VfD E02 Space Sentinel |	Technology is a driver of our times since its founding a nineteen fifty eight , in the midst of the cold war , DARPA , that offends advance research projects has been a driver of technology . 
EDL	00:00:30,670	00:00:40,090	| VfD E02 Space Sentinel |	Welcome to Voices from DARPA , a window onto dark as core of program managers , their job to redefine what is possible . 
EDL	00:00:40,610	00:00:43,370	| VfD E02 Space Sentinel |	My name is iphone , the motto , and I am your dark host . 
EDL	00:00:43,370	00:00:45,790	| VfD E02 Space Sentinel |	And today I am pleased to have with me in the studio . 
EDL	00:00:45,790	00:00:56,336	| VfD E02 Space Sentinel |	Wen zim , alert , a program manager in tactical technology , where , since twenty fourteen , she has been running the intriguingly named space surveillance telescope . 
EDL	00:00:56,336	00:00:59,920	| VfD E02 Space Sentinel |	Where SSTprogram welcomes the two Voices from japan. 
EDL	00:01:00,320	00:01:02,020	| VfD E02 Space Sentinel |	Thank you so much for having me . 
EDL	00:01:02,020	00:01:03,220	| VfD E02 Space Sentinel |	I am really excited to be here. 
EDL	00:01:03,620	00:01:04,770	| VfD E02 Space Sentinel |	Well , i'm excited to have you . 
EDL	00:01:05,360	00:01:13,900	| VfD E02 Space Sentinel |	And before we dive in and talk about the space surveillance telescope , which packs some really amazing technology that i'm eager to hear about . 
EDL	00:01:14,250	00:01:16,000	| VfD E02 Space Sentinel |	Let's talk a little bit about you . 
EDL	00:01:16,000	00:01:22,840	| VfD E02 Space Sentinel |	Um , what I like knows something about your background , how you became a program manager at the. 
EDL	00:01:23,580	00:01:30,760	| VfD E02 Space Sentinel |	Sure , so a while ago actually started as a photography major at the university , michigan , which you might think is a little bit odd . 
EDL	00:01:30,760	00:01:32,350	| VfD E02 Space Sentinel |	Start for a scientist . 
EDL	00:01:32,680	00:01:35,000	| VfD E02 Space Sentinel |	I was always inspired by the images . 
EDL	00:01:35,000	00:01:36,860	| VfD E02 Space Sentinel |	I would see you in a strongly magazine . 
EDL	00:01:37,210	00:01:40,690	| VfD E02 Space Sentinel |	And at that time , I thought all that means that should be a photographic major . 
EDL	00:01:41,210	00:01:46,030	| VfD E02 Space Sentinel |	But after learning a little bit more my time there , I dropped it over to our space engineering . 
EDL	00:01:46,030	00:01:50,873	| VfD E02 Space Sentinel |	I got my undergraduate degree in our space engineering there and a masters as well . 
EDL	00:01:50,873	00:02:00,030	| VfD E02 Space Sentinel |	And I went on to produce where it is some graduate work that enabled an assumption called the treasury planet finder , which was a new design for a space , total scope . 
EDL	00:02:00,030	00:02:09,850	| VfD E02 Space Sentinel |	After that , I had some marketed in policy and actually met a fellow program manager here double , who introduced me to the how double works and the double programs . 
EDL	00:02:09,850	00:02:13,360	| VfD E02 Space Sentinel |	And I was really exciting to me , and that's how I ended up a double. 
EDL	00:02:14,000	00:02:21,770	| VfD E02 Space Sentinel |	And before we do really talk about the advanced technologies that come together into this tour , the space surveillance . 
EDL	00:02:22,670	00:02:29,040	| VfD E02 Space Sentinel |	Maybe you can talk with a little bit about the problem that really backed in the screen for something like an SST. 
EDL	00:02:29,040	00:02:37,320	| VfD E02 Space Sentinel |	And when i'm referring to hears is the kind of landless abbott like a human made in cosmos made debris . 
EDL	00:02:37,320	00:02:40,340	| VfD E02 Space Sentinel |	So magazines really the beginning , the species. 
EDL	00:02:40,340	00:02:41,888	| VfD E02 Space Sentinel |	Yeah , absolutely , a minor . 
EDL	00:02:41,888	00:02:45,650	| VfD E02 Space Sentinel |	A user space is becoming increasingly critical to daily . 
EDL	00:02:45,650	00:02:50,719	| VfD E02 Space Sentinel |	I think a lot of people don't know when the space is even involved really anymore . 
EDL	00:02:50,719	00:02:56,190	| VfD E02 Space Sentinel |	And in order to do that , we are launching increasing numbers of minimum attacks in the space . 
EDL	00:02:56,190	00:02:59,420	| VfD E02 Space Sentinel |	There are tens of thousands of these objects in space right now . 
EDL	00:03:00,000	00:03:06,039	| VfD E02 Space Sentinel |	And so we have to be very careful that they don't come near each other and sometimes even collide with each other . 
EDL	00:03:06,039	00:03:19,908	| VfD E02 Space Sentinel |	And on top of that , we also have debris in space , some from man made objects , but also just natural objects , but also SSTis really focused on tracking and identifying debris and objects in orbit called geo geo synchronized orbit . 
EDL	00:03:19,908	00:03:23,812	| VfD E02 Space Sentinel |	That's about twenty two thousand miles about the earth . 
EDL	00:03:23,812	00:03:24,961	| VfD E02 Space Sentinel |	So really far away . 
EDL	00:03:24,961	00:03:25,880	| VfD E02 Space Sentinel |	Where did I? 
EDL	00:03:25,880	00:03:30,392	| VfD E02 Space Sentinel |	From leo rights , which is low authority , that was a lot of satellites . 
EDL	00:03:30,392	00:03:30,690	| VfD E02 Space Sentinel |	well. 
EDL	00:03:30,690	00:03:32,640	| VfD E02 Space Sentinel |	That's absolutely right . 
EDL	00:03:32,640	00:03:33,800	| VfD E02 Space Sentinel |	Leos much closer . 
EDL	00:03:33,800	00:03:37,060	| VfD E02 Space Sentinel |	So it's a little easier to see objects there . 
EDL	00:03:37,660	00:03:40,930	| VfD E02 Space Sentinel |	Jill has a volume of tens of thousands of oceans . 
EDL	00:03:40,930	00:03:44,840	| VfD E02 Space Sentinel |	So not only is it far away , it's gigantic . 
EDL	00:03:44,840	00:03:51,340	| VfD E02 Space Sentinel |	And so building a telescope that can handle both of those challenges since it's very far away over a very wide area . 
EDL	00:03:51,340	00:03:54,360	| VfD E02 Space Sentinel |	Yeah , I is really what our sister is best. 
EDL	00:03:54,880	00:04:00,030	| VfD E02 Space Sentinel |	Okay , I love that kind of image just gave us with with all of these oceans above the same . 
EDL	00:04:00,030	00:04:02,850	| VfD E02 Space Sentinel |	You need to be worked out and monitored . 
EDL	00:04:03,260	00:04:08,440	| VfD E02 Space Sentinel |	So that sounds to me like , like , you need some oil technology . 
EDL	00:04:08,440	00:04:18,440	| VfD E02 Space Sentinel |	And maybe this is a good time for you to talk those , those really advanced , unique technologies that you helped naturally come together into this remarkable. 
EDL	00:04:18,790	00:04:31,330	| VfD E02 Space Sentinel |	Yeah , absolutely , so you think about a digital camera that you have home when you use your zoom lens , you see the field of view on your camera , narrow in on the thing that you're looking at it as you get closer . 
EDL	00:04:31,330	00:04:44,310	| VfD E02 Space Sentinel |	And that is how a traditional telescope works as you change the design that the field of with SST, we actually had a unique optical design where we use a curved focal plane . 
EDL	00:04:44,970	00:04:49,950	| VfD E02 Space Sentinel |	So gone , thinking about your digital camera , there is a small focal plane , focal plant in your camera . 
EDL	00:04:49,950	00:04:50,930	| VfD E02 Space Sentinel |	Call the CCD. 
EDL	00:04:51,410	00:04:52,710	| VfD E02 Space Sentinel |	That stands for charge . 
EDL	00:04:52,710	00:04:54,180	| VfD E02 Space Sentinel |	Couple devices are very cool . 
EDL	00:04:54,180	00:04:56,890	| VfD E02 Space Sentinel |	The most of us know is just the academic. 
EDL	00:04:57,280	00:04:57,830	| VfD E02 Space Sentinel |	Thank you . 
EDL	00:04:58,170	00:05:14,290	| VfD E02 Space Sentinel |	Well , the weather system teams are very , very widespread of view , but still relatively very high resolution is actually , instead of having a flat CCD, Aflat focal plane , it is curved , and SSThad the first working curve to focus design. 
EDL	00:05:14,660	00:05:19,700	| VfD E02 Space Sentinel |	That we know over the world , and what was so special about the curved form embrace is a flat one. 
EDL	00:05:20,250	00:05:29,524	| VfD E02 Space Sentinel |	So the curve format allows you to actually focus the light a little bit better towards the edges of the CCDitself is also very , very challenging to build . 
EDL	00:05:29,524	00:05:35,580	| VfD E02 Space Sentinel |	In fact , I am a telling concludes who built the focal plane has to come up with the , the new process . 
EDL	00:05:35,580	00:05:38,030	| VfD E02 Space Sentinel |	I am able to to enable that character. 
EDL	00:05:38,500	00:05:58,525	| VfD E02 Space Sentinel |	Over the over the plane , right and philosophy might not know the legal legs are really fascinating place with AAhistory that goes back really to world war two with a task at that time to work on what really was some of the original weight or technology , and it's been really involved in updates , among other things ever ever since . 
EDL	00:05:58,525	00:06:07,190	| VfD E02 Space Sentinel |	Those are really interesting in partner , and in this case , what are some of the other technologies that have been really tough , dark , dark awards , the tiger , tiger. 
EDL	00:06:07,190	00:06:15,980	| VfD E02 Space Sentinel |	The the processing power of this total scope is quite impressive , and the speedy , which it can scand over the sky . 
EDL	00:06:16,460	00:06:34,260	| VfD E02 Space Sentinel |	And so we can actually view objects over one quarter of the entire jail belt over , you can imagine that is one quarter of each night from new mexico , and that is just an incredibly fast drive train on the telescope and requires incredibly fast processing . 
EDL	00:06:34,260	00:06:37,790	| VfD E02 Space Sentinel |	And those are two things that that we also developed under the assets to program. 
EDL	00:06:38,220	00:07:00,000	| VfD E02 Space Sentinel |	When I was called the standing volume to be thinking about this in the field of view of this instrument and anything , a kind of an amazing portrait writers is that the white sense mister ranges in mexico , which triggered smooth people there know is wismar , but it is on top of a fantastic way . 
EDL	00:07:00,000	00:07:01,993	| VfD E02 Space Sentinel |	The name played a pig called adam peak . 
EDL	00:07:01,993	00:07:07,175	| VfD E02 Space Sentinel |	Maybe you've been there , so maybe you can just sort of paint as a little bit of a picture . 
EDL	00:07:07,175	00:07:08,969	| VfD E02 Space Sentinel |	What is like to buy the telescope ? 
EDL	00:07:08,969	00:07:11,860	| VfD E02 Space Sentinel |	And why are you doing that describe the telescope? 
EDL	00:07:11,860	00:07:18,580	| VfD E02 Space Sentinel |	Sure , so the autumn peak itself is very high and very dry in a very dark location . 
EDL	00:07:18,580	00:07:27,622	| VfD E02 Space Sentinel |	So you can stand up on the peak and actually see the sunset out over the range , which is beautiful , and you are also looking right over a site called trinity sites . 
EDL	00:07:27,622	00:07:40,680	| VfD E02 Space Sentinel |	Trinity sites is actually where the united states exploded its first atomic weapon , which is kind of interesting to be standing on the egypt of two areas where technology was after sunset against incredibly dark . 
EDL	00:07:40,680	00:07:49,480	| VfD E02 Space Sentinel |	You can actually see the edge of the galaxy when you're standing up there , and after night fall , we can walk inside the telescope down . 
EDL	00:07:49,480	00:07:59,542	| VfD E02 Space Sentinel |	The facility itself looks like a very flat square building with a giant dome on one side , and you get inside that dome , which is elevated even higher above autumn peak . 
EDL	00:07:59,542	00:08:03,502	| VfD E02 Space Sentinel |	And then we'll open up the door for of the telescope dome . 
EDL	00:08:03,502	00:08:23,385	| VfD E02 Space Sentinel |	And almost every time I bend there , the wind is just blowing , and it's freezing cold , but everyone to stand up down because it just so need to see the stars in the toll scope , moving the toll scott movement itself is completely silent as they're just sitting there looking at the stars next to the instrument . 
EDL	00:08:23,385	00:08:24,040	| VfD E02 Space Sentinel |	And it was. 
