EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,610	00:00:30,330	| VfD E03 The Semiconductor Whisperer |	Self technology , the internet , GPS in the column of hand on the most operation technology , is a driver of our time since its founding , a nineteen fifty eight in the midst of the cold war darbar , the defence advanced research projects has been a driver of technology . 
EDL	00:00:31,230	00:00:40,760	| VfD E03 The Semiconductor Whisperer |	Welcome to Voices from DARPA , a window on the dark as core of program managers , their job to redefine what is possible. 
EDL	00:00:40,760	00:00:47,110	| VfD E03 The Semiconductor Whisperer |	My name is dan green , since twenty thirteen , i've been a program manager in doubles microsystem technology. 
EDL	00:00:47,490	00:00:49,970	| VfD E03 The Semiconductor Whisperer |	And on your double host , I went motto . 
EDL	00:00:51,460	00:00:57,850	| VfD E03 The Semiconductor Whisperer |	Then tell me a little bit about your background and how it relates to what you hope to accomplish your time here. 
EDL	00:00:57,850	00:01:00,000	| VfD E03 The Semiconductor Whisperer |	A double , I came here to a series . 
EDL	00:01:00,000	00:01:39,211	| VfD E03 The Semiconductor Whisperer |	The fortunate events I got into science , remembering a geological physics at the physics and college got into semiconductor physics so semicon materials that underpin the electronics in all of our commercial technologies today , and really go in over that area at that point time , which was in the nineties , when I started getting into electronics and going after graduate school , who was kind of bad time to be doing electronics , because there is a lot of maturity and what I thought concerned about where was gonna go from there because of the established players like intelligence , we're hitting their hitting the storm . 
EDL	00:01:39,211	00:01:46,114	| VfD E03 The Semiconductor Whisperer |	And along came a new material system called galling nightlights until I was part of brought up looking at going . 
EDL	00:01:46,114	00:01:50,470	| VfD E03 The Semiconductor Whisperer |	I tried and understanding this properties as it applies to transistor technology. 
EDL	00:01:50,470	00:01:56,760	| VfD E03 The Semiconductor Whisperer |	Can you just spend a few seconds talking to us about what is interesting about different kinds of sandwiches? 
EDL	00:01:56,760	00:02:04,882	| VfD E03 The Semiconductor Whisperer |	So when you look at the history of semiconductors , right , the transistors came out from bilateral pools after the , after the second world war . 
EDL	00:02:04,882	00:02:17,030	| VfD E03 The Semiconductor Whisperer |	So it's been around for a long time in the interesting pieces that as dominant as silicon is today , that was not a good , obvious when they started , in fact , we need , and you look at the , the first transistors they are made of germany. 
EDL	00:02:17,030	00:02:21,135	| VfD E03 The Semiconductor Whisperer |	And it looked like crazy little contraction right there were they were the size of. 
EDL	00:02:21,135	00:02:33,205	| VfD E03 The Semiconductor Whisperer |	TOM almost essentially they , they dragged a couple of wires into this block of material and were able to extra money from that very , very rude mentally experiment that , hey , we are really understanding here . 
EDL	00:02:33,205	00:02:42,406	| VfD E03 The Semiconductor Whisperer |	It's obviously translated to many billions dollars of commercial activity , the complexity of luxury conducting today is astonishing . 
EDL	00:02:42,406	00:02:42,879	| VfD E03 The Semiconductor Whisperer |	really . 
EDL	00:02:42,879	00:02:54,493	| VfD E03 The Semiconductor Whisperer |	The key was going from germany of the silicon and a lot of the technical reasons that made work related effectiveness , ethnic combinations with other materials called oxide , very easily . 
EDL	00:02:54,493	00:03:06,205	| VfD E03 The Semiconductor Whisperer |	And so having that outside layer really help control where the electrons flow , the building to manipulate the material structure is really what separated silicon from the other competitors . 
EDL	00:03:06,205	00:03:17,461	| VfD E03 The Semiconductor Whisperer |	That time , an interesting piece that happened with the economic result in the eighties and nineties , was the dramatic expansion of the materials that were able to manipulate that manner . 
EDL	00:03:17,461	00:03:25,793	| VfD E03 The Semiconductor Whisperer |	And so we went from things like silicon to what our knowledge compounds of conductors were used combinations of to create new material sets . 
EDL	00:03:25,793	00:03:37,780	| VfD E03 The Semiconductor Whisperer |	So the first material said that hit the main dream was called gun in arsenide , instead of being a regular crystal just made of silicon items , it has an alternative pattern of gallium and arsenic atoms. 
EDL	00:03:37,780	00:03:43,982	| VfD E03 The Semiconductor Whisperer |	Right , and my understanding is going from silicon to a campaign campaign . 
EDL	00:03:43,982	00:03:49,730	| VfD E03 The Semiconductor Whisperer |	Galaxy night was heard enough that it became AAprogram at dark metro . 
EDL	00:03:49,730	00:03:51,490	| VfD E03 The Semiconductor Whisperer |	That material make a newspaper. 
EDL	00:03:51,490	00:04:03,760	| VfD E03 The Semiconductor Whisperer |	I've already read the dark amateur earlier investment to take what that was the experimental technology of gang martian eye that was useful buyers and really scale it up to make it manufacturer . 
EDL	00:04:03,760	00:04:08,630	| VfD E03 The Semiconductor Whisperer |	Well , because they realized that it was going to enable us to do things like a race factories . 
EDL	00:04:08,630	00:04:18,830	| VfD E03 The Semiconductor Whisperer |	What is a factory factory is , is a combination of amplifiers in a repeated pattern so that you can project electronic waves . 
EDL	00:04:18,830	00:04:21,920	| VfD E03 The Semiconductor Whisperer |	So that means things like retards that gonna are planning . 
EDL	00:04:21,920	00:04:27,015	| VfD E03 The Semiconductor Whisperer |	Internships can leverage that capability to see what's around them to communicate . 
EDL	00:04:27,015	00:04:35,400	| VfD E03 The Semiconductor Whisperer |	And what another company was because of the defense interest in material technology and the ability to bring it to a effectively state . 
EDL	00:04:35,400	00:04:39,070	| VfD E03 The Semiconductor Whisperer |	A lot of people are always that he would be useful for the commercial sector as well . 
EDL	00:04:39,500	00:04:55,980	| VfD E03 The Semiconductor Whisperer |	And so that same gallery , mercy and technology that came out of the really dark memory program in the nineties was really what set off the cellphone revolution because it enabled the amplifiers that let those small handsets that you can run with you to talk to you. 
EDL	00:04:56,380	00:05:05,768	| VfD E03 The Semiconductor Whisperer |	The cell phone towers and that expansion of the same conductor's zoo with we started with germany , and when we talked about silicon , we talked about gallian arsenide . 
EDL	00:05:05,768	00:05:10,420	| VfD E03 The Semiconductor Whisperer |	This might be a good attempt to sort of move into some of the programs that you've been oversee. 
EDL	00:05:10,420	00:05:17,947	| VfD E03 The Semiconductor Whisperer |	Galaxy machine I was was really exceptional because it showed how different method properties can be by moving away from just silicon . 
EDL	00:05:17,947	00:05:25,711	| VfD E03 The Semiconductor Whisperer |	But by no means that that exhausts the period of people were looking around , they realized that there is a lot of other option . 
EDL	00:05:25,711	00:05:39,609	| VfD E03 The Semiconductor Whisperer |	Late nineteen ninety thousand was an individual researcher actually developed the technology to grow high quality galileo , nitrogen material and galin natural materials is special because it , it offers a wider ban . 
EDL	00:05:39,609	00:05:55,506	| VfD E03 The Semiconductor Whisperer |	Get , so that's a characteristic energy , the material , and it enabled devices to be made , which could admit into the blue to many expectations was not available before that sort of a whole wave in terms of lighting , and suggesting that today was our peculators uploads . 
