EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,660	00:00:16,090	| VfD E11 The Thin-Air Specialist |	Self technology , the internet , GPS in the column of your hand. 
EDL	00:00:16,090	00:00:32,030	| VfD E11 The Thin-Air Specialist |	Autonomous operation technology is a driver of our times since its founding a nineteen fifty eight in the midst of the cold war , the defense advanced research projects agency has been a driver of technology . 
EDL	00:00:32,740	00:00:41,420	| VfD E11 The Thin-Air Specialist |	Welcome to Voices from DARPA , a window onto dark as a core of program managers , their job to redefine what is possible . 
EDL	00:00:41,960	00:00:45,398	| VfD E11 The Thin-Air Specialist |	My name is ivan a motto , and I am your daughter host . 
EDL	00:00:45,398	00:01:23,895	| VfD E11 The Thin-Air Specialist |	And i'm please have with me in the studio today , choosing a program manager since twenty fourteen , industrial systems technology of others try earned a pair of bachelor's degree is one in electrical engineering and one in computer engineering from west virginia university and our masters and doctoral degree and electrical engineering from the university of michigan for a decade prior to coming to DARPA , try founded and LED a series of programs within the micro electric mechanical systems technology department of sandia national laboratories in elbow cookie , new mexico , thanks for a journey in the studio today . 
EDL	00:01:23,895	00:01:24,570	| VfD E11 The Thin-Air Specialist |	Now the point . 
EDL	00:01:24,980	00:01:29,010	| VfD E11 The Thin-Air Specialist |	So i'd like to start out of discussion with some background about you . 
EDL	00:01:29,010	00:01:38,760	| VfD E11 The Thin-Air Specialist |	I'd like to tell me about your education if there are teachers that were important to you growing up , and that let you in the kinds of engineering correction that you have. 
EDL	00:01:39,070	00:01:54,188	| VfD E11 The Thin-Air Specialist |	Yeah sure , so I grew up in a small town in west virginia , western , western , to be exact when I was in high school , I had exhausted the math classes were available at my local high school , so I ended up going part time to west virginia wesley in college . 
EDL	00:01:54,188	00:02:01,020	| VfD E11 The Thin-Air Specialist |	And they set up kind of a class for many students from my high school , go to a class for high school students , the local college . 
EDL	00:02:01,390	00:02:05,760	| VfD E11 The Thin-Air Specialist |	And before that , it was been good mass , but I never really knew how to apply it . 
EDL	00:02:05,760	00:02:11,560	| VfD E11 The Thin-Air Specialist |	I figured I would go in the medicine or something of that nature , and it's part of that special class they set up for us . 
EDL	00:02:11,560	00:02:22,780	| VfD E11 The Thin-Air Specialist |	The first half hour professional bride would come in , and he was engineering physicists , and he would come in and relate all of the calculus we were learning to physics problems . 
EDL	00:02:22,780	00:02:29,320	| VfD E11 The Thin-Air Specialist |	And I just found that fascinating , so that one of the junior high school , and from that point forward , I wanted to be an engineer. 
EDL	00:02:29,320	00:02:37,750	| VfD E11 The Thin-Air Specialist |	So I like to hear a little bit about the base of your career where you really work a lot on men and get next steps from micro electric mechanical systems . 
EDL	00:02:37,750	00:02:42,550	| VfD E11 The Thin-Air Specialist |	I know you did that even before going to a sandy as I talk a little bit about that whole man. 
EDL	00:02:42,550	00:02:47,180	| VfD E11 The Thin-Air Specialist |	Part of your work in graduate school to university , michigan , I worked for a professor . 
EDL	00:02:47,180	00:02:50,491	| VfD E11 The Thin-Air Specialist |	Canvas is one of the founders of names there . 
EDL	00:02:50,491	00:03:08,440	| VfD E11 The Thin-Air Specialist |	I worked on analog interfaces for normal recording electorates , so I was developing integrated circuits to be able to record nervously potentials the brain for doing things like restoring function to people who have nervous system disabilities like paralysis . 
EDL	00:03:08,440	00:03:14,808	| VfD E11 The Thin-Air Specialist |	Could , could be other things in the stimulation sense , like blindness , or are hearing loss or other of that nature . 
EDL	00:03:14,808	00:03:23,187	| VfD E11 The Thin-Air Specialist |	I didn't went to send the international laboratories , which things a little bit of michigan I was designing circuit in their faces for members . 
EDL	00:03:23,187	00:03:30,284	| VfD E11 The Thin-Air Specialist |	And sandy , I started exactly designing the max components and let the team of people designing and employment in those . 
EDL	00:03:30,284	00:03:33,729	| VfD E11 The Thin-Air Specialist |	Primarily , we were working on small acoustic devices . 
EDL	00:03:33,729	00:03:40,420	| VfD E11 The Thin-Air Specialist |	So you may not know that in your phone and all of signal is immediately converted into an acoustics of. 
EDL	00:03:40,420	00:03:43,015	| VfD E11 The Thin-Air Specialist |	And I arrived by our female radio frequencies. 
EDL	00:03:43,015	00:03:59,330	| VfD E11 The Thin-Air Specialist |	Corrector , yeah , yeah , I mean , radio frequency , the radio frequency signal , which has a really long way of linked this converted into a acoustic signal , which has very small wavelength , which allows third in a small form factor before it's create , turned back into an electrical signal . 
EDL	00:03:59,330	00:04:15,610	| VfD E11 The Thin-Air Specialist |	Uh , my joy was working on technologies that do that function , but more for department of defense applications , rather than the elephant , also worked on other things that really at the interface of the vibrational systems and acoustic systems and electronic systems and. 
EDL	00:04:15,610	00:04:17,960	| VfD E11 The Thin-Air Specialist |	All right , and then what was the pathway from sandy? 
EDL	00:04:18,310	00:04:24,610	| VfD E11 The Thin-Air Specialist |	Two drop , I was a performer doing a lot of the research on those small acoustic violence components . 
EDL	00:04:24,610	00:04:30,270	| VfD E11 The Thin-Air Specialist |	Bill chapel , the current director of microsystem technology office , was my program manager . 
EDL	00:04:30,270	00:04:37,640	| VfD E11 The Thin-Air Specialist |	And so when he was promoted , he called me out of the blue one day , I think that was in march of the twenty fourteen . 
EDL	00:04:37,640	00:04:39,980	| VfD E11 The Thin-Air Specialist |	Instead , he tried , this is built chapel . 
EDL	00:04:40,780	00:04:43,140	| VfD E11 The Thin-Air Specialist |	How would you like to come the dark , but be a program manager ? 
EDL	00:04:43,140	00:04:44,320	| VfD E11 The Thin-Air Specialist |	I think you be great at it . 
EDL	00:04:44,320	00:04:49,060	| VfD E11 The Thin-Air Specialist |	And I shared north , as was the bodies that was kind of a strange conversation . 
EDL	00:04:49,060	00:04:53,080	| VfD E11 The Thin-Air Specialist |	I said , yeah , that that sounds like a great opportunity . 
EDL	00:04:53,080	00:04:54,560	| VfD E11 The Thin-Air Specialist |	Can I call you back at a few minutes? 
EDL	00:04:55,660	00:05:00,030	| VfD E11 The Thin-Air Specialist |	And is that that all all it took a few , just a few minutes , and then you know what your. 
