EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,580	00:00:32,772	| VfD E12 The Neobiologist |	Stuff technology , the internet , GPS in the palm of your hand on tournament operation technology is a driver of our times since its founding and nineteen fifty eight , in the midst of the cold war , durban , the defence advanced research projects agency has been a driver of technology . 
EDL	00:00:32,772	00:00:41,840	| VfD E12 The Neobiologist |	Welcome to Voices from darker a window on toddler's core of program managers , their job to redefine what is possible . 
EDL	00:00:41,840	00:00:45,125	| VfD E12 The Neobiologist |	My name is iphone a motto on your dark host today . 
EDL	00:00:45,125	00:00:47,942	| VfD E12 The Neobiologist |	I am pleased to have with me in the studio . 
EDL	00:00:47,942	00:00:53,810	| VfD E12 The Neobiologist |	Justin gallery , a program manager since twenty fourteen in dark is biological technology . 
EDL	00:00:54,130	00:01:28,540	| VfD E12 The Neobiologist |	Justin , on the bachelor of science degree in chemistry at the university of illinois , urbana champagne and aged in chemistry from kale tech for fourteen years prior to arriving at dark , he was a professor in the chemistry department at emory university and inland georgia there , he LED a research program in synthetic biology , which is all about uncovering the rules and genetic programs by which sales behavior upgrade and to learn how to manipulate those rules and programs so that bacterial , fungal plant , animal cells can make drugs , fuels , coatings and other useful molecules . 
EDL	00:01:28,540	00:01:40,120	| VfD E12 The Neobiologist |	Materials at DARPA , government continues to be driven by some of natures own most or dishes , biological feeds , such as the growth of a great soccer redwood tree from a seat . 
EDL	00:01:40,120	00:01:57,256	| VfD E12 The Neobiologist |	What if it were possible to leverage biologist own evolutionary home powers of chemical growth , cellphone organization , self healing and reproduction in the context of our build landscape of buildings , road vehicles and other constructions . 
EDL	00:01:57,256	00:01:59,237	| VfD E12 The Neobiologist |	That is the first question . 
EDL	00:01:59,237	00:02:02,751	| VfD E12 The Neobiologist |	Just asking johnson , thanks for joining me in the studio today . 
EDL	00:02:02,751	00:02:03,930	| VfD E12 The Neobiologist |	Glad to hear everyone . 
EDL	00:02:03,930	00:02:11,790	| VfD E12 The Neobiologist |	Let's start by talking about your background and how you became interested in science in general and in chemistry and a synthetic biology in. 
EDL	00:02:11,790	00:02:13,171	| VfD E12 The Neobiologist |	I actually started out . 
EDL	00:02:13,171	00:02:14,947	| VfD E12 The Neobiologist |	It was very interesting physics . 
EDL	00:02:14,947	00:02:24,418	| VfD E12 The Neobiologist |	I was inspired by a people like richard firemen , and he told these wonderful stories seem like an incredibly interesting guy , sexual , one of the things that promise a cow tag . 
EDL	00:02:24,418	00:02:30,533	| VfD E12 The Neobiologist |	I thought , you know , if this character could do such a great scientist was placed that I wanted to be . 
EDL	00:02:30,533	00:02:37,930	| VfD E12 The Neobiologist |	I quickly realized after about a week in college that I was not going to be a physicist whenever the less I like . 
EDL	00:02:37,930	00:02:40,940	| VfD E12 The Neobiologist |	So chemistry seems like a good option . 
EDL	00:02:40,940	00:02:49,090	| VfD E12 The Neobiologist |	And I always like the idea in chemistry of the ability to create things didn't exist before it is core chemistry as an analytical size . 
EDL	00:02:49,090	00:02:55,369	| VfD E12 The Neobiologist |	We understand the world around us by studying browser is a synthetic site , which means creating new opportunities . 
EDL	00:02:55,369	00:02:57,300	| VfD E12 The Neobiologist |	And that was something I was really wrong . 
EDL	00:02:58,050	00:03:07,127	| VfD E12 The Neobiologist |	Interestingly enough , I sort of put off biology , my biological education that is formally pretty much handed in the night grade . 
EDL	00:03:07,127	00:03:22,350	| VfD E12 The Neobiologist |	But it's time when , on , during a graduate school in post dog , I went from this time where the word DNA and a architect owners do not attend to appoint where I really start to respect the remarkable chemistry that biology does . 
EDL	00:03:22,350	00:03:28,774	| VfD E12 The Neobiologist |	I ultimately concluded that no matter how good of chemist I was that biology do better . 
EDL	00:03:28,774	00:03:37,073	| VfD E12 The Neobiologist |	So asked the question , okay , well , can we harness the power of biological systems to essentially do our beating for us ? 
EDL	00:03:37,073	00:03:47,490	| VfD E12 The Neobiologist |	So how can I reprogram a system that wants to do with one thing and get to the thing that I wanted to do , and that let me into the serious antarctic biology . 
EDL	00:03:47,490	00:03:53,987	| VfD E12 The Neobiologist |	So we were interested in taking advantage of some of the properties that bacteria , simple microbes could do . 
EDL	00:03:53,987	00:03:55,905	| VfD E12 The Neobiologist |	They are really to make stuff . 
EDL	00:03:55,905	00:03:57,822	| VfD E12 The Neobiologist |	They are really to send stuff . 
