EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,550	00:00:17,760	| VfD E22 The Chemquistador |	Self technology , the internet , GPS in the palm of your hand , are tonight operation. 
EDL	00:00:19,850	00:00:31,220	| VfD E22 The Chemquistador |	Technology is a driver of our times since its founding a nineteen fifty eight , in the midst of the cold war , double the defence advanced research projects , say , has been a driver of technology . 
EDL	00:00:31,840	00:00:40,560	| VfD E22 The Chemquistador |	Welcome to Voices from darker a window on the dark of the core of program managers , their job to redefine what is possible . 
EDL	00:00:41,230	00:00:42,200	| VfD E22 The Chemquistador |	My name is ivan . 
EDL	00:00:42,200	00:00:53,289	| VfD E22 The Chemquistador |	A motto , went on your dog by host , and today , and please have with me in the studio , doctor and fisher , a program manager since twenty , in the agencies defense sciences office . 
EDL	00:00:53,289	00:01:29,491	| VfD E22 The Chemquistador |	That's where she had her fellow program managers PM , as they were known in house foreign , deeply into the fundamental chemistry , physics , optics , materials and other disciplines in search of new scientific engineering foundations for technologies that can matter for national and is making her market darker as one of the few chemists in the agency after receiving her PHDMchemistry from michigan state university with a catalyst project that relied on electrically conductive government , she did a couple of research stands at the neighbourhood research laboratory , which is the navy's broad based corporate laboratory . 
EDL	00:01:29,491	00:01:37,933	| VfD E22 The Chemquistador |	She also got her feet weight in technology world as a at the american association for the advancement of science , publisher of science magazine . 
EDL	00:01:37,933	00:01:58,480	| VfD E22 The Chemquistador |	Then in two thousand and nine , she began with continues to be her partnership with dark first as a contract scientists , and since early as a dark program manager , when a purpose accomplishments inspired by her own successful journey to become a woman scientist and a male dominated profession , she created a growth girl , chemistry . 
EDL	00:01:58,480	00:02:03,760	| VfD E22 The Chemquistador |	We took out of getting more growth interested in the molecular wonders of the world , darker . 
EDL	00:02:03,760	00:02:05,660	| VfD E22 The Chemquistador |	And fisher , welcome to the studio . 
EDL	00:02:05,660	00:02:06,420	| VfD E22 The Chemquistador |	That's great to be here . 
EDL	00:02:06,420	00:02:07,320	| VfD E22 The Chemquistador |	Thank you . 
EDL	00:02:07,320	00:02:15,622	| VfD E22 The Chemquistador |	So before we talk about your sizable portfolio of dark programs with names like make it and molecular informatics . 
EDL	00:02:15,622	00:02:19,785	| VfD E22 The Chemquistador |	And this one spectrum comes from ultra violet to terror . 
EDL	00:02:19,785	00:02:20,306	| VfD E22 The Chemquistador |	hurts . 
EDL	00:02:20,306	00:02:33,180	| VfD E22 The Chemquistador |	You've got to tell me how your interest in chemistry is , because if you will know most people , men or women vote with panic , the incident , you say something like the period of table chemical elements. 
EDL	00:02:33,650	00:02:46,189	| VfD E22 The Chemquistador |	Yeah , so , so that actually goes back to elementary school , sitting down at the kitchen table in my house growing up , and my parents bought chemistry , said that things I don't think you could probably buy today . 
EDL	00:02:46,189	00:02:48,261	| VfD E22 The Chemquistador |	They wouldn't be in the store today . 
EDL	00:02:48,261	00:02:59,391	| VfD E22 The Chemquistador |	It literally had a wreck on it with all sorts of different chemical , very dangerous chemicals that are probably only one of them what they were , and it had experiments and from an early age of very dangerous . 
