EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,770	00:00:17,770	| VfD E23 Joe Spectrum |	Soft technology , the internet , GPS in the column of your hand on tuesday morning
EDL	00:00:20,530	00:00:32,110	| VfD E23 Joe Spectrum |	Technology is a driver of our times since its founding a nineteen fifty eight , in the midst of the cold war , doubt the defense advanced research projects has been a driver of technology
EDL	00:00:32,700	00:00:41,180	| VfD E23 Joe Spectrum |	Welcome to Voices from dirt , a window onto dark as core of program managers , their job to redefine what is possible
EDL	00:00:41,180	00:00:44,120	| VfD E23 Joe Spectrum |	My name is ivan , a motel on your dark host today
EDL	00:00:44,120	00:01:03,478	| VfD E23 Joe Spectrum |	And please help with me in the sudden doctor , joseph evans , a program manager since twenty fifteen in the agencies , strategic technology offers , that's the office , which focuses on mixing and matching component technologies into networks of cable abilities that can adapt to all kinds of battlefield threats
EDL	00:01:03,478	00:01:12,560	| VfD E23 Joe Spectrum |	And I can voice surprise on adversaries to currently on leave from the university of cancer learns where he is a professional engineering computer signs
EDL	00:01:12,560	00:01:34,050	| VfD E23 Joe Spectrum |	Joe brings to double interests in advance networking and communications technologies , especially as they supply to large scale wire with communications and data links in every more network battle space in everyday living spaces in the private sector , zhou co founded net games , us a and network gaming company acquired by microsoft in two thousand
EDL	00:01:34,050	00:01:43,041	| VfD E23 Joe Spectrum |	He also was a partner and chief scientist that the company assent intelligence , which developed the tactical ground reporting system for darker in the USarmy
EDL	00:01:43,041	00:01:49,080	| VfD E23 Joe Spectrum |	This system was widely deployed in a recent afghanistan to help war fighters with situation awareness
EDL	00:01:49,080	00:02:07,370	| VfD E23 Joe Spectrum |	Zhou is personally unassigned in these conflicts to help refine the system , in addition to many other professional involvements , zhou flies planes skipper's bronze and placed guitar , including many years ago in a band called nasty a british and short , dark joe
EDL	00:02:07,370	00:02:09,830	| VfD E23 Joe Spectrum |	Events will continue to thank you
EDL	00:02:09,830	00:02:30,796	| VfD E23 Joe Spectrum |	Thank before we talk about some of the programs we run with names like geospatial , cloud analytics , shared spectrum access for radar and communications and secure handles are assured , resilient networks at the technical and no more , mercifully , by the acronym share , I would like to know something about where your interest come from
EDL	00:02:30,796	00:02:42,290	| VfD E23 Joe Spectrum |	How did you get interested in science and electrical engineering and the electronic magnetic spectrum , which has a , because your portfolio seems to provide the domestic background of. 
EDL	00:02:42,760	00:02:46,112	| VfD E23 Joe Spectrum |	Manufacturers may be a rhetoric
EDL	00:02:46,112	00:02:53,628	| VfD E23 Joe Spectrum |	Both granddaughters were like going , and I saw my father , they were involved in various links
EDL	00:02:53,628	00:03:08,118	| VfD E23 Joe Spectrum |	My mock prevailed , my mother's eyebrows involved in large coalition nearing for especially david and no , did smart for three or other agencies back when you couldn't say the names of those agencies
EDL	00:03:08,118	00:03:18,260	| VfD E23 Joe Spectrum |	And the nursery treatment is exactly the and and then on my other side , he was involved in early broadcasting back in the nineteen twenties. 
EDL	00:03:18,630	00:03:21,765	| VfD E23 Joe Spectrum |	When that's what radio is really a new in becoming a household. 
EDL	00:03:21,765	00:03:32,409	| VfD E23 Joe Spectrum |	The point exactly , and so oh me , others have been the slaughter , longstanding interest in radio , radio frequency engineering background
EDL	00:03:32,409	00:03:46,845	| VfD E23 Joe Spectrum |	And then we have failed to then exposed to a science fiction star track and things like that in the one thousand nine hundred and sixty , I remember asking my father , and I could remain at something like the communicator in the garage
EDL	00:03:46,845	00:03:49,145	| VfD E23 Joe Spectrum |	No , well , no , that's like too far out there
EDL	00:03:49,145	00:03:51,236	| VfD E23 Joe Spectrum |	You can get the components of all that
EDL	00:03:51,236	00:03:52,490	| VfD E23 Joe Spectrum |	There are that small
EDL	00:03:52,490	00:04:00,000	| VfD E23 Joe Spectrum |	And and I felt forward to the ninety nine years , and suddenly you have a football , and that looks like a starter communicator
EDL	00:04:00,000	00:04:07,982	| VfD E23 Joe Spectrum |	This longstanding interest in those types of wireless communication types of topics , and it's been wonderful to watch through my career
EDL	00:04:07,982	00:04:15,110	| VfD E23 Joe Spectrum |	Hello technologies , really , of all of the point where you can do some of these things that seem the worst inspection of. 
EDL	00:04:15,760	00:04:25,750	| VfD E23 Joe Spectrum |	Yeah yes , even as a kid , you are really immersed , not just knowing about radio , hearing it using it , but knowing something about it , I wanted
EDL	00:04:25,750	00:04:35,210	| VfD E23 Joe Spectrum |	So what I would love for you to do if you can talk a little bit about the electronic magnetic spectrum , i've always found it to be a kind of miraculous thing
EDL	00:04:35,210	00:04:37,380	| VfD E23 Joe Spectrum |	Right , I mean , it's invisible
EDL	00:04:37,380	00:04:43,380	| VfD E23 Joe Spectrum |	We have no sense of it directly , and yet we can use our cell phones
EDL	00:04:43,380	00:04:44,960	| VfD E23 Joe Spectrum |	We turn the radio on
EDL	00:04:44,960	00:04:46,870	| VfD E23 Joe Spectrum |	All of the stuff is going on there
EDL	00:04:46,870	00:04:51,520	| VfD E23 Joe Spectrum |	So when you think of the electric magnetic section , what is in? 
EDL	00:04:51,830	00:04:56,680	| VfD E23 Joe Spectrum |	I think of it really as a as a shared resource like the air
EDL	00:04:56,680	00:05:01,810	| VfD E23 Joe Spectrum |	If you move up with that way near the ability to communicator this medium
EDL	00:05:01,810	00:05:12,200	| VfD E23 Joe Spectrum |	And obviously , there is one of technology behind the year how you did build the art of devices and answer for gradual frequency
EDL	00:05:12,200	00:05:20,480	| VfD E23 Joe Spectrum |	Really , in the end , it is a shared resource that we can use for various things like communications
EDL	00:05:20,480	00:05:29,417	| VfD E23 Joe Spectrum |	Radio for sensing raids are so those types of things and is something that I think is the technology is evolved
EDL	00:05:29,417	00:05:36,420	| VfD E23 Joe Spectrum |	We can be more sophisticated about how we use that , that shared resource of nearly half spectrum
EDL	00:05:36,420	00:05:42,780	| VfD E23 Joe Spectrum |	I will say it is pretty serious , but it is one of those things that we have
EDL	00:05:42,780	00:05:50,210	| VfD E23 Joe Spectrum |	You kind of have to visualize how the sharing is going on in the smaller dimension in order to make use of it more , more. 
EDL	00:05:50,210	00:05:57,913	| VfD E23 Joe Spectrum |	But smart limb well actually gives me a good excuse to to start in on some of your programs , including one called the events of mapping program
EDL	00:05:57,913	00:06:00,236	| VfD E23 Joe Spectrum |	Because in some ways , the technology is the seek
EDL	00:06:00,236	00:06:08,283	| VfD E23 Joe Spectrum |	There is trying to make the invisible visible , trying to make what's going on an electron magnetic spectrum visible
EDL	00:06:08,283	00:06:10,650	| VfD E23 Joe Spectrum |	So can you talk to me a little bit
EDL	00:06:10,650	00:06:15,508	| VfD E23 Joe Spectrum |	This program , which is at the toilet and writing , transitioning even to the raincoat
EDL	00:06:15,508	00:06:22,320	| VfD E23 Joe Spectrum |	That's what this is a nice example when you can sort of talk about the original idea of the idea it started snow on
EDL	00:06:22,320	00:06:25,000	| VfD E23 Joe Spectrum |	And what you think is going to do for our military capabilities. 
EDL	00:06:25,580	00:06:39,260	| VfD E23 Joe Spectrum |	A van star of mapping is really known by the name radio map that sets the shortage , and we use the program until the radio map program is really trying to provide that basic spectrum situation awareness
EDL	00:06:39,260	00:06:45,420	| VfD E23 Joe Spectrum |	What's happening in the spectrum , as he says , it's visible , and what we make it visible
EDL	00:06:45,420	00:06:56,466	| VfD E23 Joe Spectrum |	Computer visualization tools and so um is a mix of sensing what's out there is a turning existing radios , things like that into RFsensor
EDL	00:06:56,466	00:07:01,418	| VfD E23 Joe Spectrum |	So you can see what essentially see what it's going on in the spectrum
EDL	00:07:01,418	00:07:04,290	| VfD E23 Joe Spectrum |	You can sample what's going on in this pattern
EDL	00:07:04,290	00:07:22,263	| VfD E23 Joe Spectrum |	You bring that back over a tactical networks , in our case , that the more inquiry is using , but you bring those back to percentage of pcs and give up up , and you run some elderly themselves on it and generate visualization of what's happening in the industrial man in a given area , in a given area
EDL	00:07:22,263	00:07:32,230	| VfD E23 Joe Spectrum |	And so if you might , a military unit is operating in a particular area , there , generally , many of those marines results have radios
EDL	00:07:32,230	00:07:50,152	| VfD E23 Joe Spectrum |	You use those radios as your sensors you bring back , no , all the measurements and from that area to that location , we can run the algorithms and generate what looks like a heat map , a colored visualization of what happened in natural graphic area in the spectrum
EDL	00:07:50,152	00:08:17,540	| VfD E23 Joe Spectrum |	The map shows you how much energy is there by the color of the of the map , kind of the way that you want with signals are in a particular frequency of health room with , if you think of like the weather radar that you see , you know , in the evening news , that type of visualization is the way you look at the spectrum , and you can see here , essentially , what's already eating hot in your area , and that maybe of interesting , maybe curious about what bad is
EDL	00:08:17,850	00:08:23,120	| VfD E23 Joe Spectrum |	Um , so we can , we have a display that shows how kind of here is what happening over all the spectrum
EDL	00:08:23,120	00:08:35,240	| VfD E23 Joe Spectrum |	And then we have a display that shows you okay at this particular frequency of this particular part of the spokeswoman says the frequencies where the wifi networks , you can see where the hot spots are
EDL	00:08:35,240	00:08:40,425	| VfD E23 Joe Spectrum |	You can see healthier radiating away from their their basket. 
EDL	00:08:40,425	00:08:53,457	| VfD E23 Joe Spectrum |	And you can you go just as sentences a new kind of situation where in this rate , and I can look around and see if there , maybe there are adversaries , I can see a kind of administrative assets that we have an adversary might have
EDL	00:08:53,457	00:08:57,588	| VfD E23 Joe Spectrum |	This has always been sort of invisible , sort of innocent of phenomenon
EDL	00:08:57,588	00:09:01,690	| VfD E23 Joe Spectrum |	So as a war fighter , if I know this now , how can I put that information use? 
EDL	00:09:01,690	00:09:10,131	| VfD E23 Joe Spectrum |	So so as a war fighter , it is very valuable because you can start to identify maybe signals that you did not expect to be there
EDL	00:09:10,131	00:09:19,180	| VfD E23 Joe Spectrum |	So a particular example that we have from some wrinkle exercises landscape will simply really that they play with the radio map , but display
EDL	00:09:19,510	00:09:31,703	| VfD E23 Joe Spectrum |	And I saw something it was unusual , and it turned out of the sniper team that was out there , hiding and not visible otherwise , other than , or in there are of spectrum emissions that are using their radios
EDL	00:09:31,703	00:09:43,870	| VfD E23 Joe Spectrum |	So there are things like that that allow you to identify what's happening in the spectrum , and then you can decide if that's militarily important or or not , you may decide , well , let's not signal
EDL	00:09:43,870	00:09:54,040	| VfD E23 Joe Spectrum |	Maybe I should send somebody over to take a walk , things like things like that are possible , cross of action that you are present once you can finally see what's happening in the , in the art of spectral. 
EDL	00:09:54,040	00:10:06,534	| VfD E23 Joe Spectrum |	Why , in our way to your map is getting to what we think of here are doubt as as when the best finish line that a technology development program can get to , which is to say , you're gonna hand this off , in this case , right to the morning course
EDL	00:10:06,534	00:10:08,300	| VfD E23 Joe Spectrum |	What , what the next steps for that happen. 
EDL	00:10:08,300	00:10:16,081	| VfD E23 Joe Spectrum |	What we're doing with the rainfall is working with them on some of these various exercises and experiments in parallel
EDL	00:10:16,081	00:10:23,217	| VfD E23 Joe Spectrum |	The wrinkles been very followed , leaning in spectrum operations , essentially AEMspectrum operations
EDL	00:10:23,217	00:10:25,750	| VfD E23 Joe Spectrum |	They have been adding it to their doctor
EDL	00:10:25,750	00:10:35,012	| VfD E23 Joe Spectrum |	They have been looking at the techniques , procedures , how they might use the alternative spectrum in a war fighting sense
EDL	00:10:35,012	00:10:40,337	| VfD E23 Joe Spectrum |	And so they've been forward kind of some of these ideas of if they have the technology
EDL	00:10:40,337	00:10:53,450	| VfD E23 Joe Spectrum |	And so what we're doing , darkness , develop the technology , and we are transitioning it to the marines where they can then start to use in exercises first and then in the , in the forces we roll forward
EDL	00:10:53,450	00:10:55,680	| VfD E23 Joe Spectrum |	So they have in identify
EDL	00:10:55,680	00:11:03,690	| VfD E23 Joe Spectrum |	This is a key technology that will be inserted as a royal word in their budget planning and the program planning. 
EDL	00:11:04,040	00:11:07,620	| VfD E23 Joe Spectrum |	But let's talk about another program that this was not as far along
EDL	00:11:07,620	00:11:10,550	| VfD E23 Joe Spectrum |	It's not about to be the transitioned yet
EDL	00:11:10,550	00:11:13,540	| VfD E23 Joe Spectrum |	This one goes by an acronym spark
EDL	00:11:13,540	00:11:22,150	| VfD E23 Joe Spectrum |	There was two s in the front of that SSPARCthat stands for shared spectrum , access for radar and communication
EDL	00:11:22,450	00:11:37,080	| VfD E23 Joe Spectrum |	This does relate to what we were just talking about , specially in the sense of where there was a very busy electronic magnetic spectrum , which is to say where all people and devices wanna kind of have access to that
EDL	00:11:37,400	00:11:45,170	| VfD E23 Joe Spectrum |	So there you exploring something called spectrum sharing , and maybe we can talk about concept and why that's becoming ever more important. 
EDL	00:11:45,170	00:11:50,535	| VfD E23 Joe Spectrum |	So one of the issues with spectrum is that it is very heavily used
