EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,780	00:00:17,760	| VfD E25 New Molecular Tactics for Pandemic Times |	Stealth technology , the internet , GPS in the palm of your hand , are tonight with operation. 
EDL	00:00:21,370	00:00:40,610	| VfD E25 New Molecular Tactics for Pandemic Times |	Technology is a driver of our times since its founding a nineteen fifty eight , in the midst of the cold war , doubt the defence advanced research projects agency has been a driver of welcome to Voices from the dark , a window , and the dark is core of program managers , their job to redefine what is possible
EDL	00:00:41,000	00:00:43,970	| VfD E25 New Molecular Tactics for Pandemic Times |	My name is iphone motto on your dog , a host
EDL	00:00:43,970	00:00:44,240	| VfD E25 New Molecular Tactics for Pandemic Times |	today
EDL	00:00:44,240	00:00:47,170	| VfD E25 New Molecular Tactics for Pandemic Times |	I am excited to have with me for a billion uncle appears
EDL	00:00:47,520	00:00:53,580	| VfD E25 New Molecular Tactics for Pandemic Times |	Doctor and fisher , a program manager , since twenty seventeen in the agencies defense sciences office
EDL	00:00:53,580	00:01:14,394	| VfD E25 New Molecular Tactics for Pandemic Times |	I talk with him back in twenty eighteen in a previous Voices from global partner , and and I are recording our conversation from our respective homes as we do our part to slow the spread of cold , with one thousand nine hundred and the pandemic disease caused by the new coronal virus , sars , kobe , too , my heart goes out to all of those in the US, and around the world were doing all kinds of rebels
EDL	00:01:14,394	00:01:17,279	| VfD E25 New Molecular Tactics for Pandemic Times |	Losses , stresses and anxieties due to the pandemic
EDL	00:01:17,279	00:01:32,740	| VfD E25 New Molecular Tactics for Pandemic Times |	Please note that because we are recording outside the studio setting , and on a particular whole new day , you might hear win noises , other ambient sounds , and fisher is a chemist by training with professional experiences that have taken her to the neighborhood research laboratory
EDL	00:01:32,740	00:01:56,520	| VfD E25 New Molecular Tactics for Pandemic Times |	The navy's corporate laboratory , which is just a few years away from its sentences celebration , a benefit of american association for the advancement of science , where she was a science and policy fellow , proud to becoming a dark a program manager in the defense of his , she had been a senior advisor for d so well at the consulting from strategic and and thanks for joining me for the podcast for a second time , it's good to be here
EDL	00:01:56,520	00:01:56,710	| VfD E25 New Molecular Tactics for Pandemic Times |	I am
EDL	00:01:56,710	00:01:57,170	| VfD E25 New Molecular Tactics for Pandemic Times |	Thank you
EDL	00:01:57,650	00:02:06,246	| VfD E25 New Molecular Tactics for Pandemic Times |	In this pad case , I want to focus on the part for you that you have been able to sword into our scientific and technological responses to the coordinate team pandemic
EDL	00:02:06,246	00:02:11,493	| VfD E25 New Molecular Tactics for Pandemic Times |	These programs include your accelerated molecular discovery program , and then make it programme
EDL	00:02:11,493	00:02:23,200	| VfD E25 New Molecular Tactics for Pandemic Times |	And that would stand a chance of circumference of supply chain bono's abilities by enabling low cost fabrication of many important molecules in chemical ingredients that are anywhere , anytime and affordably
EDL	00:02:23,200	00:02:27,013	| VfD E25 New Molecular Tactics for Pandemic Times |	So look for to learn more about where you have been taking that program
EDL	00:02:27,013	00:02:31,183	| VfD E25 New Molecular Tactics for Pandemic Times |	But let's start with AMD , the accelerate delegator discovery program
EDL	00:02:31,183	00:02:32,500	| VfD E25 New Molecular Tactics for Pandemic Times |	What is the goal of it
