EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,660	00:00:31,450	| VfD E26 The Eclectic Biotechnician |	Stealth technology, the internet, GPS in the column of your hand alternatives operation technology is a driver of our times since its founding in one thousand nine hundred and fifty eight, in the midst of the cold war, DARPA, that offends research projects has been a driver of technology
EDL	00:00:31,450	00:00:39,770	| VfD E26 The Eclectic Biotechnician |	Welcome to Voices from DARPA, a window onto dark as core of program managers, their job to redefine what is possible
EDL	00:00:39,770	00:00:44,010	| VfD E26 The Eclectic Biotechnician |	My name is ivan a motto, and on your dark host today, and please help with me
EDL	00:00:44,010	00:00:56,520	| VfD E26 The Eclectic Biotechnician |	Doctor erick, medicine, a program manager since twenty seventeen in the agency's biological technology, we are recording our conversation from our respective homes as we do our part to slow the spread of copyright team
EDL	00:00:56,520	00:00:59,211	| VfD E26 The Eclectic Biotechnician |	The pandemic disease caused by the new crowd bars
EDL	00:00:59,211	00:01:00,000	| VfD E26 The Eclectic Biotechnician |	Sars could be
EDL	00:01:00,000	00:01:13,960	| VfD E26 The Eclectic Biotechnician |	This is pakistan and pandemic times, iraq by a medical engineering by training, is among the number of program managers at drug were trying to accelerate technology development already underway to help out the current pandemic crisis
EDL	00:01:13,960	00:01:19,032	| VfD E26 The Eclectic Biotechnician |	The portfolio of his programs covers a broad swar for technologies and capabilities
EDL	00:01:19,032	00:01:23,292	| VfD E26 The Eclectic Biotechnician |	Much of this workers about minimizing the impacts of emerging disease threats
EDL	00:01:23,292	00:01:24,510	| VfD E26 The Eclectic Biotechnician |	It's what eric has been doing
EDL	00:01:24,510	00:01:25,101	| VfD E26 The Eclectic Biotechnician |	He is cool
EDL	00:01:25,101	00:01:27,864	| VfD E26 The Eclectic Biotechnician |	Europe, thanks for joining me screwing to be here
EDL	00:01:27,864	00:01:29,245	| VfD E26 The Eclectic Biotechnician |	Thank you for having me
EDL	00:01:29,245	00:01:40,568	| VfD E26 The Eclectic Biotechnician |	So before we talk about your size of the world for the opera programs with names like electrical, prescription epidemic, characterization and observation, or echo ego and personalized protective biosystems
EDL	00:01:40,568	00:01:45,224	| VfD E26 The Eclectic Biotechnician |	I'd like to know something about the origins of your interest in biomedical engineering
EDL	00:01:45,224	00:01:46,900	| VfD E26 The Eclectic Biotechnician |	And what like you in that direction. 
EDL	00:01:46,900	00:01:55,320	| VfD E26 The Eclectic Biotechnician |	As I have progressed in my career, but more, more focused, developing technologies and applications that can solve real problems, like the one were facing today. 
EDL	00:01:55,320	00:02:02,160	| VfD E26 The Eclectic Biotechnician |	Write in some president of this interest in your drive to solve problems that really catch my interest
EDL	00:02:02,160	00:02:03,230	| VfD E26 The Eclectic Biotechnician |	I just wanted to bring up one of them
EDL	00:02:03,230	00:02:08,310	| VfD E26 The Eclectic Biotechnician |	I wanted to hear a little bit of the story of the containerization of bio containment system
EDL	00:02:08,310	00:02:12,840	| VfD E26 The Eclectic Biotechnician |	This one hundred award from originally magazine, back in twenty sixteen
EDL	00:02:12,840	00:02:13,753	| VfD E26 The Eclectic Biotechnician |	I believe it was
EDL	00:02:13,753	00:02:21,110	| VfD E26 The Eclectic Biotechnician |	Can you tell me a little something about that work because it seems to share some of the themes that map onto the programs you are running for now. 
EDL	00:02:21,110	00:02:25,510	| VfD E26 The Eclectic Biotechnician |	Yeah, thanks for asking that question that I really was excited about that project
EDL	00:02:25,510	00:02:33,930	| VfD E26 The Eclectic Biotechnician |	It was probably one of the most fascinating and in most challenging engineering efforts that i've ever been a part of, and I was proud to be part of
EDL	00:02:33,930	00:02:38,396	| VfD E26 The Eclectic Biotechnician |	It came about when the ebola outbreak began in an early twenty fourteen
EDL	00:02:38,396	00:02:47,970	| VfD E26 The Eclectic Biotechnician |	And as we watched the unfold, and in very similarly, a chemically waves kind of like we expect to see cover, and I think we saw that there is going to be a problem
EDL	00:02:47,970	00:02:58,760	| VfD E26 The Eclectic Biotechnician |	Had aid workers in africa who needed to come back to the us, or who needed to be transported to other medical facilities because of the fact there was limited capacity in africa itself
EDL	00:02:58,760	00:03:11,050	| VfD E26 The Eclectic Biotechnician |	Doctor will waters head of operational medicine at the state department contacted me and said, he, can you build a transport system that can fit into a commercial or a military aircraft and the engineering team
EDL	00:03:11,050	00:03:17,410	| VfD E26 The Eclectic Biotechnician |	And I set out to do that will waters, and I literally draw the design of the CBCSon the back of an afghan
EDL	00:03:17,720	00:03:25,460	| VfD E26 The Eclectic Biotechnician |	And then we gave that to the engineering team, and I work with that engineer team nineteen day, and in about thirty days, we had the first prototype built
EDL	00:03:25,460	00:03:33,120	| VfD E26 The Eclectic Biotechnician |	And now that system is in the covering nineteen response at maximum capacity, I believe there are four systems out there
EDL	00:03:33,120	00:03:37,096	| VfD E26 The Eclectic Biotechnician |	I just heard from the military site that they're gonna, be bringing it more
EDL	00:03:37,096	00:03:46,200	| VfD E26 The Eclectic Biotechnician |	So it's really satisfying to see something that you put your heart and soul and to come out many people and so that I hope that we have more stories like that while we get our short time here, dark. 
EDL	00:03:46,640	00:03:47,406	| VfD E26 The Eclectic Biotechnician |	Right, indeed
EDL	00:03:47,406	00:03:53,349	| VfD E26 The Eclectic Biotechnician |	Indeed, when you said CBCSthat was at the acquaintance for containerization by our containment system
EDL	00:03:53,349	00:03:57,810	| VfD E26 The Eclectic Biotechnician |	So that is very cool, must feel very rewarding to work is now in a kind of getting deployed
EDL	00:03:57,810	00:04:02,090	| VfD E26 The Eclectic Biotechnician |	So I also always love to know kind of the, how did I get the dark story
EDL	00:04:02,090	00:04:05,360	| VfD E26 The Eclectic Biotechnician |	Somehow, you met somebody you heard about, you know, opening a dark
EDL	00:04:05,360	00:04:07,170	| VfD E26 The Eclectic Biotechnician |	How is it that you actually got yourself a dark? 
EDL	00:04:07,770	00:04:14,760	| VfD E26 The Eclectic Biotechnician |	Well, actually, that goes all the way back to the late eighties for me, when I was in middle school, I would write my over two
EDL	00:04:14,760	00:04:24,730	| VfD E26 The Eclectic Biotechnician |	The library influenced her to crash marshall high school in northern virginia, and I was going there, and I republican recognizing and started reading stories about dark
EDL	00:04:24,730	00:04:38,020	| VfD E26 The Eclectic Biotechnician |	That was when we were starting to hear about some of the, the computer reading technologies and the networking technologies that were coming out of double as as part of the unveiling the internet, so that got me interested
EDL	00:04:38,020	00:04:51,029	| VfD E26 The Eclectic Biotechnician |	And then I did an internship at the navy research libertarian, early nights, working for someone who eventually became a program manager on rudolph, many of the technologies he developed actually, are now being realized as helpful
EDL	00:04:51,029	00:05:00,940	| VfD E26 The Eclectic Biotechnician |	And in prosthetics, germany started with his early work, and some of the diagnostics work, for example, that abbott ID now platform and the software platform started from his arms worker DARPA
EDL	00:05:00,940	00:05:16,250	| VfD E26 The Eclectic Biotechnician |	For me, I was seeing the potential and the vision that he had, even when I was at the navy research, libertarian manifested itself and the dark, and that got me very excited about the fact that, you know, you can have this burning research passion, and you think you can change the world
EDL	00:05:16,670	00:05:27,705	| VfD E26 The Eclectic Biotechnician |	And allen and others with him in his coward really inspired me to to realize that I could do that one day and waited until I not enough of a breath of experience in the, at the real world
EDL	00:05:27,705	00:05:39,260	| VfD E26 The Eclectic Biotechnician |	If you wear cotton, cotton industry and in research institutions before I felt like I was ready to come to dark, but now I think about the right point, my area, and I am thinking that it's possible to start making a difference here
EDL	00:05:39,730	00:05:41,230	| VfD E26 The Eclectic Biotechnician |	And i've had a really good time so far
EDL	00:05:41,230	00:05:42,160	| VfD E26 The Eclectic Biotechnician |	So it takes. 
EDL	00:05:42,160	00:05:46,790	| VfD E26 The Eclectic Biotechnician |	Going out another report, how you became a biomedical engineer and how you ended up the dark
EDL	00:05:46,790	00:05:50,200	| VfD E26 The Eclectic Biotechnician |	Let's kind of move on and talk about the programs that you have
EDL	00:05:50,200	00:05:58,540	| VfD E26 The Eclectic Biotechnician |	You mean some of them are inherited, and some of them might believe that you, you device and have gotten through the very difficult wedding process to get the approval to move forward
EDL	00:05:58,860	00:06:01,456	| VfD E26 The Eclectic Biotechnician |	They also seemed to have a kind of some themes to them
EDL	00:06:01,456	00:06:09,467	| VfD E26 The Eclectic Biotechnician |	So wonder if you can talk about the distributed driver, the things that you have most in mind, like what you most want to achieve with just your entire sweet of programs
EDL	00:06:09,467	00:06:12,015	| VfD E26 The Eclectic Biotechnician |	And they will talk more specifically about some of them
EDL	00:06:12,015	00:06:12,380	| VfD E26 The Eclectic Biotechnician |	And then. 
EDL	00:06:12,380	00:06:21,696	| VfD E26 The Eclectic Biotechnician |	It started actually way back when I started that the naval research separatory, you know, we were always having a hard time measuring the responses of the biological systems we are studying
EDL	00:06:21,696	00:06:37,800	| VfD E26 The Eclectic Biotechnician |	I was actually trying to how sales turned into blood vessels that happens in embryonic development and moon healing, and we really are still even to the state still unlocking the mysteries of how blood vessels form and how they adapt the stresses of life
EDL	00:06:38,240	00:06:42,120	| VfD E26 The Eclectic Biotechnician |	And one of the things that is really making it hard to understand
EDL	00:06:42,120	00:06:45,270	| VfD E26 The Eclectic Biotechnician |	That is the ability to measure at the soil level
EDL	00:06:45,270	00:06:46,330	| VfD E26 The Eclectic Biotechnician |	What is going on
EDL	00:06:46,330	00:07:06,840	| VfD E26 The Eclectic Biotechnician |	You know, there is this massive network of inner plane between proteins and other bio molecules in the cells, and we need to figure out ways to see that in real time, so that LED me to the formation of the two programs in my portfolio, one is the objective circulation and observation program, or echo and echo
EDL	00:07:06,840	00:07:11,400	| VfD E26 The Eclectic Biotechnician |	What we're doing is exactly what exploiting an entirely new landscape
EDL	00:07:11,400	00:07:13,707	| VfD E26 The Eclectic Biotechnician |	It's a landscape that people have shut away from
EDL	00:07:13,707	00:07:17,169	| VfD E26 The Eclectic Biotechnician |	We've known about the landscape, and that is the opportunity
