EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,580	00:00:17,730	| VfD E31 Science 2.0 |	Stuff technology , the internet , GPS in the column of your hand on tournament. 
EDL	00:00:20,590	00:00:42,987	| VfD E31 Science 2.0 |	Technology is a driver of our times since its founding in nineteen fifty eight , in the midst of the cold war , doubt the defence advanced research projects agency has been a driver of welcome to Voices from dark a window on the people behind darker signature mission to redefine what possible my name is iphone a motto , one of your doorpost . 
EDL	00:00:42,987	00:00:46,545	| VfD E31 Science 2.0 |	Today's podcast will be a little different from most of the others . 
EDL	00:00:46,545	00:00:49,510	| VfD E31 Science 2.0 |	You hear the voices program managers , as you usually do . 
EDL	00:00:49,510	00:00:57,030	| VfD E31 Science 2.0 |	But this episode will feature the senior district efforts of several programs that are opening a path way to what I am calling science . 
EDL	00:00:58,270	00:01:23,001	| VfD E31 Science 2.0 |	I am referring here to a turbo charged scientific enterprise that could accelerate the pace of scientific discovery and the development of technologies , knowledge and evidence based decision making and policy and other capabilities based on this new knowledge , perhaps heroic catalogue director of SONY computer sciences laboratories , articulated this notion most clearly and boldly . 
EDL	00:01:23,001	00:01:34,220	| VfD E31 Science 2.0 |	He suggested the research community should take on a grand to develop artificial intelligence systems that by twenty fifty will be making nobel caliber scientific discoveries . 
EDL	00:01:34,920	00:02:05,824	| VfD E31 Science 2.0 |	Scientists have been the primary engine of civilizations advance could have said , so AI tools that can accelerate scientific discovery in general could exert enormous leverage on many friends , important to anticipating the future cut on a rope in twenty sixteen to give a favourite robot he has in mind NIsystems that will make a succession of discoveries that have immediate medical implications , saving millions of lives and told changing the fate , the human race , just a note before proceeding . 
EDL	00:02:05,824	00:02:13,352	| VfD E31 Science 2.0 |	I recorded conversations with dark , appropriate managers joshua elliott , jiang , jiang jiabao from our respective home . 
EDL	00:02:13,352	00:02:17,420	| VfD E31 Science 2.0 |	So we all could do our parts to slow the spread of coffee . 
EDL	00:02:17,420	00:02:22,190	| VfD E31 Science 2.0 |	That's why you may hear some ambient household sounds like trucks and birds , even circuits . 
EDL	00:02:24,020	00:02:44,690	| VfD E31 Science 2.0 |	I wanted to start with judge with allied a program manager since twenty seventeen in the agencies , information innovation office , which has a long history in a research , joshua credits researchers evolving reliance on powerful computational tools and the creation and analysis of vast databases with accelerating the pace of science of discovery . 
EDL	00:02:45,230	00:03:04,530	| VfD E31 Science 2.0 |	He says the human machine alliance has gotten as closer to a vision of an early and now famous daughter , program manager jessie are legal letter who is credited with formulating the nineteen sixties , are lasting in guiding for how computers and human beings can become teammates in the quest for knowledge and to become more powerful and capable actors in the world. 
EDL	00:03:05,180	00:03:18,562	| VfD E31 Science 2.0 |	I guess I would argue that human machine symbols in science that has been that the primary driver is , how do we enable scientists through competition to be data through these things , actually discover more and bigger things faster . 
EDL	00:03:18,562	00:03:27,839	| VfD E31 Science 2.0 |	Of course , we've already seen human machines and buses dramatically improved in accelerate science over the last fifty years , but I think there's still a lot more to go . 
EDL	00:03:27,839	00:03:37,710	| VfD E31 Science 2.0 |	And that without the modern generation of the , I think that , you know , we can really take that to the the next level of the third of of the legal letter concept , the human emissions in the oceans. 
EDL	00:03:39,130	00:03:55,461	| VfD E31 Science 2.0 |	Judge was a program manager colleague ryan jail of the agency's defence scientist office is doing what she can to hate in the day when these symbolizes typified away science is done , consider her artificial intelligence research associate program , or era for short . 
EDL	00:03:55,461	00:04:00,030	| VfD E31 Science 2.0 |	We are talking here of developing an AI and artificial intelligence . 
EDL	00:04:00,030	00:04:08,690	| VfD E31 Science 2.0 |	It is competent enough to serve as a genuine scientific collaborator with a human scientist , such a human machine team would be a cornerstone of the science . 
EDL	00:04:08,690	00:04:11,850	| VfD E31 Science 2.0 |	To when I asked jessie as jane . 
EDL	00:04:11,850	00:04:14,760	| VfD E31 Science 2.0 |	And jail is most often about colleagues about that . 
EDL	00:04:15,160	00:04:15,990	| VfD E31 Science 2.0 |	I like the way she. 
EDL	00:04:16,890	00:04:30,880	| VfD E31 Science 2.0 |	Is it possible for us to develop air technologies that the court , by analyzing scientific data to figure out the fundamental governing laws of the nature ? 
EDL	00:04:30,880	00:04:44,830	| VfD E31 Science 2.0 |	So an example , yeah , so everybody probably remember that the newton , you know , by a sitting down under the tree watching the apple falling on the ground , he eventually figured out the law of gravity . 
EDL	00:04:45,210	00:04:57,390	| VfD E31 Science 2.0 |	And so the question is that it is possible for the EItechnologies to be developed to the point that they could also have this level of abstraction capabilities . 
EDL	00:04:57,390	00:05:10,150	| VfD E31 Science 2.0 |	So the airport is that a reservation to ask , what are the fundamental components that are needed in for the item orders to achieve this kind of scientific discovery? 
EDL	00:05:10,150	00:05:20,710	| VfD E31 Science 2.0 |	But jessie , like SONY researcher hero lucky catalogue , is not just talking about artificial intelligence that just week of petroleum by scientifically in client. 
