EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,870	00:00:31,390	| VfD E36 The Hypersonic Materialist |	Delta technology , the internet GPS in the car of your hand on the most occupation technologies , a driver of our times since its founding a one thousand nine hundred and fifty eight , in the midst of the cold war , the defence advanced research agency has been a driver of technology . 
EDL	00:00:31,940	00:00:38,820	| VfD E36 The Hypersonic Materialist |	Welcome to Voices from double a window on the dark as a core of program managers , their job to read the fine . 
EDL	00:00:38,820	00:00:40,940	| VfD E36 The Hypersonic Materialist |	What is possible , my name is iphone . 
EDL	00:00:40,940	00:00:43,090	| VfD E36 The Hypersonic Materialist |	A motel went on your dark host today . 
EDL	00:00:43,090	00:00:46,570	| VfD E36 The Hypersonic Materialist |	I am pleased to be talking with doctor william carter , a program manager . 
EDL	00:00:46,570	00:01:00,365	| VfD E36 The Hypersonic Materialist |	Since the agencies defense science office , we are recording our conversations from our respective homes as we do our parts to slow the spread of covered nineteen , because we are not in a recording studio . 
EDL	00:01:00,365	00:01:02,850	| VfD E36 The Hypersonic Materialist |	You met your ambient sounds like traffic and birds . 
EDL	00:01:06,260	00:01:07,440	| VfD E36 The Hypersonic Materialist |	Party arriving at door 。
EDL	00:01:07,440	00:01:31,680	| VfD E36 The Hypersonic Materialist |	But two years ago , bill , as I will refer to him here was the director of the materials and microsystems laboratory at each oil laboratory , which was founded in nineteen forty eight by the famous billionaire heritage in bill's role in natural , he focused on numerous for three deepening , including high strength metals and ceremonies , mechanical systems , for the stabilization of platforms . 
EDL	00:01:31,680	00:01:51,711	| VfD E36 The Hypersonic Materialist |	Like once you might find in space , scalable approaches to high performance , anti failing and nano material coatings and micro electronic mechanical systems , or for months for position , navigation and timing applications , earning his PHUNapplied physics in nineteen ninety seven from harvard university bills . 
EDL	00:01:51,711	00:02:00,000	| VfD E36 The Hypersonic Materialist |	Background also includes material science and mechanics , and is more than fifty years of experience managing government and industrial materials research . 
EDL	00:02:00,000	00:02:04,338	| VfD E36 The Hypersonic Materialist |	And here's an accomplishment that reflects bills neck for innovation . 
EDL	00:02:04,338	00:02:13,063	| VfD E36 The Hypersonic Materialist |	So far , he is accumulated some one hundred and one issued pants carrying new materials and devices for what amount and aerospace applications . 
EDL	00:02:13,063	00:02:20,865	| VfD E36 The Hypersonic Materialist |	And now he is contributing his dry for innovation and dropped weighing carter bill , thanks for joining me in this conversation . 
EDL	00:02:20,865	00:02:21,980	| VfD E36 The Hypersonic Materialist |	Great to be here . 
EDL	00:02:21,980	00:02:35,650	| VfD E36 The Hypersonic Materialist |	So first , in the interests of transparency , I should let you know that I am a huge , huge fan material science , which I consider to be under appreciated foundation of essentially entire history of technology . 
EDL	00:02:35,650	00:02:47,140	| VfD E36 The Hypersonic Materialist |	So i'm looking forward to hearing how you are taking materials research in new , and at times , spectacularly fast directions in the programs you are writing here at dark and will get to that in a bit . 
EDL	00:02:47,140	00:03:00,030	| VfD E36 The Hypersonic Materialist |	But first I would like to know something about the influences and experiences in your life that turns you first for physics and from there into materials , central origin , industry and government. 
EDL	00:03:00,030	00:03:03,732	| VfD E36 The Hypersonic Materialist |	First really throw that you are a fan of material science . 
EDL	00:03:03,732	00:03:12,370	| VfD E36 The Hypersonic Materialist |	I think it's one of the most exciting disciplines as very interesting , and it brings books together from all sorts of different perspectives . 
