EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,760	00:00:31,710	| VfD E38 The Oceanic Defender |	Stuff technology, the internet, GPS in the column of your hand on the most operation, and technology is a driver of our times since its founding a one thousand nine hundred and fifty eight, in the midst of the cold war, the defence advanced research projects has been a driver of technology
EDL	00:00:32,190	00:00:40,270	| VfD E38 The Oceanic Defender |	Welcome to Voices from darker a window on the dark as core of program managers, their job to redefine what is possible. 
EDL	00:00:48,260	00:00:51,307	| VfD E38 The Oceanic Defender |	My name is ivan, a motto on your dark post today
EDL	00:00:51,307	00:01:00,000	| VfD E38 The Oceanic Defender |	I'm pleased to be talking with mister john waterson, a program manager, sends twenty seventeen in the agency's strategic technology
EDL	00:01:00,000	00:01:13,010	| VfD E38 The Oceanic Defender |	We are recording our conversation from our respective homes as we do our parts to slow the spread of covered nineteen, and because we are not in a recording studio, you might hear ambient sounds like traffic, planes and birds prior to arrive in a darker
EDL	00:01:13,010	00:01:31,285	| VfD E38 The Oceanic Defender |	John was a senior program manager in SRIinternational advanced technology and systems division over a number of years there, he LED defence research programs in cyber arctic sensing unmanned vehicles, among other technical areas, with his pipeline from SRITEDERBAR. 
EDL	00:01:31,285	00:01:38,450	| VfD E38 The Oceanic Defender |	John brings with him interest in maritime autonomy under distributed sensing and non traditional communications
EDL	00:01:38,780	00:01:49,140	| VfD E38 The Oceanic Defender |	John surely developed some of those interested in his twelve years in the navy doing what she lived on three different submarines and learned how to operate in nuclear actor
EDL	00:01:49,140	00:01:53,625	| VfD E38 The Oceanic Defender |	He continues his military service as a commander in the USneighbourhoods
EDL	00:01:53,625	00:02:04,470	| VfD E38 The Oceanic Defender |	John received the bachelor signs to read electrical engineering from the us naval academy and a master science degree trickle engineering from stanford university, earning that agree in two thousand and one
EDL	00:02:05,110	00:02:06,190	| VfD E38 The Oceanic Defender |	John watson, thanks for. 
EDL	00:02:06,190	00:02:08,790	| VfD E38 The Oceanic Defender |	For joining me in this conversation, thank you
EDL	00:02:08,790	00:02:11,790	| VfD E38 The Oceanic Defender |	I mean, this is a great opportunity to talk today. 
EDL	00:02:11,790	00:02:16,673	| VfD E38 The Oceanic Defender |	So interesting bit will arrive into some of the programs you are overseeing
EDL	00:02:16,673	00:02:23,422	| VfD E38 The Oceanic Defender |	One of these seems like they're hoping to install a century and nervous system into the planet's oceans
EDL	00:02:23,422	00:02:31,120	| VfD E38 The Oceanic Defender |	Another one has to do with developing a back up to GPS in case that must have system or two suddenly become unavailable
EDL	00:02:31,120	00:02:35,980	| VfD E38 The Oceanic Defender |	Another is about creating a GPS like system networks under water bowl
EDL	00:02:35,980	00:02:37,620	| VfD E38 The Oceanic Defender |	Them hugely ambitious
EDL	00:02:37,620	00:02:49,110	| VfD E38 The Oceanic Defender |	But before we hear more about those programs, I'd like to know something about the influences and experiences in your life that turned you toward electrical engineering and a career
EDL	00:02:49,110	00:02:50,900	| VfD E38 The Oceanic Defender |	At least the first period of the. 
EDL	00:02:51,400	00:02:53,410	| VfD E38 The Oceanic Defender |	One of things has always dreamed
EDL	00:02:53,410	00:02:58,370	| VfD E38 The Oceanic Defender |	I wanted to figure out how things work and kind of work at a fundamental level
EDL	00:02:58,730	00:03:11,899	| VfD E38 The Oceanic Defender |	And so when I was thinking about going to school, electrical engineering allowed me to understand how computers, phones and all the digital communications are today was working
EDL	00:03:11,899	00:03:16,060	| VfD E38 The Oceanic Defender |	So that's kind of what attracted me to electrical engineering is
EDL	00:03:16,060	00:03:25,030	| VfD E38 The Oceanic Defender |	I want to lose people who is it satisfied with their son, black box and wanted to get down into the northern boats work with the navy
EDL	00:03:25,030	00:03:40,503	| VfD E38 The Oceanic Defender |	I thought it would be a great, great opportunity to see the world and a big believer in making decisions as you move through life to maximize your opportunity while growing up in high school, I was involved with the scott, so I always had kind of a big service component
EDL	00:03:40,503	00:03:40,889	| VfD E38 The Oceanic Defender |	My life
EDL	00:03:40,889	00:03:49,000	| VfD E38 The Oceanic Defender |	I don't have a military family, although my grandfather served in the navy and two, I went to the neighborhood academic, not knowing what I wanted to do
EDL	00:03:49,000	00:04:01,660	| VfD E38 The Oceanic Defender |	I feel like, maybe I don't know what I want to be when I grow up, I probably still want to be when I grow up, and maybe there has been a place where I can explore many areas that interests me and show success
EDL	00:04:01,660	00:04:06,070	| VfD E38 The Oceanic Defender |	The navy trains everyone to do a very important national mission
EDL	00:04:06,400	00:04:12,500	| VfD E38 The Oceanic Defender |	And so again, I pick submarines, and I think I learned a few things along the way, and it's been very helpful. 
EDL	00:04:12,500	00:04:20,329	| VfD E38 The Oceanic Defender |	You brought up the idea of the black box, and particularly in our electronic realities, we have so many these black boxes in our lives
EDL	00:04:20,329	00:04:39,560	| VfD E38 The Oceanic Defender |	And yeah, that's why I have actually always admire the electrical engineer, because that is a profession that some sense of just almost everything about those black boxes, they transistors and other devices that are incredibly manipulating them, how they all look together, how software is interacting with them, how directly creating the capabilities
EDL	00:04:39,560	00:04:47,456	| VfD E38 The Oceanic Defender |	So I think you so as well, if you want to know how things work these days, you probably couldn't have done better than an EEtraining
EDL	00:04:47,456	00:04:52,860	| VfD E38 The Oceanic Defender |	And I also want to just follow up on your survive experience in the navy and working on submarines
EDL	00:04:52,860	00:04:58,830	| VfD E38 The Oceanic Defender |	And if you know, one of the smoke so population out there that actually knows how to brand a nuclear reactor
EDL	00:04:58,830	00:05:10,140	| VfD E38 The Oceanic Defender |	But wonder if any of the that experience, and any of those skills that you developed is that setting is helping you in your new role since twenty seventeen, as a program manager. 
EDL	00:05:10,140	00:05:11,648	| VfD E38 The Oceanic Defender |	Well, it still feels new
EDL	00:05:11,648	00:05:13,588	| VfD E38 The Oceanic Defender |	That's another thing about life
EDL	00:05:13,588	00:05:17,683	| VfD E38 The Oceanic Defender |	A dark book goes by super fast, but getting back to a life on a summary
EDL	00:05:17,683	00:05:21,994	| VfD E38 The Oceanic Defender |	Everyone on a submarine is responsible for everyone else, right
EDL	00:05:21,994	00:06:00,650	| VfD E38 The Oceanic Defender |	You have to be an expert in your life job, because the ocean is cool, and chips really shouldn't be able to submerge below the surface of the ocean and survive the basic thing that is taught every summer winner is, you are responsible, and you have to become an expert within your area of influence and know everything about the ship that you are living on so well, it on the summary, and I was more focused on mechanical systems, hydraulic water, the nuclear reactor, and less on the black box is computing
EDL	00:06:00,650	00:06:18,420	| VfD E38 The Oceanic Defender |	I still use those tools every day to do in an important mission, and that's what really attracted me to summarize in the first place was, I felt like they always were at the tip of during the coolest missions around the world, and I wanted to work with people who have volunteered to do that
EDL	00:06:18,780	00:06:20,960	| VfD E38 The Oceanic Defender |	While I played out my activity. 
