EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,660	00:00:17,760	| VfD E42 The Infrared Visionary |	Stealth technology, the internet, GPS in the column of your hand on this operation. 
EDL	00:00:20,340	00:00:31,170	| VfD E42 The Infrared Visionary |	Technology is a driver of our times since the funding in nineteen fifty eight, in the midst of the cold war, doubt the defensive as research projects agency has been a driver of technology
EDL	00:00:31,550	00:00:39,230	| VfD E42 The Infrared Visionary |	Welcome to Voices from DARPA, a window, and the dark is core of program managers, their job to redefine what is possible
EDL	00:00:39,710	00:00:43,041	| VfD E42 The Infrared Visionary |	My name is, i've been a matter when i'm your daughter host today
EDL	00:00:43,041	00:00:53,430	| VfD E42 The Infrared Visionary |	I am pleased to be talking with doctor, witnessing a program manager since twenty seventeen in the agencies microsystems technology, obvious to give you a clue about her focus at the agency
EDL	00:00:53,430	00:01:14,000	| VfD E42 The Infrared Visionary |	Let me say for the moments that if I had a question about, say, in for it based technology, I would go to her first, just a context note, we are recording our conversation from our respective locations as we do our parts to slow the spread of copyright team, because we are not in recording studio, you might hear ambient sounds that make it into our microphone
EDL	00:01:14,350	00:01:19,046	| VfD E42 The Infrared Visionary |	So now, let me get back to witnesses and tell you a little bit about her
EDL	00:01:19,046	00:01:26,090	| VfD E42 The Infrared Visionary |	She brings to dark for her interests and expertise in imaging sensors and making those senses see and do more
EDL	00:01:26,090	00:01:44,084	| VfD E42 The Infrared Visionary |	She's currently on detail from the night vision and electronic sensors directorate, which is part of the army communications, electronics research, development and engineering center, or at four billboards, virginia, at that directorate witnesses, most recent job was director of the science and technology division
EDL	00:01:44,084	00:01:50,862	| VfD E42 The Infrared Visionary |	In this capacity, she entered and engineers and had their sights on next generation article, materials and designs
EDL	00:01:50,862	00:02:01,278	| VfD E42 The Infrared Visionary |	Devices such as focal plane, raise advanced circuitry for converting war imaging signals into useful information and image processing techniques, among other topics
EDL	00:02:01,278	00:02:24,510	| VfD E42 The Infrared Visionary |	Her division delivered the technology that underlines the army is most advanced infrastructural and explosive hazard detection technologies, and take some education to get witnesses earned her bachelor of science degree in physics from george town university, and followed that with APHDin physics from the university of oklahoma witnessing, thanks for joining me in this Voices from garbage
EDL	00:02:24,510	00:02:25,693	| VfD E42 The Infrared Visionary |	It's great to be here
EDL	00:02:25,693	00:02:26,284	| VfD E42 The Infrared Visionary |	Thank you
EDL	00:02:26,284	00:02:30,031	| VfD E42 The Infrared Visionary |	So let's get a little bit at the origins of your interest, right
EDL	00:02:30,031	00:02:37,310	| VfD E42 The Infrared Visionary |	So you got hooked on physics, at least in college, and then you got hooked on objects and infrastructure and technology, among other
EDL	00:02:37,310	00:02:39,780	| VfD E42 The Infrared Visionary |	So, what are the origins of these interests
EDL	00:02:39,780	00:02:42,970	| VfD E42 The Infrared Visionary |	And if it goes all away back to your childhood, go. 
EDL	00:02:43,570	00:02:49,312	| VfD E42 The Infrared Visionary |	I have always said that scientists are born not made when I was started my childhood
EDL	00:02:49,312	00:02:53,931	| VfD E42 The Infrared Visionary |	I was constantly asking why, why is the sky blue, why is concrete hard
EDL	00:02:53,931	00:02:56,257	| VfD E42 The Infrared Visionary |	Why is electricity so expensive
EDL	00:02:56,257	00:02:56,723	| VfD E42 The Infrared Visionary |	right
EDL	00:02:56,723	00:02:58,351	| VfD E42 The Infrared Visionary |	Just curious about things
EDL	00:02:58,351	00:03:07,900	| VfD E42 The Infrared Visionary |	And I was fortunate to to have people that would indulge me and help me get resources to try to answer those questions
EDL	00:03:07,900	00:03:18,670	| VfD E42 The Infrared Visionary |	You know, I just like science in general, but what suddenly on physics, I think that it's just the root of most of the sciences that we explore today
EDL	00:03:18,670	00:03:23,360	| VfD E42 The Infrared Visionary |	But the cool thing about, imagine if you think about it, it's a little bit of everything
EDL	00:03:23,360	00:03:24,820	| VfD E42 The Infrared Visionary |	So there is material science
EDL	00:03:24,820	00:03:34,300	| VfD E42 The Infrared Visionary |	There's electronics, there's image processing and those biology, right, because all of us, all animals, in fact, have eyes of one form or another. 
EDL	00:03:34,300	00:03:34,570	| VfD E42 The Infrared Visionary |	right
EDL	00:03:34,570	00:03:43,567	| VfD E42 The Infrared Visionary |	And before we leave, that biology point is amazing to think that there even are inferred sensors in the biology world and thinking of things like those pilot organs and snakes
EDL	00:03:43,567	00:03:46,210	| VfD E42 The Infrared Visionary |	And there are those other animals and have that ability. 
EDL	00:03:46,210	00:03:48,040	| VfD E42 The Infrared Visionary |	Yeah, that's absolutely true
EDL	00:03:48,040	00:03:58,790	| VfD E42 The Infrared Visionary |	And you know, you can take a lot of inspiration from the way animals of all kinds seek to inspire the work that we do here in other places
EDL	00:03:59,250	00:04:00,000	| VfD E42 The Infrared Visionary |	Let's move. 
EDL	00:04:00,000	00:04:05,490	| VfD E42 The Infrared Visionary |	Two sort of a question that I asked me to every program manager said, how did you get to dark a story
EDL	00:04:05,490	00:04:15,700	| VfD E42 The Infrared Visionary |	And so you started in twenty seven teen, and just before that, you have been running one of the directors at third deck against the army communications, electronic research, development and engineering center
EDL	00:04:15,700	00:04:22,270	| VfD E42 The Infrared Visionary |	So what was the change of our best to catalyze your leap into what is really kind of an extensive, detailed into four years, just about here, it dropped. 
EDL	00:04:22,730	00:04:28,390	| VfD E42 The Infrared Visionary |	I have really been fortunate during my time at the army to have a lot of different things position
EDL	00:04:28,390	00:04:38,210	| VfD E42 The Infrared Visionary |	So every four to five years, I have been offered opportunities to do another job, and I was just coming to the end
EDL	00:04:38,210	00:04:41,430	| VfD E42 The Infrared Visionary |	About five years is the director of the science technology
EDL	00:04:41,820	00:04:44,050	| VfD E42 The Infrared Visionary |	I am jealous, who is done
EDL	00:04:44,050	00:04:51,510	| VfD E42 The Infrared Visionary |	The deputy director for microsoft and technology office, called and said, would you consider a tour at dark
EDL	00:04:51,510	00:05:05,060	| VfD E42 The Infrared Visionary |	And of course, I had been fortunate in my career to work very closely with DARPA transition in some of the technologies to us, and no was just an opportunity that was too big to pass up
EDL	00:05:05,060	00:05:09,400	| VfD E42 The Infrared Visionary |	And I will say it is, by far, I have a very fun jobs, but this is the funniest. 
EDL	00:05:10,200	00:05:19,652	| VfD E42 The Infrared Visionary |	Okay, and of course, that is one of the characteristics of darkness that anybody comes in there pretty much as a cell by day on the day they come in and you're coming in on detail
EDL	00:05:19,652	00:05:20,300	| VfD E42 The Infrared Visionary |	So how long? 
EDL	00:05:20,300	00:05:24,640	| VfD E42 The Infrared Visionary |	So right now, my expiration date is november of this year. 
EDL	00:05:24,640	00:05:25,690	| VfD E42 The Infrared Visionary |	All right, well, so I am
EDL	00:05:25,690	00:05:33,400	| VfD E42 The Infrared Visionary |	So please to be speaking with you now before that day arrives, and you go back to third, I presume, examination in pursuit
EDL	00:05:33,400	00:05:34,200	| VfD E42 The Infrared Visionary |	Where are you going
EDL	00:05:34,200	00:05:34,940	| VfD E42 The Infrared Visionary |	I, Idon't know
EDL	00:05:35,740	00:05:48,030	| VfD E42 The Infrared Visionary |	Okay, which is also another characteristic of DARPA web, where people are willing to take some lips and risk without necessarily knowing what's on the other side of that cell by day, but nearly do the job itself is open and off to take such a risk
EDL	00:05:48,030	00:06:07,498	| VfD E42 The Infrared Visionary |	So let's still move into your programs and mean, when I look at the portfolio programs, strong themes of updates and infrared radiation come through, that might even broaden when we get to maybe one of the last programs will talk about at the end of the conversation before we do take brief tours of the programs
EDL	00:06:07,498	00:06:12,431	| VfD E42 The Infrared Visionary |	Tell me a little bit generally about, you know, the world from the infrared perspective
EDL	00:06:12,431	00:06:22,520	| VfD E42 The Infrared Visionary |	And why should the departure defence wheels, and for that matter, the rest of us, the rest of the same point, billions of us on planter of, why should we care about that information? 
EDL	00:06:22,520	00:06:32,869	| VfD E42 The Infrared Visionary |	就是back to the ，to the animal analogy, you know, any more eyes involved to be the way they are because they are specific tasks
EDL	00:06:32,869	00:06:48,790	| VfD E42 The Infrared Visionary |	So you reference the picnic lines in steaks they developed those because they needed to see their pray, of course, humans to be able to see in the visible wavelength, because that is where most of our light comes from
EDL	00:06:49,130	00:07:02,440	| VfD E42 The Infrared Visionary |	But you know, people in the deal, do you need to see other than just the day rights of social needs to see at night, or see through dust, or find homemade explosives, or find things really far away, or track thinks. 
EDL	00:07:02,440	00:07:12,116	| VfD E42 The Infrared Visionary |	Right, and witnesses before you continue on that thought of records, the most listeners might not know, sort of what the pit organs are doing biologically for the snake
EDL	00:07:12,116	00:07:23,145	| VfD E42 The Infrared Visionary |	And so I will just say very briefly, they're essentially like these, these article centres, but in the infrastructure helps them pick out, say, a moving, a warm, a moving mouse out there
EDL	00:07:23,145	00:07:31,450	| VfD E42 The Infrared Visionary |	In addition, if they have the visual contact or not, but the pilot organ will give them that moving heat source, and so it will help them hurt
EDL	00:07:32,020	00:07:35,380	| VfD E42 The Infrared Visionary |	Just want to get that little detail in case listeners did no
EDL	00:07:35,380	00:07:36,900	| VfD E42 The Infrared Visionary |	And now I wanted to pick up where you. 
EDL	00:07:37,940	00:07:38,330	| VfD E42 The Infrared Visionary |	Thank you
EDL	00:07:38,330	00:07:45,590	| VfD E42 The Infrared Visionary |	Until you are a great point, right, because everything emits heat of one source or another
EDL	00:07:45,590	00:07:50,580	| VfD E42 The Infrared Visionary |	So, just like any more eyes have evolved to be task dependent
EDL	00:07:50,580	00:07:59,766	| VfD E42 The Infrared Visionary |	There is a lot of capability in the infrastructure and a lot of capability in imaging sensors to be able to evolve those sensors to suit soldiers
EDL	00:07:59,766	00:08:10,640	| VfD E42 The Infrared Visionary |	So to see all the time, right dynamics says everything in its heat is an important characteristic for a soldier, particularly if he can only carry
EDL	00:08:10,640	00:08:14,250	| VfD E42 The Infrared Visionary |	So thermal sensor is create ubiquitous image. 
EDL	00:08:14,810	00:08:19,390	| VfD E42 The Infrared Visionary |	Okay, so despite, let's actually move into your portfolio, programs will step to most of them
EDL	00:08:19,390	00:08:39,510	| VfD E42 The Infrared Visionary |	So let's serve you more mature programs once that had their thoughts with program manager, the proceeds of june, and whose research performers and by that, I mean, those who are on contract to do work on the programs that you're not shepherding toward delivering real technology capabilities, one of those programs goes by the figuring
EDL	00:08:39,510	00:08:51,740	| VfD E42 The Infrared Visionary |	Imagine or reimagine, tell me in our listeners about the article technology that you hope to deliver with this program and how it would empower war fighters, and perhaps in time civilians. 
