EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,280	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Support for this podcast
EDL	00:00:02,560	00:00:03,584	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Message come from odoo
EDL	00:00:04,096	00:00:05,120	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Want to boost your business
EDL	00:00:05,120	00:00:06,656	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Check out a new business game
EDL	00:00:07,168	00:00:07,680	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Scale-up
EDL	00:00:08,192	00:00:08,960	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	It's fun it's
EDL	00:00:08,960	00:00:10,240	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Smart and odoo offers at
EDL	00:00:11,008	00:00:11,776	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Shipping included
EDL	00:00:12,288	00:00:14,080	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Use promo code NPR on
EDL	00:00:14,080	00:00:16,128	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Odio o.com
EDL	00:00:16,128	00:00:17,152	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Flash scale-up
EDL	00:00:24,064	00:00:26,624	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Easy Chicago
EDL	00:00:27,136	00:00:28,160	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	The NPR news quiz
EDL	00:00:28,672	00:00:29,952	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Sleep tight baby
EDL	00:00:30,464	00:00:32,000	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	You're about to get a doe seven
EDL	00:00:47,872	00:00:50,432	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	I talked to you today
EDL	00:00:50,432	00:00:52,992	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Later on we're going to be talking to American soccer
EDL	00:00:52,992	00:00:54,528	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Superstar Christian Lily
EDL	00:00:54,528	00:00:58,112	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Who has the most caps of any player male or female veteran of five World Cups
EDL	00:00:59,136	00:01:00,160	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Game-changing defense
EDL	00:01:00,672	00:01:02,976	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Against the Golden Goal in the 99
EDL	00:01:02,976	00:01:03,488	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Final
EDL	00:01:04,000	00:01:08,096	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	You have about a half an hour to Google around so you can understand what I just said
EDL	00:01:09,376	00:01:11,168	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	The meantime give us a call
EDL	00:01:11,680	00:01:16,544	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	The number is 10008 wait wait that's one 888-924-8924
EDL	00:01:17,056	00:01:20,128	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Let's welcome my first listener contestant how you were on wait wait don't tell me
EDL	00:01:20,640	00:01:22,176	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Hello this is Andy Johnson
EDL	00:01:22,176	00:01:23,200	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Andy how are you
EDL	00:01:23,712	00:01:26,016	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Fantastic I'm glad to hear it where you calling from
EDL	00:01:26,528	00:01:31,392	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	I'm calling from Warrenville Illinois about 30 miles Due West
EDL	00:01:31,904	00:01:36,000	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Tell me what I'm missing by never venturing out of the city limits
EDL	00:01:39,840	00:01:43,168	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	We are the home to The Picture of Dorian Gray it was painted here
EDL	00:01:43,936	00:01:47,264	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	The Picture of Dorian Gray
EDL	00:01:47,264	00:01:51,360	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Yeah the Albright feather Studio here in a few go to the Art Institute of Chicago
EDL	00:01:52,384	00:01:52,896	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Macau
EDL	00:01:53,664	00:01:57,248	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Portrait of Dorian Gray that was painted here in Warrenville Illinois
EDL	00:01:57,248	00:02:03,136	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Exciting welcome to the show
EDL	00:02:03,648	00:02:07,488	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	A humorous and author most recently of save room for pie it's Roy blunt
EDL	00:02:07,488	00:02:08,000	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Junior
EDL	00:02:12,864	00:02:14,656	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Next up is the comedian producing in
EDL	00:02:14,656	00:02:19,520	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	And starring in the upcoming Asian American comedy film becoming Eddie details of becoming Eddie
EDL	00:02:19,520	00:02:25,920	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Film.com
EDL	00:02:25,920	00:02:26,944	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	So he's a writer
EDL	00:02:26,944	00:02:32,576	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Black Mirror HBO's divorce and host of the adulting podcast on WNYC it's Jordan
EDL	00:02:32,576	00:02:38,976	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Carlos
EDL	00:02:38,976	00:02:41,536	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Dissipated that's what you're going to play who's Bill this time Bill
EDL	00:02:41,536	00:02:43,328	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Curtis is going to redo three quotation
EDL	00:02:43,840	00:02:44,608	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Snooze
EDL	00:02:44,608	00:02:46,144	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Can you can correctly identifiers
EDL	00:02:46,144	00:02:48,192	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Enterprise
EDL	00:02:48,192	00:02:48,960	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Turn my show you my
EDL	00:02:48,960	00:02:49,728	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Nike shoes
EDL	00:02:49,728	00:02:50,752	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	On your voicemail ready to play
EDL	00:02:51,264	00:02:52,032	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	I'm ready
EDL	00:02:52,032	00:02:52,800	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	All right
EDL	00:02:52,800	00:02:55,104	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Here is your first quote
EDL	00:02:55,104	00:02:57,408	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Yes yes yes
EDL	00:03:13,024	00:03:17,120	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Celebrating her 13th and final goal on Tuesday
EDL	00:03:17,120	00:03:18,912	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	She was a member of what team
EDL	00:03:19,936	00:03:26,336	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Team USA soccer
EDL	00:03:26,336	00:03:29,664	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Reigning Women's World Cup champions the US celebrated their
EDL	00:03:29,664	00:03:31,968	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Return to the tournament by laying an absolute
EDL	00:03:31,968	00:03:33,504	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Beat down on the Thailand
EDL	00:03:33,504	00:03:34,016	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	And team
EDL	00:03:34,528	00:03:38,880	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Winning 13208 it would have been more but they missed the extra
EDL	00:03:38,880	00:03:40,928	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	The point
EDL	00:03:41,440	00:03:43,488	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Now the US team
EDL	00:03:43,488	00:03:45,536	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Was criticized not too much for running up the
EDL	00:03:45,536	00:03:46,304	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Score but for
EDL	00:03:46,304	00:03:48,864	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	Celebrating a little too much
EDL	00:03:48,864	00:03:50,144	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	We don't know why
EDL	00:03:50,144	00:03:56,544	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	They're getting grief for all these celebrations we remember when the u.s. men celebrated their 13th World Cup goal 2
EDL	00:03:56,544	00:03:57,312	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	We just took them
EDL	00:03:57,312	00:03:58,080	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	8 world
EDL	00:04:02,688	00:04:08,320	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	That's true by the way the US women in their first game scored more goals in the u.s. men have since like
EDL	00:04:08,832	00:04:10,112	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	1996
EDL	00:04:11,648	00:04:13,952	| 20190615_waitwait_wwdtmpodcast190615.mp3_dd4d6b2208af531e9623402983fdc29b_48254252 |	I think I know enough about soccer the Third
