EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,560	00:00:06,656	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	From NPR and WBEZ
EDL	00:00:06,656	00:00:07,424	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Chicago
EDL	00:00:08,192	00:00:08,704	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Wait don't tell me
EDL	00:00:09,216	00:00:10,496	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	DMV
EDL	00:00:11,008	00:00:12,800	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Check out these fireworks
EDL	00:00:15,104	00:00:15,872	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Bill
EDL	00:00:21,504	00:00:22,016	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Heimdall
EDL	00:00:29,696	00:00:36,096	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Everybody this is the time of year when we celebrate Santa Claus bringing the Declaration of
EDL	00:00:36,096	00:00:38,144	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Independence to the Happy children to Philadelphia
EDL	00:00:38,912	00:00:40,192	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Back in the olden time
EDL	00:00:40,192	00:00:40,960	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Times of the 1920s
EDL	00:00:42,496	00:00:45,056	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	So you're putting presents under the independent
EDL	00:00:45,568	00:00:47,104	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	We thought we'd share some favor
EDL	00:00:47,104	00:00:48,896	| 20190706_waitwait_wwdtmpodcast190706-2de3e822-afbf-4d9e-bbc1-53eba5de410d.mp3_f58e6d5ace263041cdf7da63562498be_47632031 |	Segments from my recent shows
