EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 01_Sound_and_Health_Cities_f01_1 |	Thanks to the Robert Wood Johnson
EDL	00:00:01,792	00:00:06,656	| 01_Sound_and_Health_Cities_f01_1 |	Foundation for underwriting this special two-part series about the power of sound to affect
EDL	00:00:06,656	00:00:08,448	| 01_Sound_and_Health_Cities_f01_1 |	And influence our health and well-being
EDL	00:00:08,960	00:00:15,104	| 01_Sound_and_Health_Cities_f01_1 |	The Robert Wood Johnson Foundation is working alongside other is to build a culture of Health for everyone in America
EDL	00:00:15,616	00:00:16,896	| 01_Sound_and_Health_Cities_f01_1 |	Learn more about the
EDL	00:00:16,896	00:00:18,688	| 01_Sound_and_Health_Cities_f01_1 |	At rwjf
EDL	00:00:18,688	00:00:19,456	| 01_Sound_and_Health_Cities_f01_1 |	. org
EDL	00:00:20,480	00:00:22,016	| 01_Sound_and_Health_Cities_f01_1 |	This is 99% invisible
EDL	00:00:22,784	00:00:23,552	| 01_Sound_and_Health_Cities_f01_1 |	I'm Roman Mars
EDL	00:00:28,672	00:00:30,208	| 01_Sound_and_Health_Cities_f01_1 |	Nearly everywhere we go
EDL	00:00:30,208	00:00:31,488	| 01_Sound_and_Health_Cities_f01_1 |	We're bombarded with
EDL	00:00:31,488	00:00:32,512	| 01_Sound_and_Health_Cities_f01_1 |	Human-made sound
EDL	00:00:33,024	00:00:34,560	| 01_Sound_and_Health_Cities_f01_1 |	It's especially bad Insidious
EDL	00:00:35,328	00:00:36,864	| 01_Sound_and_Health_Cities_f01_1 |	Cities in the past
EDL	00:00:36,864	00:00:38,656	| 01_Sound_and_Health_Cities_f01_1 |	Think about where you have
EDL	00:00:38,656	00:00:39,168	| 01_Sound_and_Health_Cities_f01_1 |	Horses
EDL	00:00:39,680	00:00:43,008	| 01_Sound_and_Health_Cities_f01_1 |	And Buggies clapping you here
EDL	00:00:43,008	00:00:44,544	| 01_Sound_and_Health_Cities_f01_1 |	Banging of wood against
