EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 30-The-Blue-Yarn |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,656	| 30-The-Blue-Yarn |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 30-The-Blue-Yarn |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 30-The-Blue-Yarn |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:19,968	| 30-The-Blue-Yarn |	Use the Name Your Price tool and start an online quote today at progressive.com
EDL	00:00:20,480	00:00:22,784	| 30-The-Blue-Yarn |	Price in coverage match limited by state law
EDL	00:00:24,064	00:00:30,464	| 30-The-Blue-Yarn |	When it comes to marketing your business it's all about reaching the Right audience at the right time and connecting with that on
EDL	00:00:30,464	00:00:34,048	| 30-The-Blue-Yarn |	When your message will resonate the most LinkedIn can help
EDL	00:00:34,048	00:00:40,448	| 30-The-Blue-Yarn |	Lincoln is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers
EDL	00:00:40,448	00:00:44,544	| 30-The-Blue-Yarn |	Weather in beijing every day when they're ready to make a decision
EDL	00:00:44,544	00:00:50,944	| 30-The-Blue-Yarn |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers those relationships often
EDL	00:00:50,944	00:00:57,344	| 30-The-Blue-Yarn |	Turn into high-quality leads website traffic and higher brand awareness and Linkedin have the marking tools
EDL	00:00:57,344	00:00:59,904	| 30-The-Blue-Yarn |	Help you target your customers with precision
EDL	00:00:59,904	00:01:06,304	| 30-The-Blue-Yarn |	Down to the job title company name and Industry because we can Target exactly who you want to reach you can make sure
EDL	00:01:06,304	00:01:12,704	| 30-The-Blue-Yarn |	Customers are getting a message that they care about which in turn builds trust a free $100
EDL	00:01:12,704	00:01:19,104	| 30-The-Blue-Yarn |	Burlington add Credit in launcher first campaign go to linkedin.com invisible up linkedin.com
EDL	00:01:19,104	00:01:22,176	| 30-The-Blue-Yarn |	Cam invisible Pier free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 30-The-Blue-Yarn |	Terms and conditions apply
EDL	00:01:25,504	00:01:31,904	| 30-The-Blue-Yarn |	We get support from UC Davis globally ranked University working to solve the world's most pressing problems
EDL	00:01:31,904	00:01:38,304	| 30-The-Blue-Yarn |	Food energy health education and the environment in California and
EDL	00:01:38,304	00:01:40,864	| 30-The-Blue-Yarn |	Around the globe Define transformational Solutions
EDL	00:01:40,864	00:01:43,680	| 30-The-Blue-Yarn |	Quality of life
EDL	00:01:43,680	00:01:48,800	| 30-The-Blue-Yarn |	For all living things find out more at 21st century. Ucdavis.edu
EDL	00:01:53,408	00:01:55,200	| 30-The-Blue-Yarn |	This is 99% invisible
EDL	00:01:55,712	00:01:56,480	| 30-The-Blue-Yarn |	I'm Roman Mars
EDL	00:01:59,808	00:02:05,696	| 30-The-Blue-Yarn |	In 1998 Dr Gary Kaplan the CEO of Virginia Mason Medical Center in Seattle
EDL	00:02:05,696	00:02:08,000	| 30-The-Blue-Yarn |	Received some bad news
EDL	00:02:08,000	00:02:08,768	| 30-The-Blue-Yarn |	About as hosp
EDL	00:02:08,768	00:02:10,048	| 30-The-Blue-Yarn |	It was losing money
EDL	00:02:10,048	00:02:13,376	| 30-The-Blue-Yarn |	But voices David Weinberg who's doing our reporting for us today
EDL	00:02:13,376	00:02:14,656	| 30-The-Blue-Yarn |	So back to the story
EDL	00:02:14,656	00:02:20,032	| 30-The-Blue-Yarn |	Is that loss is at Virginia Mason Dr Kaplan start studying how other hospitals are managed
EDL	00:02:20,032	00:02:21,824	| 30-The-Blue-Yarn |	We started scouring the country
EDL	00:02:21,824	00:02:24,640	| 30-The-Blue-Yarn |	Looking for a hospital with a management system worth it.
EDL	00:02:24,640	00:02:26,688	| 30-The-Blue-Yarn |	And if you're anything like me when you hear the phrase
EDL	00:02:26,688	00:02:27,712	| 30-The-Blue-Yarn |	Management
EDL	00:02:27,712	00:02:28,480	| 30-The-Blue-Yarn |	System
EDL	00:02:28,480	00:02:29,760	| 30-The-Blue-Yarn |	Part of your brain begins
EDL	00:02:30,272	00:02:33,600	| 30-The-Blue-Yarn |	Shot down in another part of your brain prepares itself
EDL	00:02:33,600	00:02:34,624	| 30-The-Blue-Yarn |	The hearing a lot of
EDL	00:02:35,136	00:02:37,184	| 30-The-Blue-Yarn |	Either complete nonsense
EDL	00:02:37,184	00:02:38,720	| 30-The-Blue-Yarn |	Or common sense
