EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 322_The_First_Straw_pt01 |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:05,888	| 322_The_First_Straw_pt01 |	One of the country's leading providers of autumn
EDL	00:00:06,656	00:00:08,960	| 322_The_First_Straw_pt01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 322_The_First_Straw_pt01 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 322_The_First_Straw_pt01 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 322_The_First_Straw_pt01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 322_The_First_Straw_pt01 |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 322_The_First_Straw_pt01 |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 322_The_First_Straw_pt01 |	Limited by state law
EDL	00:00:24,576	00:00:26,368	| 322_The_First_Straw_pt01 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 322_The_First_Straw_pt01 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 322_The_First_Straw_pt01 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 322_The_First_Straw_pt01 |	LinkedIn can help
EDL	00:00:34,304	00:00:36,608	| 322_The_First_Straw_pt01 |	LinkedIn is the world's largest professional network
EDL	00:00:36,608	00:00:43,008	| 322_The_First_Straw_pt01 |	LinkedIn marketing Solutions allow you to Target your customers where they're engaging everyday when they're ready
EDL	00:00:43,008	00:00:44,032	| 322_The_First_Straw_pt01 |	Need to make a decision
EDL	00:00:44,544	00:00:49,152	| 322_The_First_Straw_pt01 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customer
EDL	00:00:49,664	00:00:52,480	| 322_The_First_Straw_pt01 |	Those relationships often turn into high-quality leads
EDL	00:00:52,480	00:00:53,760	| 322_The_First_Straw_pt01 |	Website traffic
EDL	00:00:53,760	00:00:54,784	| 322_The_First_Straw_pt01 |	And higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 322_The_First_Straw_pt01 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,464	| 322_The_First_Straw_pt01 |	Down to the job title company name and ended
EDL	00:01:03,232	00:01:05,536	| 322_The_First_Straw_pt01 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 322_The_First_Straw_pt01 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,144	| 322_The_First_Straw_pt01 |	Which in turn builds
EDL	00:01:10,144	00:01:10,912	| 322_The_First_Straw_pt01 |	Trust
EDL	00:01:10,912	00:01:17,056	| 322_The_First_Straw_pt01 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:19,360	| 322_The_First_Straw_pt01 |	Linkedin.com
EDL	00:01:19,360	00:01:20,128	| 322_The_First_Straw_pt01 |	Invisible
EDL	00:01:20,128	00:01:21,920	| 322_The_First_Straw_pt01 |	Beer free $100 at
EDL	00:01:21,920	00:01:22,688	| 322_The_First_Straw_pt01 |	Bad credit
EDL	00:01:22,688	00:01:23,968	| 322_The_First_Straw_pt01 |	Terms and conditions
EDL	00:01:23,968	00:01:24,480	| 322_The_First_Straw_pt01 |	Apply
EDL	00:01:25,248	00:01:26,784	| 322_The_First_Straw_pt01 |	This is 99% invisible
EDL	00:01:27,296	00:01:28,064	| 322_The_First_Straw_pt01 |	I'm Roman Mars
EDL	00:01:30,112	00:01:32,928	| 322_The_First_Straw_pt01 |	Over the summer a new movement started to gain momentum
EDL	00:01:33,440	00:01:36,000	| 322_The_First_Straw_pt01 |	The movement to ban plastic drinking straws
EDL	00:01:36,512	00:01:39,584	| 322_The_First_Straw_pt01 |	It's now legal for Food Service businesses in Seattle
EDL	00:01:39,584	00:01:40,864	| 322_The_First_Straw_pt01 |	To provide a plastic
EDL	00:01:40,864	00:01:41,888	| 322_The_First_Straw_pt01 |	Stronger than you
EDL	00:01:41,888	00:01:42,656	| 322_The_First_Straw_pt01 |	Cancel
EDL	00:01:42,656	00:01:44,960	| 322_The_First_Straw_pt01 |	Santa Cruz is among 28 others around the
