EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,840	| 327_A_Year_in_the_Dark_pt_01 |	99percentinvisible is brought to you by Progressive
EDL	00:00:03,840	00:00:06,144	| 327_A_Year_in_the_Dark_pt_01 |	One of the country's leading providers of auto insurance
EDL	00:00:06,656	00:00:08,960	| 327_A_Year_in_the_Dark_pt_01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:15,104	| 327_A_Year_in_the_Dark_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 327_A_Year_in_the_Dark_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 327_A_Year_in_the_Dark_pt_01 |	Progressive.com
EDL	00:00:20,480	00:00:22,784	| 327_A_Year_in_the_Dark_pt_01 |	Price in coverage match limited by state law
EDL	00:00:24,576	00:00:26,368	| 327_A_Year_in_the_Dark_pt_01 |	When it comes to marketing your business
EDL	00:00:26,368	00:00:29,184	| 327_A_Year_in_the_Dark_pt_01 |	It's all about reaching the Right audience at the right time
EDL	00:00:29,184	00:00:32,256	| 327_A_Year_in_the_Dark_pt_01 |	Connecting with that audience when your message will resonate the most
EDL	00:00:32,768	00:00:33,792	| 327_A_Year_in_the_Dark_pt_01 |	LinkedIn can help
EDL	00:00:34,304	00:00:40,704	| 327_A_Year_in_the_Dark_pt_01 |	LinkedIn is the world's largest Professional Network in LinkedIn marketing Solutions allow you to Target your customers were there
EDL	00:00:40,704	00:00:44,032	| 327_A_Year_in_the_Dark_pt_01 |	Engaging every day when they're ready to make a decision
EDL	00:00:44,544	00:00:49,664	| 327_A_Year_in_the_Dark_pt_01 |	When you advertise on LinkedIn you have the opportunity to build long-term relationships with their customers
EDL	00:00:49,664	00:00:55,296	| 327_A_Year_in_the_Dark_pt_01 |	Those relationships often turn into high-quality leads website traffic and higher brand awareness
EDL	00:00:55,296	00:00:59,904	| 327_A_Year_in_the_Dark_pt_01 |	And Linkedin have the marketing tools to help you target your customers with precision
EDL	00:00:59,904	00:01:02,720	| 327_A_Year_in_the_Dark_pt_01 |	Down to the job title company name and Industry
EDL	00:01:03,232	00:01:05,536	| 327_A_Year_in_the_Dark_pt_01 |	Because we can Target exactly who you want to reach
EDL	00:01:05,536	00:01:08,352	| 327_A_Year_in_the_Dark_pt_01 |	You can make sure your customers are getting a message that they care about
EDL	00:01:08,864	00:01:10,400	| 327_A_Year_in_the_Dark_pt_01 |	Which in turn builds Trust
EDL	00:01:10,912	00:01:17,056	| 327_A_Year_in_the_Dark_pt_01 |	To redeem a free $100 LinkedIn at credit and launch your first campaign go to linkedin.com
EDL	00:01:17,824	00:01:20,128	| 327_A_Year_in_the_Dark_pt_01 |	Linkedin.com invisible
EDL	00:01:20,128	00:01:22,176	| 327_A_Year_in_the_Dark_pt_01 |	A free $100 at credit
EDL	00:01:22,688	00:01:24,224	| 327_A_Year_in_the_Dark_pt_01 |	Terms and conditions apply
EDL	00:01:24,992	00:01:27,296	| 327_A_Year_in_the_Dark_pt_01 |	This is 99% invisible
EDL	00:01:27,296	00:01:29,856	| 327_A_Year_in_the_Dark_pt_01 |	I'm Katie mingle filling in for Roman Mars
EDL	00:01:32,160	00:01:34,976	| 327_A_Year_in_the_Dark_pt_01 |	In the early morning of September 20th
EDL	00:01:34,976	00:01:36,000	| 327_A_Year_in_the_Dark_pt_01 |	2017
EDL	00:01:36,512	00:01:42,912	| 327_A_Year_in_the_Dark_pt_01 |	A category 4 hurricane hit the island Puerto Rico
EDL	00:01:42,912	00:01:45,216	| 327_A_Year_in_the_Dark_pt_01 |	You heard one official saying the island
EDL	00:01:45,216	00:01:51,616	| 327_A_Year_in_the_Dark_pt_01 |	Is destroy the power lines are down
EDL	00:01:51,616	00:01:52,896	| 327_A_Year_in_the_Dark_pt_01 |	Street art
EDL	00:01:52,896	00:01:55,456	| 327_A_Year_in_the_Dark_pt_01 |	Possible many roads are flooded
EDL	00:01:56,480	00:02:02,368	| 327_A_Year_in_the_Dark_pt_01 |	Maria was a beast of a hurricane the strongest one that hit the island since 1932
EDL	00:02:02,880	00:02:09,280	| 327_A_Year_in_the_Dark_pt_01 |	The wind was blowing 155 miles an hour which is very close to being a cat
EDL	00:02:09,280	00:02:09,792	| 327_A_Year_in_the_Dark_pt_01 |	Curry 5
EDL	00:02:10,560	00:02:13,120	| 327_A_Year_in_the_Dark_pt_01 |	And it didn't just hit one stretch
EDL	00:02:13,120	00:02:13,888	| 327_A_Year_in_the_Dark_pt_01 |	The coast
EDL	00:02:13,888	00:02:19,008	| 327_A_Year_in_the_Dark_pt_01 |	Actually moved across the whole island ripping up everything and it's
EDL	00:02:19,008	00:02:21,312	| 327_A_Year_in_the_Dark_pt_01 |	Airbrush everywhere
EDL	00:02:21,312	00:02:22,336	| 327_A_Year_in_the_Dark_pt_01 |	Trees down
EDL	00:02:22,848	00:02:26,688	| 327_A_Year_in_the_Dark_pt_01 |	Power lines down obviously everywhere going to be the tire Island
EDL	00:02:27,200	00:02:27,712	| 327_A_Year_in_the_Dark_pt_01 |	In the dark
EDL	00:02:28,480	00:02:34,880	| 327_A_Year_in_the_Dark_pt_01 |	That's Daniel Alarcon he spend some time reporting in Puerto Rico after the storm and wrote an article about
EDL	00:02:34,880	00:02:41,280	| 327_A_Year_in_the_Dark_pt_01 |	Audit for Wired Magazine wake up they go out of their houses or apartments they'll
EDL	00:02:41,280	00:02:42,048	| 327_A_Year_in_the_Dark_pt_01 |	Look on the street
EDL	00:02:42,048	00:02:43,072	| 327_A_Year_in_the_Dark_pt_01 |	The survey the damage and
EDL	00:02:43,840	00:02:44,608	| 327_A_Year_in_the_Dark_pt_01 |	And
EDL	00:02:44,608	00:02:45,376	| 327_A_Year_in_the_Dark_pt_01 |	Start
EDL	00:02:45,376	00:02:51,776	| 327_A_Year_in_the_Dark_pt_01 |	Trying to make sense of what they're seeing in front of them you know
EDL	00:02:51,776	00:02:56,640	| 327_A_Year_in_the_Dark_pt_01 |	And one of the people out there that day driving around in a state of
EDL	00:02:56,640	00:02:57,408	| 327_A_Year_in_the_Dark_pt_01 |	Shutterstock
EDL	00:02:57,920	00:03:04,320	| 327_A_Year_in_the_Dark_pt_01 |	Was a guy named Jorge Bracero
EDL	00:03:04,320	00:03:10,720	| 327_A_Year_in_the_Dark_pt_01 |	Please God let a video that or he took the day after the storm
EDL	00:03:10,720	00:03:14,816	| 327_A_Year_in_the_Dark_pt_01 |	Cheese from the capital city of San Juan and he told me he was just
EDL	00:03:14,816	00:03:17,888	| 327_A_Year_in_the_Dark_pt_01 |	Totally caught off guard by how bad the storm was
EDL	00:03:18,656	00:03:20,192	| 327_A_Year_in_the_Dark_pt_01 |	They've really became
EDL	00:03:20,192	00:03:24,288	| 327_A_Year_in_the_Dark_pt_01 |	Obviously known for everybody around that we were in deep trouble
EDL	00:03:24,800	00:03:29,920	| 327_A_Year_in_the_Dark_pt_01 |	But it wasn't for a few days when Jorge actually made it into work that he fully grasp
EDL	00:03:29,920	00:03:31,200	| 327_A_Year_in_the_Dark_pt_01 |	Scale of the crisis
EDL	00:03:31,968	00:03:36,320	| 327_A_Year_in_the_Dark_pt_01 |	Do you worship prepa which stands for Puerto Rican Electric Power Authority
EDL	00:03:36,320	00:03:41,184	| 327_A_Year_in_the_Dark_pt_01 |	It's the public utility that provides electricity for nearly the entire Island
EDL	00:03:41,184	00:03:45,280	| 327_A_Year_in_the_Dark_pt_01 |	I actually arrived at the power plant I noticed that I was one of the
EDL	00:03:45,280	00:03:47,328	| 327_A_Year_in_the_Dark_pt_01 |	The few that actually made it cuz
EDL	00:03:47,328	00:03:48,864	| 327_A_Year_in_the_Dark_pt_01 |	Most people live inland
EDL	00:03:48,864	00:03:52,448	| 327_A_Year_in_the_Dark_pt_01 |	When he gets there he makes his way over this big computer screen that shows
EDL	00:03:52,960	00:03:56,544	| 327_A_Year_in_the_Dark_pt_01 |	The outline of Puerto Rico and inside of that
EDL	00:03:56,544	00:03:57,568	| 327_A_Year_in_the_Dark_pt_01 |	A bunch of lines
EDL	00:03:57,568	00:03:59,104	| 327_A_Year_in_the_Dark_pt_01 |	Kind of like a big connect
EDL	00:03:59,104	00:04:02,432	| 327_A_Year_in_the_Dark_pt_01 |	The dots with each line representing a power line
EDL	00:04:02,432	00:04:06,272	| 327_A_Year_in_the_Dark_pt_01 |	And every blinking line
EDL	00:04:07,040	00:04:09,344	| 327_A_Year_in_the_Dark_pt_01 |	The whole island was blinking
EDL	00:04:09,856	00:04:11,136	| 327_A_Year_in_the_Dark_pt_01 |	Every single line was down
EDL	00:04:11,904	00:04:13,696	| 327_A_Year_in_the_Dark_pt_01 |	Every single line in the island was down
EDL	00:04:18,303	00:04:19,583	| 327_A_Year_in_the_Dark_pt_01 |	The trajectory of
EDL	00:04:19,583	00:04:20,351	| 327_A_Year_in_the_Dark_pt_01 |	Maria was
EDL	00:04:20,863	00:04:22,911	| 327_A_Year_in_the_Dark_pt_01 |	Almost as if it has been designed by
EDL	00:04:22,911	00:04:24,191	| 327_A_Year_in_the_Dark_pt_01 |	An evil genius
EDL	00:04:24,191	00:04:25,983	| 327_A_Year_in_the_Dark_pt_01 |	The weight cut across the island
EDL	00:04:25,983	00:04:26,495	| 327_A_Year_in_the_Dark_pt_01 |	Such that it
EDL	00:04:27,007	00:04:27,775	| 327_A_Year_in_the_Dark_pt_01 |	Essentially
EDL	00:04:27,775	00:04:30,335	| 327_A_Year_in_the_Dark_pt_01 |	Struck every major transmission line
EDL	00:04:31,871	00:04:37,759	| 327_A_Year_in_the_Dark_pt_01 |	The scale of the destruction to the power grid was hard even for Jorge Bracero to comprehend
EDL	00:04:38,527	00:04:40,831	| 327_A_Year_in_the_Dark_pt_01 |	And he knew that day that he would spend the next
EDL	00:04:40,831	00:04:41,855	| 327_A_Year_in_the_Dark_pt_01 |	Several months
EDL	00:04:41,855	00:04:43,647	| 327_A_Year_in_the_Dark_pt_01 |	Helping Puerto Rico recover
EDL	00:04:43,647	00:04:44,927	| 327_A_Year_in_the_Dark_pt_01 |	Through his work with prepa
EDL	00:04:45,695	00:04:46,975	| 327_A_Year_in_the_Dark_pt_01 |	What he didn't know yet
EDL	00:04:46,975	00:04:49,791	| 327_A_Year_in_the_Dark_pt_01 |	What's the thousands of people would come to count on
EDL	00:04:49,791	00:04:50,303	| 327_A_Year_in_the_Dark_pt_01 |	Him
EDL	00:04:50,815	00:04:51,839	| 327_A_Year_in_the_Dark_pt_01 |	Specifically him
EDL	00:04:52,351	00:04:54,399	| 327_A_Year_in_the_Dark_pt_01 |	To help them get through their year in the dark
EDL	00:05:00,799	00:05:05,151	| 327_A_Year_in_the_Dark_pt_01 |	Jorge Bracero is one of those people who you can tell you're going to like just by seeing a
EDL	00:05:05,151	00:05:05,919	| 327_A_Year_in_the_Dark_pt_01 |	Picture of them
EDL	00:05:06,431	00:05:09,759	| 327_A_Year_in_the_Dark_pt_01 |	He's in his late thirties with short brown hair and a beard
EDL	00:05:10,271	00:05:12,831	| 327_A_Year_in_the_Dark_pt_01 |	And he just looks like a nice guy
