EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,328	| 33-A-Cheer-for-Samuel-Plimsoll |	99percentinvisible is brought to you by Progresso
EDL	00:00:03,840	00:00:05,888	| 33-A-Cheer-for-Samuel-Plimsoll |	One of the country's leading providers of autumn
EDL	00:00:06,656	00:00:08,960	| 33-A-Cheer-for-Samuel-Plimsoll |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 33-A-Cheer-for-Samuel-Plimsoll |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 33-A-Cheer-for-Samuel-Plimsoll |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 33-A-Cheer-for-Samuel-Plimsoll |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 33-A-Cheer-for-Samuel-Plimsoll |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 33-A-Cheer-for-Samuel-Plimsoll |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 33-A-Cheer-for-Samuel-Plimsoll |	Limited by state law
EDL	00:00:24,832	00:00:25,600	| 33-A-Cheer-for-Samuel-Plimsoll |	Family ghosts
EDL	00:00:25,600	00:00:29,184	| 33-A-Cheer-for-Samuel-Plimsoll |	Is a podcast explores all the unexpected ways are family
EDL	00:00:29,184	00:00:31,232	| 33-A-Cheer-for-Samuel-Plimsoll |	Structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 33-A-Cheer-for-Samuel-Plimsoll |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 33-A-Cheer-for-Samuel-Plimsoll |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 33-A-Cheer-for-Samuel-Plimsoll |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 33-A-Cheer-for-Samuel-Plimsoll |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 33-A-Cheer-for-Samuel-Plimsoll |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 33-A-Cheer-for-Samuel-Plimsoll |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:51,968	| 33-A-Cheer-for-Samuel-Plimsoll |	Asuna episode
EDL	00:00:51,968	00:00:58,368	| 33-A-Cheer-for-Samuel-Plimsoll |	It brings you along to the hunt for a container of missing Chinese food that's haunted a family for 25 years
EDL	00:00:58,368	00:00:58,880	| 33-A-Cheer-for-Samuel-Plimsoll |	And more
EDL	00:00:59,392	00:01:03,488	| 33-A-Cheer-for-Samuel-Plimsoll |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 33-A-Cheer-for-Samuel-Plimsoll |	Every house is haunted
EDL	00:01:06,560	00:01:09,632	| 33-A-Cheer-for-Samuel-Plimsoll |	We get support from UC Davis globally ranked University
EDL	00:01:09,632	00:01:15,264	| 33-A-Cheer-for-Samuel-Plimsoll |	Working to solve the world's most pressing problems and food energy health education and the environment
EDL	00:01:15,264	00:01:21,152	| 33-A-Cheer-for-Samuel-Plimsoll |	UC Davis researchers collaborate and innovate in California and around the globe Define transformational Solutions
EDL	00:01:21,664	00:01:24,224	| 33-A-Cheer-for-Samuel-Plimsoll |	Quality of life
EDL	00:01:24,224	00:01:24,992	| 33-A-Cheer-for-Samuel-Plimsoll |	For all living things
EDL	00:01:25,504	00:01:29,344	| 33-A-Cheer-for-Samuel-Plimsoll |	Find out more at 21st century. Ucdavis.edu
EDL	00:01:34,464	00:01:36,256	| 33-A-Cheer-for-Samuel-Plimsoll |	This is 99% invisible
EDL	00:01:36,768	00:01:37,536	| 33-A-Cheer-for-Samuel-Plimsoll |	I'm Roman numerals
EDL	00:01:42,656	00:01:45,216	| 33-A-Cheer-for-Samuel-Plimsoll |	If you look at the outer Hall of commercial ships
EDL	00:01:45,216	00:01:48,800	| 33-A-Cheer-for-Samuel-Plimsoll |	Down by the water like you might find a painted Circle
EDL	00:01:48,800	00:01:49,824	| 33-A-Cheer-for-Samuel-Plimsoll |	Bisected
EDL	00:01:49,824	00:01:51,616	| 33-A-Cheer-for-Samuel-Plimsoll |	They long horizontal line
EDL	00:01:52,128	00:01:54,944	| 33-A-Cheer-for-Samuel-Plimsoll |	The simple marking is called the load line
EDL	00:01:54,944	00:01:55,968	| 33-A-Cheer-for-Samuel-Plimsoll |	Or as I prefer
EDL	00:01:55,968	00:01:56,992	| 33-A-Cheer-for-Samuel-Plimsoll |	The plimsoll line
EDL	00:01:57,760	00:01:59,040	| 33-A-Cheer-for-Samuel-Plimsoll |	And not oversell it
EDL	00:01:59,040	00:02:02,112	| 33-A-Cheer-for-Samuel-Plimsoll |	But this elegant graphic design has saved
EDL	00:02:02,112	00:02:05,184	| 33-A-Cheer-for-Samuel-Plimsoll |	Thousands of Lies
EDL	00:02:05,184	00:02:06,976	| 33-A-Cheer-for-Samuel-Plimsoll |	Examples of design because
EDL	00:02:06,976	00:02:08,000	| 33-A-Cheer-for-Samuel-Plimsoll |	What I really like
EDL	00:02:08,000	00:02:08,768	| 33-A-Cheer-for-Samuel-Plimsoll |	In the world
EDL	00:02:09,536	00:02:14,144	| 33-A-Cheer-for-Samuel-Plimsoll |	When you can find a massive problem that definitely needs solving and with some thought
EDL	00:02:14,144	00:02:15,936	| 33-A-Cheer-for-Samuel-Plimsoll |	We consulted with something as simple
EDL	00:02:15,936	00:02:17,216	| 33-A-Cheer-for-Samuel-Plimsoll |	Has a circle with a line through it
EDL	00:02:18,752	00:02:20,544	| 33-A-Cheer-for-Samuel-Plimsoll |	That's what I'd like to do with my Korea
EDL	00:02:20,544	00:02:21,568	| 33-A-Cheer-for-Samuel-Plimsoll |	Best Tristan cook
EDL	00:02:21,568	00:02:24,128	| 33-A-Cheer-for-Samuel-Plimsoll |	And on a human factors engineer so that means
EDL	00:02:24,128	00:02:25,408	| 33-A-Cheer-for-Samuel-Plimsoll |	He said I look at the white
EDL	00:02:25,408	00:02:26,944	| 33-A-Cheer-for-Samuel-Plimsoll |	People interact with their environment
EDL	00:02:28,480	00:02:29,504	| 33-A-Cheer-for-Samuel-Plimsoll |	Text Debbie Harry
EDL	00:02:29,504	00:02:33,088	| 33-A-Cheer-for-Samuel-Plimsoll |	Tristan also creates an outstanding blog called humans in design
EDL	00:02:34,112	00:02:38,720	| 33-A-Cheer-for-Samuel-Plimsoll |	The massive problem that needed solving in the 19th century that Tristan is referring to
EDL	00:02:39,232	00:02:43,328	| 33-A-Cheer-for-Samuel-Plimsoll |	Was the huge number of British ships sinking in the ocean
EDL	00:02:43,328	00:02:45,632	| 33-A-Cheer-for-Samuel-Plimsoll |	Because they were overloaded and in disrepair
EDL	00:02:46,144	00:02:47,424	| 33-A-Cheer-for-Samuel-Plimsoll |	Sending hundreds
EDL	00:02:47,424	00:02:53,824	| 33-A-Cheer-for-Samuel-Plimsoll |	Emergency mental watery grave the problem was so widespread that these vessels became known by another name
EDL	00:02:53,824	00:02:54,592	| 33-A-Cheer-for-Samuel-Plimsoll |	Coffin ships
EDL	00:02:54,592	00:02:55,104	| 33-A-Cheer-for-Samuel-Plimsoll |	Coughing
EDL	00:02:55,872	00:02:59,968	| 33-A-Cheer-for-Samuel-Plimsoll |	Now overloading ships has certainly happened since there have been ships to overload
EDL	00:03:00,480	00:03:02,272	| 33-A-Cheer-for-Samuel-Plimsoll |	It was the introduction of insurance
EDL	00:03:02,784	00:03:04,320	| 33-A-Cheer-for-Samuel-Plimsoll |	Decorated the coffin ship
EDL	00:03:05,856	00:03:09,952	| 33-A-Cheer-for-Samuel-Plimsoll |	That still collect real time for ships that are over insured so they worth more money to
EDL	00:03:11,488	00:03:12,512	| 33-A-Cheer-for-Samuel-Plimsoll |	At the bottom of the ocean
EDL	00:03:12,512	00:03:13,536	| 33-A-Cheer-for-Samuel-Plimsoll |	Lara Floyd
EDL	00:03:13,536	00:03:17,376	| 33-A-Cheer-for-Samuel-Plimsoll |	Social boners would purposely overload older ships with cargo
EDL	00:03:17,376	00:03:19,936	| 33-A-Cheer-for-Samuel-Plimsoll |	Thinking that if the ships made it they hit the jackpot
EDL	00:03:19,936	00:03:21,472	| 33-A-Cheer-for-Samuel-Plimsoll |	British ships didn't make it
EDL	00:03:21,984	00:03:26,080	| 33-A-Cheer-for-Samuel-Plimsoll |	They still made a lot of money on the insurance claim
EDL	00:03:26,592	00:03:28,384	| 33-A-Cheer-for-Samuel-Plimsoll |	Insurance that people want quiet
EDL	00:03:28,384	00:03:30,176	| 33-A-Cheer-for-Samuel-Plimsoll |	Aware of the idea to buy
EDL	00:03:30,176	00:03:31,456	| 33-A-Cheer-for-Samuel-Plimsoll |	Sharing something you were going to
EDL	00:03:31,456	00:03:32,736	| 33-A-Cheer-for-Samuel-Plimsoll |	Changing affect people's
EDL	00:03:32,736	00:03:35,296	| 33-A-Cheer-for-Samuel-Plimsoll |	Behavior this is called a moral hazard
EDL	00:03:35,296	00:03:39,648	| 33-A-Cheer-for-Samuel-Plimsoll |	When people engage in Risky Behavior because they are not fully accountable for the consequences
EDL	00:03:40,928	00:03:41,952	| 33-A-Cheer-for-Samuel-Plimsoll |	Insurance is going to keep every
EDL	00:03:43,488	00:03:44,000	| 33-A-Cheer-for-Samuel-Plimsoll |	It doesn't
EDL	00:03:45,024	00:03:48,096	| 33-A-Cheer-for-Samuel-Plimsoll |	Ensure that changes your behavior become more risky or you haven't
EDL	00:03:48,096	00:03:48,864	| 33-A-Cheer-for-Samuel-Plimsoll |	Incentive
EDL	00:03:48,864	00:03:49,632	| 33-A-Cheer-for-Samuel-Plimsoll |	To do something
EDL	00:03:49,632	00:03:51,936	| 33-A-Cheer-for-Samuel-Plimsoll |	In the unintended consequence of insurance
EDL	00:03:51,936	00:03:54,240	| 33-A-Cheer-for-Samuel-Plimsoll |	Was that ship owners had an incentive
EDL	00:03:54,240	00:03:55,776	| 33-A-Cheer-for-Samuel-Plimsoll |	To sink their own ships
EDL	00:03:56,288	00:03:59,104	| 33-A-Cheer-for-Samuel-Plimsoll |	And send hundreds of souls to the bottom of the ocean
EDL	00:03:59,616	00:04:00,640	| 33-A-Cheer-for-Samuel-Plimsoll |	Tonight's famous
EDL	00:04:00,640	00:04:01,152	| 33-A-Cheer-for-Samuel-Plimsoll |	1
EDL	00:04:01,664	00:04:05,248	| 33-A-Cheer-for-Samuel-Plimsoll |	What is the one called ESS London that had 200
EDL	00:04:05,248	00:04:09,088	| 33-A-Cheer-for-Samuel-Plimsoll |	Thirtysomething people on board it was leaving a place and I'm not kidding
EDL	00:04:09,088	00:04:10,880	| 33-A-Cheer-for-Samuel-Plimsoll |	Called Gravesend in England
EDL	00:04:11,392	00:04:14,976	| 33-A-Cheer-for-Samuel-Plimsoll |	Theoretically headed for Melbourne Australia
EDL	00:04:14,976	00:04:15,744	| 33-A-Cheer-for-Samuel-Plimsoll |	The Royal wiper
EDL	00:04:16,256	00:04:16,768	| 33-A-Cheer-for-Samuel-Plimsoll |	Things like that
EDL	00:04:18,815	00:04:19,583	| 33-A-Cheer-for-Samuel-Plimsoll |	Was in a meeting
EDL	00:04:20,095	00:04:20,863	| 33-A-Cheer-for-Samuel-Plimsoll |	Hundreds in
EDL	00:04:22,399	00:04:23,167	| 33-A-Cheer-for-Samuel-Plimsoll |	Extol
EDL	00:04:23,167	00:04:24,703	| 33-A-Cheer-for-Samuel-Plimsoll |	I try to send back to what the port
EDL	00:04:24,703	00:04:28,287	| 33-A-Cheer-for-Samuel-Plimsoll |	This is where our hero British MP Samuel plimsoll
EDL	00:04:28,287	00:04:30,079	| 33-A-Cheer-for-Samuel-Plimsoll |	And the plimsoll line comes in
