EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,072	| 340_The_Secret_Lives_of_Color_pt_01 |	99percentinvisible is brought to you by
EDL	00:00:03,072	00:00:03,840	| 340_The_Secret_Lives_of_Color_pt_01 |	By Progressive
EDL	00:00:03,840	00:00:05,888	| 340_The_Secret_Lives_of_Color_pt_01 |	One of the country's leading providers of autumn
EDL	00:00:06,656	00:00:08,960	| 340_The_Secret_Lives_of_Color_pt_01 |	With progressives Name Your Price tool
EDL	00:00:08,960	00:00:12,544	| 340_The_Secret_Lives_of_Color_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay
EDL	00:00:12,544	00:00:15,104	| 340_The_Secret_Lives_of_Color_pt_01 |	Progressive will show you options that fit within your budget
EDL	00:00:15,616	00:00:18,944	| 340_The_Secret_Lives_of_Color_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:18,944	00:00:19,968	| 340_The_Secret_Lives_of_Color_pt_01 |	Progressive.com
EDL	00:00:20,480	00:00:21,760	| 340_The_Secret_Lives_of_Color_pt_01 |	Price in coverage match
EDL	00:00:21,760	00:00:22,528	| 340_The_Secret_Lives_of_Color_pt_01 |	Limited by state law
EDL	00:00:24,832	00:00:25,600	| 340_The_Secret_Lives_of_Color_pt_01 |	Family ghosts
EDL	00:00:25,600	00:00:26,368	| 340_The_Secret_Lives_of_Color_pt_01 |	Is a
EDL	00:00:26,368	00:00:29,184	| 340_The_Secret_Lives_of_Color_pt_01 |	Explores all the unexpected ways are family
EDL	00:00:29,184	00:00:31,232	| 340_The_Secret_Lives_of_Color_pt_01 |	Structure and shape our view of the world
EDL	00:00:31,744	00:00:33,280	| 340_The_Secret_Lives_of_Color_pt_01 |	Each episode of Family ghost
EDL	00:00:33,280	00:00:37,376	| 340_The_Secret_Lives_of_Color_pt_01 |	Takes a look at the story behind a different person's family lore
EDL	00:00:37,376	00:00:40,192	| 340_The_Secret_Lives_of_Color_pt_01 |	Digging into unanswered questions about their history
EDL	00:00:40,192	00:00:42,752	| 340_The_Secret_Lives_of_Color_pt_01 |	Season 2 Launches on May 15th
EDL	00:00:42,752	00:00:46,080	| 340_The_Secret_Lives_of_Color_pt_01 |	Between episode where they take you inside the love Israel family called
EDL	00:00:46,080	00:00:50,688	| 340_The_Secret_Lives_of_Color_pt_01 |	An episode about uncovering the secrets scrolled in a newly discovered stack of Love Letters
EDL	00:00:50,688	00:00:51,968	| 340_The_Secret_Lives_of_Color_pt_01 |	Asuna episode
EDL	00:00:51,968	00:00:55,808	| 340_The_Secret_Lives_of_Color_pt_01 |	It brings you along to the hunt for a container of missing Chinese food that's
EDL	00:00:55,808	00:00:57,856	| 340_The_Secret_Lives_of_Color_pt_01 |	Haunted a family for 25 years
EDL	00:00:58,368	00:00:58,880	| 340_The_Secret_Lives_of_Color_pt_01 |	And more
EDL	00:00:59,392	00:01:03,488	| 340_The_Secret_Lives_of_Color_pt_01 |	Subscribe to family goes wherever you get your podcast and find out why they say
EDL	00:01:03,488	00:01:04,768	| 340_The_Secret_Lives_of_Color_pt_01 |	Every house is haunted
EDL	00:01:05,536	00:01:07,328	| 340_The_Secret_Lives_of_Color_pt_01 |	This is 99% invisible
EDL	00:01:07,840	00:01:08,864	| 340_The_Secret_Lives_of_Color_pt_01 |	I'm Roman Mars
EDL	00:01:09,888	00:01:11,936	| 340_The_Secret_Lives_of_Color_pt_01 |	My boy Maslow's favorite color
EDL	00:01:11,936	00:01:12,448	| 340_The_Secret_Lives_of_Color_pt_01 |	Is red
EDL	00:01:13,216	00:01:15,008	| 340_The_Secret_Lives_of_Color_pt_01 |	My boy Carver is favorite color
EDL	00:01:15,008	00:01:15,520	| 340_The_Secret_Lives_of_Color_pt_01 |	Is blue
EDL	00:01:16,288	00:01:17,312	| 340_The_Secret_Lives_of_Color_pt_01 |	Cover
EDL	00:01:17,312	00:01:18,848	| 340_The_Secret_Lives_of_Color_pt_01 |	Okay with the color red
EDL	00:01:19,360	00:01:20,128	| 340_The_Secret_Lives_of_Color_pt_01 |	But Maslow
EDL	00:01:20,640	00:01:21,664	| 340_The_Secret_Lives_of_Color_pt_01 |	Hates blue
EDL	00:01:22,176	00:01:22,944	| 340_The_Secret_Lives_of_Color_pt_01 |	They're twins
EDL	00:01:22,944	00:01:24,480	| 340_The_Secret_Lives_of_Color_pt_01 |	And for those who don't know them well
EDL	00:01:24,480	00:01:26,784	| 340_The_Secret_Lives_of_Color_pt_01 |	Color they wear is how people tell them apart
EDL	00:01:27,296	00:01:28,064	| 340_The_Secret_Lives_of_Color_pt_01 |	These colors
EDL	00:01:28,064	00:01:30,112	| 340_The_Secret_Lives_of_Color_pt_01 |	We're not chosen for them a test
EDL	00:01:30,112	00:01:31,136	| 340_The_Secret_Lives_of_Color_pt_01 |	Happened is
EDL	00:01:31,136	00:01:32,672	| 340_The_Secret_Lives_of_Color_pt_01 |	Fundamental to who they are
EDL	00:01:33,952	00:01:34,976	| 340_The_Secret_Lives_of_Color_pt_01 |	When you're a kid
EDL	00:01:34,976	00:01:36,512	| 340_The_Secret_Lives_of_Color_pt_01 |	Your favorite color is
EDL	00:01:36,512	00:01:37,280	| 340_The_Secret_Lives_of_Color_pt_01 |	One of
EDL	00:01:37,280	00:01:40,608	| 340_The_Secret_Lives_of_Color_pt_01 |	Maybe five of the most important aspects of your personality
EDL	00:01:41,120	00:01:42,400	| 340_The_Secret_Lives_of_Color_pt_01 |	Records of Our Lives
EDL	00:01:42,400	00:01:46,240	| 340_The_Secret_Lives_of_Color_pt_01 |	The fervor for a specific favorite color tends to die down
EDL	00:01:46,752	00:01:48,288	| 340_The_Secret_Lives_of_Color_pt_01 |	But over the course of human history
EDL	00:01:48,800	00:01:50,336	| 340_The_Secret_Lives_of_Color_pt_01 |	Search for the brightest
EDL	00:01:50,336	00:01:51,360	| 340_The_Secret_Lives_of_Color_pt_01 |	Splash of color
EDL	00:01:51,360	00:01:53,920	| 340_The_Secret_Lives_of_Color_pt_01 |	Has been a defining feature of our species
EDL	00:01:54,944	00:01:57,760	| 340_The_Secret_Lives_of_Color_pt_01 |	Concert Sinclair is fascinated by color
EDL	00:01:57,760	00:01:58,784	| 340_The_Secret_Lives_of_Color_pt_01 |	How It's Made
EDL	00:01:58,784	00:01:59,552	| 340_The_Secret_Lives_of_Color_pt_01 |	What it means
EDL	00:01:59,552	00:02:00,320	| 340_The_Secret_Lives_of_Color_pt_01 |	Now defined
EDL	00:02:01,088	00:02:06,208	| 340_The_Secret_Lives_of_Color_pt_01 |	She wrote a beautiful book called The Secret Lives of color that I love so much
EDL	00:02:06,208	00:02:09,280	| 340_The_Secret_Lives_of_Color_pt_01 |	But I invited her in to talk with me and she's riveting
EDL	00:02:09,280	00:02:10,304	| 340_The_Secret_Lives_of_Color_pt_01 |	So this episode
EDL	00:02:10,304	00:02:11,072	| 340_The_Secret_Lives_of_Color_pt_01 |	It's just that
EDL	00:02:11,072	00:02:12,352	| 340_The_Secret_Lives_of_Color_pt_01 |	My conversation
EDL	00:02:12,352	00:02:13,120	| 340_The_Secret_Lives_of_Color_pt_01 |	Kasia Sinclair
EDL	00:02:13,632	00:02:14,144	| 340_The_Secret_Lives_of_Color_pt_01 |	All about
EDL	00:02:14,656	00:02:15,168	| 340_The_Secret_Lives_of_Color_pt_01 |	Secret Life
EDL	00:02:15,680	00:02:16,192	| 340_The_Secret_Lives_of_Color_pt_01 |	Color
EDL	00:02:18,496	00:02:20,544	| 340_The_Secret_Lives_of_Color_pt_01 |	How did you begin
EDL	00:02:20,544	00:02:22,080	| 340_The_Secret_Lives_of_Color_pt_01 |	Becoming obsessed with colors in
EDL	00:02:22,592	00:02:24,128	| 340_The_Secret_Lives_of_Color_pt_01 |	What made you want to write a whole book
EDL	00:02:24,896	00:02:25,408	| 340_The_Secret_Lives_of_Color_pt_01 |	The lights
EDL	00:02:26,688	00:02:29,504	| 340_The_Secret_Lives_of_Color_pt_01 |	Yes I'm lucky that I came from for a creative
EDL	00:02:29,504	00:02:30,784	| 340_The_Secret_Lives_of_Color_pt_01 |	Amelie
EDL	00:02:30,784	00:02:32,576	| 340_The_Secret_Lives_of_Color_pt_01 |	My mother was a
EDL	00:02:32,576	00:02:33,344	| 340_The_Secret_Lives_of_Color_pt_01 |	Florist
EDL	00:02:33,344	00:02:34,880	| 340_The_Secret_Lives_of_Color_pt_01 |	And I have
EDL	00:02:34,880	00:02:36,160	| 340_The_Secret_Lives_of_Color_pt_01 |	Very Vivid memories
EDL	00:02:36,160	00:02:37,696	| 340_The_Secret_Lives_of_Color_pt_01 |	The kind of messing around in
