EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:02,560	| 346_Palaces_for_the_People_pt_01 |	We need to talk about something
EDL	00:00:02,560	00:00:04,864	| 346_Palaces_for_the_People_pt_01 |	Constipation abdominal pain and bloating
EDL	00:00:04,864	00:00:09,728	| 346_Palaces_for_the_People_pt_01 |	You tell yourself it's not that bad you take laxatives modify your diet and exercise routine
EDL	00:00:09,728	00:00:11,776	| 346_Palaces_for_the_People_pt_01 |	Thinking about it all the time is frustrating
EDL	00:00:11,776	00:00:17,152	| 346_Palaces_for_the_People_pt_01 |	It doesn't have to Define you if your constipation and abdominal symptoms come back again and again
EDL	00:00:17,152	00:00:20,480	| 346_Palaces_for_the_People_pt_01 |	And you don't know why and it may be time to seek help
EDL	00:00:20,480	00:00:23,808	| 346_Palaces_for_the_People_pt_01 |	Go to oh my God. Info podcast
EDL	00:00:23,808	00:00:28,416	| 346_Palaces_for_the_People_pt_01 |	We can learn more about your symptoms that's oh my God. Info / podcast
EDL	00:00:28,928	00:00:29,440	| 346_Palaces_for_the_People_pt_01 |	Oh my God
EDL	00:00:33,280	00:00:35,584	| 346_Palaces_for_the_People_pt_01 |	99percentinvisible is brought to you by Progressive
EDL	00:00:36,096	00:00:38,144	| 346_Palaces_for_the_People_pt_01 |	When the country's leading providers of Auto in
EDL	00:00:38,912	00:00:40,704	| 346_Palaces_for_the_People_pt_01 |	With progressives name Your Price tool
EDL	00:00:41,216	00:00:46,336	| 346_Palaces_for_the_People_pt_01 |	You can say what kind of coverage were looking for and how much you want to pay and Progressive will show you options
EDL	00:00:46,336	00:00:47,616	| 346_Palaces_for_the_People_pt_01 |	Fit within your budget
EDL	00:00:47,616	00:00:51,200	| 346_Palaces_for_the_People_pt_01 |	Use the Name Your Price tool and start an online quote today
EDL	00:00:51,200	00:00:52,480	| 346_Palaces_for_the_People_pt_01 |	Progressive.com
EDL	00:00:52,480	00:00:54,784	| 346_Palaces_for_the_People_pt_01 |	Price in coverage match limited by state law
EDL	00:00:55,808	00:00:57,344	| 346_Palaces_for_the_People_pt_01 |	This is 99% invisible
EDL	00:00:57,856	00:00:58,624	| 346_Palaces_for_the_People_pt_01 |	I'm Roman Mars
EDL	00:01:01,952	00:01:05,024	| 346_Palaces_for_the_People_pt_01 |	Sometimes when I'm driving or walking around the Bay Area
EDL	00:01:05,024	00:01:06,304	| 346_Palaces_for_the_People_pt_01 |	Found it
EDL	00:01:06,304	00:01:07,072	| 346_Palaces_for_the_People_pt_01 |	Bite
EDL	00:01:07,072	00:01:08,608	| 346_Palaces_for_the_People_pt_01 |	Avery Park Ice Age
EDL	00:01:08,608	00:01:10,144	| 346_Palaces_for_the_People_pt_01 |	In a place where each
EDL	00:01:10,144	00:01:12,960	| 346_Palaces_for_the_People_pt_01 |	Parcel of land could be worth millions of dollars
EDL	00:01:13,472	00:01:14,240	| 346_Palaces_for_the_People_pt_01 |	There are these
EDL	00:01:14,240	00:01:16,032	| 346_Palaces_for_the_People_pt_01 |	Shared green spaces
EDL	00:01:16,032	00:01:17,056	| 346_Palaces_for_the_People_pt_01 |	Better at least
EDL	00:01:17,056	00:01:18,336	| 346_Palaces_for_the_People_pt_01 |	Theoretically
EDL	00:01:18,336	00:01:19,104	| 346_Palaces_for_the_People_pt_01 |	Mint
EDL	00:01:19,104	00:01:19,872	| 346_Palaces_for_the_People_pt_01 |	For everyone
EDL	00:01:20,384	00:01:22,688	| 346_Palaces_for_the_People_pt_01 |	I feel the same about libraries are like miracle
EDL	00:01:22,688	00:01:26,016	| 346_Palaces_for_the_People_pt_01 |	Sticky kid will library for the first time and you'll see it is a temple
EDL	00:01:26,528	00:01:28,576	| 346_Palaces_for_the_People_pt_01 |	Dedicated to the concept of sharing
EDL	00:01:29,088	00:01:30,624	| 346_Palaces_for_the_People_pt_01 |	Hill bookstore
EDL	00:01:30,624	00:01:31,392	| 346_Palaces_for_the_People_pt_01 |	But also
EDL	00:01:31,392	00:01:33,184	| 346_Palaces_for_the_People_pt_01 |	Just sharing space
EDL	00:01:33,952	00:01:40,352	| 346_Palaces_for_the_People_pt_01 |	Eric klinenberg is a sociologist in best-selling author who makes a convincing case that a healthy Community is not
EDL	00:01:40,352	00:01:42,144	| 346_Palaces_for_the_People_pt_01 |	To be held together by shared values
EDL	00:01:42,656	00:01:44,448	| 346_Palaces_for_the_People_pt_01 |	Goodbye shared space
EDL	00:01:44,960	00:01:45,984	| 346_Palaces_for_the_People_pt_01 |	Physical
EDL	00:01:45,984	00:01:49,824	| 346_Palaces_for_the_People_pt_01 |	Real World locations for people across all strata
EDL	00:01:49,824	00:01:51,104	| 346_Palaces_for_the_People_pt_01 |	Ages races and creeds
EDL	00:01:51,616	00:01:53,152	| 346_Palaces_for_the_People_pt_01 |	Bump into each other
EDL	00:01:53,152	00:01:53,920	| 346_Palaces_for_the_People_pt_01 |	Inform connect
EDL	00:01:54,432	00:01:57,248	| 346_Palaces_for_the_People_pt_01 |	He also makes a convincing case that we are neglecting
EDL	00:01:58,272	00:01:59,040	| 346_Palaces_for_the_People_pt_01 |	Spaces
EDL	00:01:59,040	00:02:00,064	| 346_Palaces_for_the_People_pt_01 |	What he calls
EDL	00:02:00,064	00:02:01,344	| 346_Palaces_for_the_People_pt_01 |	Are social infrastructure
EDL	00:02:01,856	00:02:03,648	| 346_Palaces_for_the_People_pt_01 |	And this is a shame because
