EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,304	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	This is 99% invisible
EDL	00:00:02,304	00:00:03,328	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	I'm Roman Mars
EDL	00:00:04,096	00:00:06,144	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	On the last episode I promise you
EDL	00:00:06,144	00:00:09,216	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Greatest podcast crossover event in history
EDL	00:00:09,984	00:00:11,008	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	And here it is
EDL	00:00:17,920	00:00:24,064	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Reply all Alex Goldman
EDL	00:00:24,832	00:00:26,880	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	And this week BJ we have a super text
EDL	00:00:26,880	00:00:33,280	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Supercuts
EDL	00:00:33,280	00:00:35,584	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Part is Saginaw show where listeners come to us with her
EDL	00:00:36,096	00:00:38,656	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Weird unsolvable Tech problems and
EDL	00:00:38,656	00:00:39,936	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	What is usually you
EDL	00:00:39,936	00:00:40,960	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Goes out interest solvent
EDL	00:00:42,752	00:00:43,520	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	And you have one
EDL	00:00:43,520	00:00:44,544	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Baidu
EDL	00:00:44,544	00:00:45,056	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Tell me about it
EDL	00:00:45,568	00:00:47,616	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	We got an email from getting been
EDL	00:00:47,616	00:00:49,408	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	He lives in Houston
EDL	00:00:49,408	00:00:50,432	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	And Ben is a hoe
EDL	00:00:50,432	00:00:51,712	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Huge fan of pikas
EDL	00:00:52,480	00:00:54,016	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	He has his own podcast
EDL	00:00:54,016	00:00:57,088	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	He said he listened to over 100 podcasts which like
EDL	00:00:57,088	00:00:58,112	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Possible
EDL	00:00:58,624	00:01:01,440	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	He said that the one complaint he has about his podcast app
EDL	00:01:01,440	00:01:04,512	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Is that a lease how much time he spends listening to podcasts
EDL	00:01:05,024	00:01:09,632	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Who tells me how many overall days of podcasts I've listened to
EDL	00:01:09,632	00:01:11,680	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	And it's just more and more depressing
EDL	00:01:11,680	00:01:12,960	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	You know you like to guess
EDL	00:01:13,472	00:01:14,240	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Sure yes
EDL	00:01:16,032	00:01:16,544	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	40 days
EDL	00:01:17,056	00:01:18,848	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	233
EDL	00:01:19,360	00:01:21,152	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	And recently he started having this
EDL	00:01:21,152	00:01:22,432	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	Very strange podcast
EDL	00:01:24,992	00:01:25,504	| 350_The_Roman_Mars_Mazda_Virus_pt_01 |	So
