EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 351_Play_Mountain_pt_01 |	This is 99% invisible
EDL	00:00:02,304	00:00:03,072	| 351_Play_Mountain_pt_01 |	I'm Roman Mars
EDL	00:00:04,096	00:00:10,496	| 351_Play_Mountain_pt_01 |	You may have seen the noguchi table coffee table
EDL	00:00:10,496	00:00:16,896	| 351_Play_Mountain_pt_01 |	Movies or TV shows when they want to show that a lawyer or an art dealer is really sophisticated they play
EDL	00:00:16,896	00:00:19,456	| 351_Play_Mountain_pt_01 |	Put on a Gucci table in there waiting room
EDL	00:00:19,456	00:00:22,016	| 351_Play_Mountain_pt_01 |	It is really a beautiful table
EDL	00:00:22,016	00:00:24,320	| 351_Play_Mountain_pt_01 |	Too curvy wooden legs interlocked
EDL	00:00:24,832	00:00:26,880	| 351_Play_Mountain_pt_01 |	And support this heavy slab of glass
EDL	00:00:27,392	00:00:32,000	| 351_Play_Mountain_pt_01 |	It seems like it's almost floating above them last reporter Jackson Roach
EDL	00:00:32,512	00:00:38,912	| 351_Play_Mountain_pt_01 |	Noguchi coffee table was introduced in 1948 it's become one of the emblems of mid-century Industrial
EDL	00:00:38,912	00:00:45,312	| 351_Play_Mountain_pt_01 |	Design it has its own Wikipedia page and there's a thriving Instagram hashtag hashtag FYI
EDL	00:00:45,312	00:00:49,408	| 351_Play_Mountain_pt_01 |	MCT which stands for your noguchi coffee table
EDL	00:00:49,408	00:00:50,688	| 351_Play_Mountain_pt_01 |	Which basically means
EDL	00:00:50,688	00:00:53,248	| 351_Play_Mountain_pt_01 |	Pure bougie cliche Interiors
EDL	00:00:54,528	00:00:57,856	| 351_Play_Mountain_pt_01 |	Which is ironic because like all eventual cliches
EDL	00:00:57,856	00:00:58,880	| 351_Play_Mountain_pt_01 |	New Gucci himself
EDL	00:00:59,392	00:01:00,416	| 351_Play_Mountain_pt_01 |	Was quite
EDL	00:01:00,416	00:01:00,928	| 351_Play_Mountain_pt_01 |	Avant-garde
EDL	00:01:01,440	00:01:02,720	| 351_Play_Mountain_pt_01 |	Noguchi was a prodigy
